id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1940	0128027L	2003-01-28 00:00:00	2002-12-16 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checkpoint	110.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
3280	0305015L	2003-03-05 00:00:00	2003-02-17 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	1500.0	Electronics	Cameras - Digital	Settled	996.39	Settle
3526	0311041L	2003-03-11 00:00:00	2003-01-02 00:00:00	ABQ	Albuquerque International Sunport Airport	UAL	Passenger Property Loss	Checked Baggage	149.0	Other	Other	Settled	74.5	Settle
3584	0312010L	2003-03-12 00:00:00	2003-02-22 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
3644	0314019L	2003-03-14 00:00:00	2003-02-09 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	7.0	Other	Currency	Approved	7.0	Approve in Full
3871	0318012L	2003-03-18 00:00:00	2003-01-10 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	450.0	Electronics	PDA - Personal Data Assistants	Settled	225.0	Settle
4291	0326048L	2003-03-26 00:00:00	2003-03-08 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	28.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	14.0	Settle
4415	0401105L	2003-04-01 00:00:00	2003-01-19 00:00:00	ABQ	Albuquerque International Sunport Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	300.0	Approve in Full
4618	0403009L	2003-04-03 00:00:00	2003-03-08 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checkpoint	161.89	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	161.89	Approve in Full
5034	0415038L	2003-04-15 00:00:00	2003-03-15 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	400.0	Other	Other	Approved	400.0	Approve in Full
7060	0528110L	2003-05-28 00:00:00	2003-04-27 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	40.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	40.0	Approve in Full
7831	0605051L	2003-06-05 00:00:00	2003-05-17 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	20.0	Other	Other	Canceled		
8048	0609046L	2003-06-09 00:00:00	2003-05-06 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	10000.0	Watches & Jewelry	Jewelry - Fine	Settled	2226.5	Settle
8170	0610166L	2003-06-10 00:00:00	2003-05-03 00:00:00	ABQ	Albuquerque International Sunport Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	30.0	Watches & Jewelry	Jewelry - Fine	Canceled		
8955	0619058L	2003-06-19 00:00:00	2003-05-04 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage		Other	Other	Canceled		
9121	0624088M	2003-06-24 00:00:00	2003-05-30 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	70.0	Approve in Full
9521	0626043M	2003-06-26 00:00:00	2003-05-31 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	19.95	Containers	Luggage (all types including footlockers)	Approved	19.95	Approve in Full
10194	0708043M	2003-07-08 00:00:00	2003-06-20 00:00:00	ABQ	Albuquerque International Sunport Airport	America West	Passenger Property Loss	Checked Baggage	102.0	Other	Currency	Approved	102.0	Approve in Full
11349	0721159M	2003-07-21 00:00:00	2003-07-06 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	5.96	Tools & Machines	Locks	Denied	0.0	Deny
11424	0728501M	2003-07-21 00:00:00	2003-01-12 00:00:00	ABQ	Albuquerque International Sunport Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	212.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	106.0	Settle
11558	0723139M	2003-07-23 00:00:00	2003-07-14 00:00:00	ABQ	Albuquerque International Sunport Airport	America West	Passenger Property Loss	Checked Baggage	85.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	85.0	Approve in Full
11559	0723140M	2003-07-23 00:00:00	2003-07-16 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	50.0	Approve in Full
12459	0804026M	2003-08-04 00:00:00	2003-07-17 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	100.0	Settle
13055	0813066M	2003-08-13 00:00:00	2003-06-06 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	180.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	180.0	Approve in Full
13685	0819042M	2003-08-19 00:00:00	2003-08-01 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	18.0	Other	Other	Approved	18.0	Approve in Full
14825	0902051M	2003-09-02 00:00:00	2003-08-07 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	23.0	Other	Other	Settled	12.0	Settle
15625	0909186M	2003-09-09 00:00:00	2003-04-27 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Electronics	Cell Phones	Settled	85.0	Settle
15633	0909216M	2003-09-09 00:00:00	2003-08-10 00:00:00	ABQ	Albuquerque International Sunport Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	8710.0	Watches & Jewelry	Jewelry - Fine	Settled	2111.02	Settle
16218	0923009M	2003-09-23 00:00:00	2003-09-10 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	130.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled		
16538	0925139M	2003-09-25 00:00:00	2003-09-02 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	40.0	Tools & Machines	Locks	Denied	0.0	Deny
18241	1021361M	2003-10-21 00:00:00	2003-10-17 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checkpoint	105.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	105.0	Approve in Full
18579	1022198M	2003-10-22 00:00:00	2003-10-07 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	75.0	Other	Other	Approved	75.0	Approve in Full
18599	1022328M	2003-10-22 00:00:00	2003-09-27 00:00:00	ABQ	Albuquerque International Sunport Airport	UAL	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	150.0	Approve in Full
19342	1105011M	2003-11-05 00:00:00	2003-10-10 00:00:00	ABQ	Albuquerque International Sunport Airport	America West	Passenger Property Loss	Checked Baggage	75.0	Other	Other	Denied	0.0	Deny
22426	1208170M	2003-12-08 00:00:00	2003-11-12 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	50.0	Other	Other	Settled	25.0	Settle
23575	0105161M	2004-01-05 00:00:00	2003-04-03 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Currency	Approved	300.0	Approve in Full
25427	0115218M	2004-01-15 00:00:00	2003-12-02 00:00:00	ABQ	Albuquerque International Sunport Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Other	Other	Settled	125.0	Settle
25624	0120164M	2004-01-20 00:00:00	2004-01-03 00:00:00	ABQ	Albuquerque International Sunport Airport	UAL	Passenger Property Loss	Checked Baggage	24.99	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	12.5	Settle
29738	2004051151006	2004-03-10 00:00:00	2004-02-14 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	162.95	Other	Other	Approved	162.95	Approve in Full
30175	2004051151033	2004-03-11 00:00:00	2004-03-04 00:00:00	ABQ	Albuquerque International Sunport Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	261.48	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	175.0	Settle
30927	2004051251472	2004-03-22 00:00:00	2004-03-08 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	10.0	Other	Other	Approved	10.0	Approve in Full
31227	2004051351597	2004-03-24 00:00:00	2004-02-14 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	162.95	Other	Other	Canceled	0.0	
31911	2004051752424	2004-04-01 00:00:00	2003-03-01 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	475.01	Electronics	Cameras - Digital	Denied	0.0	Deny
32320	2004060154091	2004-04-06 00:00:00	2004-03-14 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	94.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	47.0	Settle
32429	2004052653527	2004-04-15 00:00:00	2004-03-17 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	13.76	Tools & Machines	Locks	Approved	13.76	Approve in Full
32700	2004052453298	2004-04-20 00:00:00	2004-02-10 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	185.0	Other	Currency	Approved	185.0	Approve in Full
32972	2004060354606	2004-04-21 00:00:00	2004-03-28 00:00:00	ABQ	Albuquerque International Sunport Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	115.5	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	115.5	Approve in Full
34713	2004061055393	2004-05-05 00:00:00	2004-04-02 00:00:00	ABQ	Albuquerque International Sunport Airport	American Airlines	Passenger Property Loss	Checked Baggage	167.44	Other	Other	Settled	83.72	Settle
35100	2004060855128	2004-05-13 00:00:00	2004-02-19 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	15.0	Containers	Luggage (all types including footlockers)	Approved	15.0	Approve in Full
35712	2004061455501	2004-05-19 00:00:00	2004-05-05 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	85.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	42.5	Settle
36538	2004062256930	2004-05-28 00:00:00	2004-05-05 00:00:00	ABQ	Albuquerque International Sunport Airport	America West	Passenger Property Loss	Checked Baggage	70.99	Other	Other	Approved	70.99	Approve in Full
37955	2004070158080	2004-06-16 00:00:00	2004-05-31 00:00:00	ABQ	Albuquerque International Sunport Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	208.04	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
38329	2004071459349	2004-06-21 00:00:00	2004-05-19 00:00:00	ABQ	Albuquerque International Sunport Airport		Passenger Property Loss	Checked Baggage	201.5	Other	Other	Denied	0.0	Deny
38450	2004070858836	2004-06-22 00:00:00	2004-06-13 00:00:00	ABQ	Albuquerque International Sunport Airport	Frontier Airlines	Passenger Property Loss	Checked Baggage	90.95	Other	Other	Canceled	0.0	
38568	2004071359195	2004-06-22 00:00:00	2004-05-14 00:00:00	ABQ	Albuquerque International Sunport Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	0.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	64.75	Settle
