id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
18862	1022054M	2003-10-22 00:00:00	2003-08-20 00:00:00	ACV	Arcata-Eureka		Passenger Property Loss	Checked Baggage	305.0	Other	Settled	152.5	Settle
43237	2004100664711	2004-08-24 00:00:00	2004-08-04 00:00:00	ACV	Arcata-Eureka	US Express	Passenger Property Loss	Checked Baggage	950.0	Other	Denied	0.0	Deny
52314	2005010572766	2004-12-17 00:00:00	2004-11-20 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	296.0	Watches & Jewelry	Denied	0.0	Deny
56875	2005031077593	2005-02-09 00:00:00	2005-01-18 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	9.12	Tools & Machines	Approved	9.12	Approve in Full
60778	2005040681687	2005-04-05 00:00:00	2005-01-21 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Approved	50.0	Approve in Full
61473	2005041482542	2005-04-12 00:00:00	2005-03-10 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Approved	30.0	Approve in Full
68157	2005071889124	2005-07-15 00:00:00	2005-07-11 00:00:00	ACV	Arcata-Eureka		Passenger Property Loss	Checked Baggage	244.98	Electronics	Approved	244.98	Approve in Full
69549	2005081690660	2005-08-05 00:00:00	2005-07-31 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	161.25	Electronics	Approved	161.25	Approve in Full
72187	2005092893337	2005-09-19 00:00:00	2005-08-21 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	275.0	Supplies	Approved	275.0	Approve in Full
73191	2005100694179	2005-10-04 00:00:00	2005-08-23 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	498.97	Other	Denied	0.0	Deny
73460	2005101494577	2005-10-07 00:00:00	2005-09-18 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	267.44	Electronics	Denied	0.0	Deny
76933	2005121697913	2005-12-12 00:00:00	2005-11-28 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	400.0	Electronics	Denied	0.0	Deny
77909	2006010699027	2006-01-03 00:00:00	2005-12-25 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	49.99	Other	Denied	0.0	Deny
78525	2006011799709	2006-01-10 00:00:00	2005-11-30 00:00:00	ACV	Arcata-Eureka		Passenger Property Loss	Checked Baggage	60.0	Other	Denied	0.0	Deny
81162	2006022802280	2006-02-23 00:00:00	2005-12-19 00:00:00	ACV	Arcata-Eureka	UAL	Passenger Property Loss	Checked Baggage	245.94	Electronics	Settled	203.04	Settle
