id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
40773	2004081261298	2004-07-21 00:00:00	2004-06-18 00:00:00	ATW	Outagamie County	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	697.94	Watches & Jewelry	Settled	348.0	Settle
47677	2004092964160	2004-10-18 00:00:00	2004-07-30 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Other	Settled	174.99	Settle
49482	2004122069574	2004-11-09 00:00:00	2004-10-24 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	239.07	Electronics	Approved	239.07	Approve in Full
50645	2004122770989	2004-11-23 00:00:00	2004-11-13 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	368.0	Other	Settled	184.0	Settle
51144	2004122971814	2004-12-03 00:00:00	2004-09-02 00:00:00	ATW	Outagamie County		Passenger Property Loss	Checked Baggage	32.0	Clothing & Accessories	Approved	32.0	Approve in Full
60814	2005040781823	2005-04-05 00:00:00	2004-10-10 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Approved	100.0	Approve in Full
62852	2005050283820	2005-04-29 00:00:00	2005-04-10 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Approved	150.0	Approve in Full
64014	2005051884979	2005-05-17 00:00:00	2005-03-31 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checkpoint	199.73	Supplies	Approved	199.73	Approve in Full
70701	2005082691570	2005-08-23 00:00:00	2005-07-26 00:00:00	ATW	Outagamie County		Passenger Property Loss	Checked Baggage	252.68	Cosmetics	Settled	126.34	Settle
70855	2005083091920	2005-08-25 00:00:00	2005-08-08 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	280.0	Electronics	Denied	0.0	Deny
71729	2005091992834	2005-09-09 00:00:00	2005-08-28 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Denied	0.0	Deny
78366	2006011299510	2006-01-09 00:00:00	2005-11-24 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	614.72	Electronics	Settled	446.11	Settle
78473	2006011399599	2006-01-10 00:00:00	2005-12-04 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage	4000.0	Other	Denied	0.0	Deny
84898	2006051105929	2006-05-08 00:00:00	2006-04-07 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	20.98	Tools & Machines	Approved	20.98	Approve in Full
85111	2006051506282	2006-05-10 00:00:00	2006-04-23 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	1068.82	Electronics,Electronics,Electronics,Electronics	Settled	325.0	Settle
85894	2006060107148	2006-05-30 00:00:00	2006-04-13 00:00:00	ATW	Outagamie County	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	400.0	Watches & Jewelry	Approved	400.0	Approve in Full
90374	2006082811632	2006-08-23 00:00:00	2006-08-03 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories,Containers	Approved	60.0	Approve in Full
92783	2006101714101	2006-10-10 00:00:00	2006-09-10 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	839.99	Electronics	Denied	0.0	Deny
93296	2006102714714	2006-10-18 00:00:00	2006-09-15 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	909.99	Electronics,Watches & Jewelry	Denied	0.0	Deny
93484	2006110114958	2006-10-23 00:00:00	2006-10-03 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	39.0	Clothing & Accessories,Other	Approved	39.0	Approve in Full
94368	2006112216058	2006-11-09 00:00:00	2006-10-20 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
94519	2006111715824	2006-11-13 00:00:00	2006-10-13 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	350.0	Electronics	Denied	0.0	Deny
96906	2007010318232	2006-12-29 00:00:00	2006-12-15 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	301.74	Electronics,Electronics	Denied	0.0	Deny
98006	2007012319159	2007-01-12 00:00:00	2007-01-02 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	5.6	Tools & Machines	Approved	5.6	Approve in Full
100773	2007030922049	2007-03-05 00:00:00	2007-02-08 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	72.2	Clothing & Accessories	Denied	0.0	Deny
101478	2007032122698	2007-03-19 00:00:00	2007-02-28 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checkpoint	100.0	Other	Denied	0.0	Deny
102732	2007041123728	2007-04-11 00:00:00	2007-02-19 00:00:00	ATW	Outagamie County		Passenger Property Loss	Checked Baggage	250.0	Scientific Intruments	Settled	225.0	Settle
103771	2007050725044	2007-05-03 00:00:00	2007-04-25 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	150.0	Outdoors Supplies,Other	Denied	0.0	Deny
107467	2007072028765	2007-07-17 00:00:00	2007-07-05 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage	503.73	Electronics,Watches & Jewelry,Watches & Jewelry	Denied	0.0	Deny
111308	2007092732640	2007-09-26 00:00:00	2007-09-17 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	25.0	Watches & Jewelry	Denied	0.0	Deny
111793	2007101133302	2007-10-05 00:00:00	2007-08-18 00:00:00	ATW	Outagamie County	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	97.0	Cosmetics,Other	Denied	0.0	Deny
123467	2008060345166	2008-05-29 00:00:00	2008-05-08 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.5	Tools & Machines	Denied	0.0	Deny
125029	2008070946696	2008-07-03 00:00:00	2008-07-02 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	7.34	Tools & Machines	Denied	0.0	Deny
125303	2008071747049	2008-07-10 00:00:00	2008-07-08 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Denied	0.0	Deny
133478	2009020955378	2009-01-29 00:00:00	2008-10-24 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	249.99	Electronics	Denied	0.0	Deny
136042	2009043058140	2009-04-08 00:00:00	2009-03-15 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	175.0	Watches & Jewelry	Denied	0.0	Deny
137392	2009052659473	2009-05-18 00:00:00	2009-04-17 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage	426.0	Cosmetics	Settled	267.5	Settle
138762	2009070260839	2009-06-25 00:00:00	2009-06-11 00:00:00	ATW	Outagamie County	Allegiant Air	Passenger Property Loss	Checkpoint	31.5	Watches & Jewelry	Approved	31.5	Approve in Full
140867	2009080762388	2009-08-20 00:00:00	2009-07-30 00:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage	60.0	Cosmetics	Denied	0.0	Deny
141622	2009091763750	2009-09-11 00:00:00	2009-08-24 00:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	548.74	Electronics	Denied	0.0	Deny
142569	2009102164559	2009-10-13 00:00:00	2009-09-17 05:00:00	ATW	Outagamie County	Northwest Airlines	Passenger Property Loss	Checked Baggage	81.08	Tools & Machines,Containers	Denied	0.0	Deny
148615	2010051771862	2010-05-12 00:00:00	2010-04-18 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
150286	2010071373601	2010-07-06 00:00:00	2010-04-29 06:00:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checked Baggage		Electronics,Clothing & Accessories,Clothing & Accessories,Other		0.0	Deny
151041	2010080974682	2010-07-26 00:00:00	2010-07-12 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
161491	2011070184941	2011-06-27 00:00:00	2011-06-23 07:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		9.5	Approve in Full
168193	2012032692044	2012-02-07 00:00:00	2012-02-01 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics,Other		0.0	Deny
169832	2012050393555	2012-04-06 00:00:00	2012-02-24 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage		Scientific Intruments		97.6	Approve in Full
171966	2012072395607	2012-06-21 00:00:00	2012-06-16 00:00:00	ATW	Outagamie County	Delta Air Lines	Passenger Property Loss	Checked Baggage		Outdoors Supplies		299.0	Approve in Full
172461	2012082696190	2012-07-11 00:00:00	2012-06-20 08:30:00	ATW	Outagamie County	UAL	Passenger Property Loss	Checkpoint		Cosmetics,Electronics			
