id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
40441	2004090362156	2004-07-16 00:00:00	2004-07-11 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	3500.0	Electronics	Settled	516.86	Settle
54244	2005020375593	2005-01-11 00:00:00	2004-02-11 00:00:00	BFL	Meadows Field, Bakersfield Airport		Passenger Property Loss	Checked Baggage	1195.7	Watches & Jewelry	Denied	0.0	Deny
77322	2005122898548	2005-12-19 00:00:00	2005-10-18 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	500.0	Electronics	Denied	0.0	Deny
84135	2006042505302	2006-04-20 00:00:00	2006-04-06 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	4030.0	Watches & Jewelry	Denied	0.0	Deny
84524	2006050505720	2006-04-28 00:00:00	2006-04-01 00:00:00	BFL	Meadows Field, Bakersfield Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	2000.0	Electronics	Denied	0.0	Deny
90151	2006082311393	2006-08-18 00:00:00	2006-07-14 00:00:00	BFL	Meadows Field, Bakersfield Airport	America West	Passenger Property Loss	Checked Baggage	424.71	Clothing & Accessories,Cosmetics	Denied	0.0	Deny
97487	2007011118605	2007-01-05 00:00:00	2006-12-14 00:00:00	BFL	Meadows Field, Bakersfield Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	544.08	Cosmetics,Watches & Jewelry,Other,Household Decor	Denied	0.0	Deny
98155	2007012319256	2007-01-16 00:00:00	2006-11-22 00:00:00	BFL	Meadows Field, Bakersfield Airport		Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Denied	0.0	Deny
99292	2007020820517	2007-02-03 00:00:00	2007-01-19 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	19.85	Tools & Machines	Approved	19.85	Approve in Full
100104	2007022221339	2007-02-20 00:00:00	2007-02-06 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	21.55	Tools & Machines	Approved	21.55	Approve in Full
100179	2007022321448	2007-02-21 00:00:00	2007-02-08 00:00:00	BFL	Meadows Field, Bakersfield Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	16.9	Tools & Machines	Approved	16.9	Approve in Full
106153	2007062727557	2007-06-21 00:00:00	2007-05-16 00:00:00	BFL	Meadows Field, Bakersfield Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	88.0	Scientific Intruments	Approved	88.0	Approve in Full
106515	2007070327816	2007-06-28 00:00:00	2007-06-22 00:00:00	BFL	Meadows Field, Bakersfield Airport		Passenger Property Loss	Checked Baggage	500.0	Electronics,Other	Denied	0.0	Deny
108301	2007080629718	2007-08-01 00:00:00	2007-07-09 00:00:00	BFL	Meadows Field, Bakersfield Airport	Skywest Airlines Inc USA	Passenger Property Loss	Checkpoint	98.09	Electronics	Denied	0.0	Deny
111760	2007100533071	2007-10-05 00:00:00	2007-09-23 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	20.5	Tools & Machines	Denied	0.0	Deny
111824	2007100933117	2007-10-09 00:00:00	2007-09-24 00:00:00	BFL	Meadows Field, Bakersfield Airport		Passenger Property Loss	Checkpoint	402.95	Clothing & Accessories	Denied	0.0	Deny
117429	2008013038920	2008-01-28 00:00:00	2008-09-27 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	995.24	Electronics,Electronics,Other	Denied	0.0	Deny
119448	2008031341019	2008-03-10 00:00:00	2008-02-25 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	29.68	Household Items	Denied	0.0	Deny
119775	2008032541417	2008-03-17 00:00:00	2008-01-23 00:00:00	BFL	Meadows Field, Bakersfield Airport	US Express	Passenger Property Loss	Checked Baggage	50.0	Scientific Intruments	Denied	0.0	Deny
123456	2008060245119	2008-05-29 00:00:00	2008-05-22 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	1846.31	Electronics,Containers,Watches & Jewelry,Other	Denied	0.0	Deny
125054	2008071146837	2008-07-03 00:00:00	2008-06-03 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	2470.0	Watches & Jewelry	Denied	0.0	Deny
126441	2008080748168	2008-08-04 00:00:00	2008-07-29 00:00:00	BFL	Meadows Field, Bakersfield Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Scientific Intruments	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
129809	2008110351681	2008-10-23 00:00:00	2008-10-15 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Denied	0.0	Deny
129972	2008110451782	2008-10-28 00:00:00	2008-10-15 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	300.0	Cosmetics	Denied	0.0	Deny
132451	2009010954318	2009-01-05 00:00:00	2008-12-02 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checkpoint	72.06	Weapons & Knives	Denied	0.0	Deny
134535	2009032056586	2009-03-03 00:00:00	2009-01-26 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	10.95	Tools & Machines	Approved	10.95	Approve in Full
139937	2009073162069	2009-07-27 00:00:00	2009-07-13 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Approved	60.0	Approve in Full
140196	2009080562281	2009-07-31 00:00:00	2009-07-10 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	21.95	Household Items	Denied	0.0	Deny
142987	2009110265029	2009-10-26 00:00:00	2009-09-28 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checked Baggage	249.52	Electronics	Denied	0.0	Deny
144046	2009120466062	2009-11-27 00:00:00	2009-11-11 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage	60.0	Containers	Denied	0.0	Deny
151694	2010081975086	2010-08-13 00:00:00	2010-07-08 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage		Containers,Clothing & Accessories		95.0	Approve in Full
175196	2012112798883	2012-10-17 00:00:00	2012-09-17 00:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checkpoint		Electronics		0.0	Deny
177862	2013022001724	2013-01-29 00:00:00	2013-01-19 00:00:00	BFL	Meadows Field, Bakersfield Airport		Passenger Property Loss	Checkpoint		Containers		70.0	Settle
184220	2013091606948	2013-09-16 00:00:00	2013-07-31 15:00:00	BFL	Meadows Field, Bakersfield Airport	UAL	Passenger Property Loss	Checkpoint		Watches & Jewelry		0.0	Deny
184914	2013110808994	2013-10-17 00:00:00	2013-09-19 10:39:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checked Baggage		Containers,Clothing & Accessories			
196152	2015021820659	2015-02-18 00:00:00	2015-02-10 00:00:00	BFL	Meadows Field, Bakersfield Airport	American Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments			
196154	2015100725951	2015-09-24 00:00:00	2015-08-26 00:00:00	BFL	Meadows Field, Bakersfield Airport	USAir	Passenger Property Loss	Checkpoint		Electronics		0.0	Deny
204791	2017020637329	2016-12-30 00:00:00	2016-11-14 00:00:00	BFL	Meadows Field, Bakersfield Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories			In Review
