id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
33672	2004060254384	2004-04-23 00:00:00	2004-04-06 00:00:00	BGM	Greater Binghamton Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Containers	Settled	75.0	Settle
51186	2004123071867	2004-12-03 00:00:00	2004-09-18 00:00:00	BGM	Greater Binghamton Airport		Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Denied	0.0	Deny
52077	2005010472433	2004-12-14 00:00:00	2004-11-21 00:00:00	BGM	Greater Binghamton Airport	USAir	Passenger Property Loss	Checked Baggage	284.09	Other	Denied	0.0	Deny
55616	2005021876484	2005-01-26 00:00:00	2005-01-06 00:00:00	BGM	Greater Binghamton Airport	UAL	Passenger Property Loss	Checked Baggage	90.82	Other	Denied		Deny
56519	2005032980153	2005-02-04 00:00:00	2004-10-26 00:00:00	BGM	Greater Binghamton Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	155.0	Watches & Jewelry	Denied	0.0	Deny
60004	2005040181022	2005-03-23 00:00:00	2005-03-12 00:00:00	BGM	Greater Binghamton Airport		Passenger Property Loss	Checked Baggage	130.0	Clothing & Accessories	Denied	0.0	Deny
79009	2006012300118	2006-01-18 00:00:00	2006-01-03 00:00:00	BGM	Greater Binghamton Airport	US Express	Passenger Property Loss	Checked Baggage	450.0	Other	Denied	0.0	Deny
80909	2006022302057	2006-02-17 00:00:00	2006-01-11 00:00:00	BGM	Greater Binghamton Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	132.14	Electronics	Denied	0.0	Deny
95688	2006121316980	2006-12-05 00:00:00	2006-08-21 00:00:00	BGM	Greater Binghamton Airport	USAir	Passenger Property Loss	Checked Baggage	530.0	Clothing & Accessories	Denied	0.0	Deny
101488	2007032222726	2007-03-19 00:00:00	2007-03-06 00:00:00	BGM	Greater Binghamton Airport		Passenger Property Loss	Checked Baggage	24.0	Watches & Jewelry	Denied	0.0	Deny
102898	2007041824147	2007-04-16 00:00:00	2007-03-18 00:00:00	BGM	Greater Binghamton Airport		Passenger Property Loss	Checked Baggage	700.0	Electronics,Electronics,Watches & Jewelry	Denied	0.0	Deny
111488	2007100232876	2007-10-01 00:00:00	2007-09-29 00:00:00	BGM	Greater Binghamton Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	295.0	Clothing & Accessories,Containers	Denied	0.0	Deny
114197	2007112835626	2007-11-26 00:00:00	2007-10-26 00:00:00	BGM	Greater Binghamton Airport	USAir	Passenger Property Loss	Checked Baggage	141.99	Clothing & Accessories,Other	Denied	0.0	Deny
114504	2007120435987	2007-11-30 00:00:00	2007-11-24 00:00:00	BGM	Greater Binghamton Airport	UAL	Passenger Property Loss	Checked Baggage	170.0	Containers,Watches & Jewelry	Denied	0.0	Deny
115780	2008010337195	2007-12-28 00:00:00	2007-12-23 00:00:00	BGM	Greater Binghamton Airport	USAir	Passenger Property Loss	Checked Baggage	31.96	Clothing & Accessories	Denied	0.0	Deny
130271	2008110752099	2008-11-04 00:00:00	2008-11-01 00:00:00	BGM	Greater Binghamton Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	275.0	Electronics,Other	Denied	0.0	Deny
139920	2009073162051	2009-07-24 00:00:00	2009-07-10 00:00:00	BGM	Greater Binghamton Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	700.0	Electronics,Other	Denied	0.0	Deny
