id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
60	18221	2002-09-25 00:00:00	2002-09-12 00:00:00	BHM	Birmingham International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	20.0	Other	Approved	20.0	Approve in Full
95	21054	2002-10-17 00:00:00	2002-09-24 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checkpoint	95.0	Other	Approved	95.0	Approve in Full
1603	0617628L	2003-01-21 00:00:00	2002-12-24 00:00:00	BHM	Birmingham International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	240.0	Other	Settled	70.0	Settle
6111	0909831M	2003-05-06 00:00:00	2003-04-25 00:00:00	BHM	Birmingham International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	399.98	Cosmetics	Approved	399.98	Approve in Full
7045	0528068L	2003-05-28 00:00:00	2003-04-27 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	65.0	Other	Approved	65.0	Approve in Full
8276	0610114L	2003-06-10 00:00:00	2003-05-21 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Settled	15.0	Settle
8787	0617103L	2003-06-17 00:00:00	2003-05-27 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	35.0	Electronics	Settled	17.5	Settle
9091	0624011M	2003-06-24 00:00:00	2003-06-09 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	369.0	Other	Approved	369.0	Approve in Full
10571	0711051M	2003-07-11 00:00:00	2003-06-24 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	947.41	Watches & Jewelry	Canceled		
12052	0729190M	2003-07-29 00:00:00	2003-07-02 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	68.31	Other	Settled	34.16	Settle
12127	0730045M	2003-07-30 00:00:00	2003-06-28 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Settled	35.0	Settle
18174	1021119M	2003-10-21 00:00:00	2003-08-22 00:00:00	BHM	Birmingham International Airport	American Airlines	Passenger Property Loss	Checked Baggage	86.25	Clothing & Accessories	Approved	86.25	Approve in Full
23629	0105334M	2004-01-05 00:00:00	2003-12-02 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	20.0	Clothing & Accessories	Approved	20.0	Approve in Full
29925	2004043050255	2004-03-11 00:00:00	2004-02-25 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	80.0	Clothing & Accessories	Approved	80.0	Approve in Full
31708	2004072259897	2004-03-30 00:00:00	2004-03-15 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	250.0	Other	Settled	125.0	Settle
32425	2004052653506	2004-04-15 00:00:00	2004-03-30 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Approved	90.0	Approve in Full
33144	2004060254183	2004-04-21 00:00:00	2004-03-01 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	4265.0	Watches & Jewelry	Denied	0.0	Deny
33804	2004051952859	2004-05-03 00:00:00	2004-04-08 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
34574	2004060955273	2004-05-05 00:00:00	2004-04-21 00:00:00	BHM	Birmingham International Airport	UAL	Passenger Property Loss	Checked Baggage	49.0	Other	Approved	49.0	Approve in Full
37348	2004062957822	2004-06-08 00:00:00	2004-05-27 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	169.12	Other	Approved	169.12	Approve in Full
38003	2004070658336	2004-06-16 00:00:00	2004-05-28 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	39.98	Clothing & Accessories	Denied		
38189	2004061956384	2004-06-18 00:00:00	2004-05-21 00:00:00	BHM	Birmingham International Airport	American Airlines	Passenger Property Loss	Checkpoint	14950.0	Watches & Jewelry	Denied		
38425	2004071259087	2004-06-22 00:00:00	2004-06-02 00:00:00	BHM	Birmingham International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	149.99	Electronics	Approved	149.99	Approve in Full
38999	2004071359203	2004-06-29 00:00:00	2004-06-16 00:00:00	BHM	Birmingham International Airport		Passenger Property Loss	Checked Baggage	550.0	Other	Settled	509.0	Settle
