id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
5391	0421078L	2003-04-21 00:00:00	2003-03-18 00:00:00	BIL	Billings, MT		Passenger Property Loss	Checkpoint	199.0	Electronics	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
18049	1016222M	2003-10-16 00:00:00	2003-09-24 00:00:00	BIL	Billings, MT		Passenger Property Loss	Checkpoint	36.0	Other	Denied		Deny
43707	2004092363759	2004-08-31 00:00:00	2004-08-16 00:00:00	BIL	Billings, MT		Passenger Property Loss	Checkpoint	346.39	Other	Denied		Deny
47305	2004113068078	2004-10-14 00:00:00	2004-09-17 00:00:00	BIL	Billings, MT	Delta Air Lines	Passenger Property Loss	Checked Baggage	700.0	Watches & Jewelry	Denied	0.0	Deny
47525	2004120268255	2004-10-18 00:00:00	2004-10-08 00:00:00	BIL	Billings, MT	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.5	Tools & Machines	Approved	10.5	Approve in Full
51538	2005010372185	2004-12-07 00:00:00	2004-10-29 00:00:00	BIL	Billings, MT	Northwest Airlines	Passenger Property Loss	Other	325.0	Other	Settled	162.5	Settle
53203	2005011373630	2004-12-29 00:00:00	2004-11-16 00:00:00	BIL	Billings, MT		Passenger Property Loss	Checkpoint	120.0	Other	Approved	120.0	Approve in Full
55260	2005021776357	2005-01-24 00:00:00	2004-12-23 00:00:00	BIL	Billings, MT	Horizon Air	Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
64669	2005053185564	2005-05-24 00:00:00	2005-04-14 00:00:00	BIL	Billings, MT	Frontier Airlines	Passenger Property Loss	Checked Baggage	260.0	Other	Denied	0.0	Deny
67589	2005070888479	2005-07-07 00:00:00	2005-06-06 00:00:00	BIL	Billings, MT		Passenger Property Loss	Checked Baggage	53.9	Other	Approved	53.9	Approve in Full
68561	2005072589553	2005-07-22 00:00:00	2005-07-04 00:00:00	BIL	Billings, MT	Northwest Airlines	Passenger Property Loss	Checked Baggage	112.44	Watches & Jewelry	Approved	112.44	Approve in Full
69468	2005081590558	2005-08-04 00:00:00	2005-07-28 00:00:00	BIL	Billings, MT	Horizon Air	Passenger Property Loss	Checked Baggage	49.99	Other	Canceled	0.0	
71434	2005090792265	2005-09-07 00:00:00	2005-08-18 00:00:00	BIL	Billings, MT	Northwest Airlines	Passenger Property Loss	Checked Baggage	1826.0	Electronics	Denied	0.0	Deny
