id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
40591	2004081060948	2004-07-20 00:00:00	2004-06-23 00:00:00	BMI	Bloomington-Normal Airport		Passenger Property Loss	Checked Baggage	15.95	Other	Other	Denied	0.0	Deny
42604	2004092163319	2004-08-13 00:00:00	2004-08-09 00:00:00	BMI	Bloomington-Normal Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Other	Denied	0.0	Deny
55416	2005021676307	2005-01-24 00:00:00	2004-12-23 00:00:00	BMI	Bloomington-Normal Airport	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	376.97	Electronics	Cameras - Digital	Settled	188.49	Settle
55537	2005021676187	2005-01-26 00:00:00	2005-01-06 00:00:00	BMI	Bloomington-Normal Airport	AirTran Airlines	Passenger Property Loss	Checkpoint	197.75	Electronics	Cameras - Digital	Canceled	0.0	
59807	2005033180698	2005-03-23 00:00:00	2005-02-23 00:00:00	BMI	Bloomington-Normal Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	78.23	Other	Other	Approved	78.23	Approve in Full
64793	2005060285712	2005-05-31 00:00:00	2005-05-17 00:00:00	BMI	Bloomington-Normal Airport	American Airlines	Passenger Property Loss	Checked Baggage	86.09	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	86.09	Approve in Full
67534	2005071188584	2005-07-06 00:00:00	2005-06-23 00:00:00	BMI	Bloomington-Normal Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	282.14	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
69146	2005080890137	2005-08-01 00:00:00	2005-03-20 00:00:00	BMI	Bloomington-Normal Airport	Air Tran Airlines(do not use)	Passenger Property Loss	Checkpoint	250.0	Other	Other	Approved	250.0	Approve in Full
75342	2005112596436	2005-11-14 00:00:00	2005-10-29 00:00:00	BMI	Bloomington-Normal Airport	Air Tran Airlines(do not use)	Passenger Property Loss	Checked Baggage	232.03	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	232.03	Approve in Full
79096	2006012300111	2006-01-18 00:00:00	2005-12-27 00:00:00	BMI	Bloomington-Normal Airport	UAL	Passenger Property Loss	Checked Baggage	250.0	Other	Other	Settled	125.0	Settle
82580	2006032703726	2006-03-21 00:00:00	2005-12-31 00:00:00	BMI	Bloomington-Normal Airport	UAL	Passenger Property Loss	Checked Baggage	1942.93	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
