id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
582	23124	2002-12-11 00:00:00	2002-11-03 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Other	11500.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
2229	0204044L	2003-02-04 00:00:00	2003-01-12 00:00:00	CHS	Charleston International	Northwest Airlines	Passenger Property Loss	Checked Baggage	975.01	Electronics	Cameras - Digital	Denied	0.0	Deny
5878	0430040L	2003-04-30 00:00:00	2003-04-08 00:00:00	CHS	Charleston International	Northwest Airlines	Passenger Property Loss	Checked Baggage	140.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
6664	0520106L	2003-05-20 00:00:00	2003-05-01 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Checked Baggage	65.0	Other	Other	Approved	65.0	Approve in Full
10883	0715002M	2003-07-15 00:00:00	2003-02-11 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Checked Baggage	797.5	Other	Other	Denied	0.0	Deny
11613	0723156M	2003-07-23 00:00:00	2003-07-19 00:00:00	CHS	Charleston International	Delta Air Lines	Passenger Property Loss	Checked Baggage	375.0	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
30720	2004051151199	2004-03-18 00:00:00	2004-03-07 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Checked Baggage	2000.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
37630	2004063058001	2004-06-10 00:00:00	2004-05-27 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Checked Baggage	10.6	Containers	Luggage (all types including footlockers)	Approved	10.6	Approve in Full
38497	2004071259032	2004-06-22 00:00:00	2004-05-11 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Denied	0.0	Deny
42688	2004092363744	2004-08-16 00:00:00	2004-07-30 00:00:00	CHS	Charleston International	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Other	Other	Denied		Deny
46996	2004112267603	2004-10-08 00:00:00	2004-09-09 00:00:00	CHS	Charleston International	UAL	Passenger Property Loss	Checkpoint	1723.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
53464	2005011073314	2005-01-04 00:00:00	2004-06-03 00:00:00	CHS	Charleston International	USAir	Passenger Property Loss	Checked Baggage	5166.87	Other	Other	Denied	0.0	Deny
