id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
252	20106	2002-11-14 00:00:00	2002-10-27 00:00:00	CLE	Cleveland Hopkins International	Southwest Airlines	Passenger Property Loss	Checked Baggage	2500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
1168	22879	2003-01-07 00:00:00	2002-12-03 00:00:00	CLE	Cleveland Hopkins International	Delta Air Lines	Passenger Property Loss	Checkpoint	100.0	Watches & Jewelry	Jewelry - Fine	Settled	50.0	Settle
1281	25471	2003-01-13 00:00:00	2002-11-30 00:00:00	CLE	Cleveland Hopkins International	Continental Airlines	Passenger Property Loss	Checkpoint	25.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	25.0	Approve in Full
1457	0617596L	2003-01-16 00:00:00	2002-12-22 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	550.0	Electronics	Stereo Items & Accessories	Settled	256.0	Settle
1607	0617650L	2003-01-21 00:00:00	2002-11-03 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checkpoint	347.75	Other	Other	Settled	312.98	Settle
2392	0211008L	2003-02-11 00:00:00	2003-01-26 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checkpoint	116.55	Watches & Jewelry	Jewelry - Fine	Approved	117.0	Approve in Full
2402	0211054L	2003-02-11 00:00:00	2003-01-22 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	351.0	Other	Other	Approved	351.0	Approve in Full
2835	0225029L	2003-02-25 00:00:00	2003-01-15 00:00:00	CLE	Cleveland Hopkins International	Continental Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Other	Approved	200.0	Approve in Full
3635	0313046L	2003-03-13 00:00:00	2003-02-12 00:00:00	CLE	Cleveland Hopkins International	Southwest Airlines	Passenger Property Loss	Checked Baggage	116.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	58.0	Settle
3662	0314004L	2003-03-14 00:00:00	2003-02-24 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	400.0	Other	Currency	Denied	0.0	Deny
4384	0331016L	2003-03-31 00:00:00	2003-03-03 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checkpoint	375.0	Watches & Jewelry	Jewelry - Fine	Settled	324.68	Settle
4724	0408080L	2003-04-08 00:00:00	2003-02-26 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	25.38	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	25.38	Approve in Full
5143	0416105L	2003-04-16 00:00:00	2003-03-09 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	35.0	Other	Other	Approved	35.0	Approve in Full
5434	0422055L	2003-04-22 00:00:00	2003-03-09 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	16.0	Tools & Machines	Locks	Approved	16.0	Approve in Full
5435	0422060L	2003-04-22 00:00:00	2003-03-25 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checkpoint	157.5	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	158.0	Approve in Full
5485	0422077L	2003-04-22 00:00:00	2003-03-31 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	700.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
5593	0423025L	2003-04-23 00:00:00	2003-03-28 00:00:00	CLE	Cleveland Hopkins International	Northwest Airlines	Passenger Property Loss	Checked Baggage	125.0	Other	Other	Approved	125.0	Approve in Full
5790	0429008L	2003-04-29 00:00:00	2003-03-30 00:00:00	CLE	Cleveland Hopkins International	America Trans Air	Passenger Property Loss	Checked Baggage	32.52	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	32.52	Approve in Full
6319	0513066L	2003-05-13 00:00:00	2003-04-09 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	250.0	Other	Other	Approved	250.0	Approve in Full
6833	0520100L	2003-05-20 00:00:00	2003-04-03 00:00:00	CLE	Cleveland Hopkins International	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Cameras - Digital	Settled	100.0	Settle
6951	0527043L	2003-05-27 00:00:00	2003-05-18 00:00:00	CLE	Cleveland Hopkins International	UAL	Passenger Property Loss	Checked Baggage	425.0	Containers	Luggage (all types including footlockers)	Approved	425.0	Approve in Full
6982	0527033L	2003-05-27 00:00:00	2003-05-19 00:00:00	CLE	Cleveland Hopkins International	America West	Passenger Property Loss	Checked Baggage	547.0	Other	Other	Denied	0.0	Deny
7758	0604029L	2003-06-04 00:00:00	2003-04-12 00:00:00	CLE	Cleveland Hopkins International	Continental Airlines	Passenger Property Loss	Checked Baggage	162.9	Other	Other	Approved	162.9	Approve in Full
7946	0609075L	2003-06-09 00:00:00	2003-05-13 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	32.09	Other	Other	Approved	32.09	Approve in Full
8686	0617149L	2003-06-17 00:00:00	2003-06-01 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	69.99	Other	Other	Approved	69.99	Approve in Full
8794	0617122L	2003-06-17 00:00:00	2003-06-09 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checkpoint	30.0	Other	Other	Settled	15.0	Settle
9023	0620019M	2003-06-20 00:00:00	2003-04-18 00:00:00	CLE	Cleveland Hopkins International	Northwest Airlines	Passenger Property Loss	Checked Baggage	168.78	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
9315	0625168M	2003-06-25 00:00:00	2003-05-06 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	135.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	135.0	Approve in Full
9833	0701092M	2003-07-01 00:00:00	2003-06-04 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	210.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	105.0	Settle
9883	0701234M	2003-07-01 00:00:00	2003-05-01 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	58.0	Other	Other	Settled	29.0	Settle
10068	0707062M	2003-07-07 00:00:00	2003-06-16 00:00:00	CLE	Cleveland Hopkins International	Continental Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
10074	0707072M	2003-07-07 00:00:00	2003-05-30 00:00:00	CLE	Cleveland Hopkins International	Delta Air Lines	Passenger Property Loss	Checked Baggage	58.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	58.0	Approve in Full
10196	0708045M	2003-07-08 00:00:00	2003-05-13 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	23.47	Other	Other	Approved	23.47	Approve in Full
10215	0708101M	2003-07-08 00:00:00	2003-06-17 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	75.0	Other	Other	Approved	75.0	Approve in Full
10365	0708162M	2003-07-08 00:00:00	2003-06-22 00:00:00	CLE	Cleveland Hopkins International		Passenger Property Loss	Checked Baggage	360.0	Watches & Jewelry	Jewelry - Fine	Settled	180.0	Settle
10634	0714005M	2003-07-14 00:00:00	2003-06-21 00:00:00	CLE	Cleveland Hopkins International	Northwest Airlines	Passenger Property Loss	Checked Baggage	47.81	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	47.81	Approve in Full
10906	0715086M	2003-07-15 00:00:00	2003-06-21 00:00:00	CLE	Cleveland Hopkins International	Northwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
11144	0717040M	2003-07-17 00:00:00		CLE	Cleveland Hopkins International	AirTran Airlines	Passenger Property Loss	Checked Baggage	14.0	Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
11253	0721102M	2003-07-21 00:00:00	2003-06-23 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	1189.02	Other	Other	Approved	1189.02	Approve in Full
11370	0721025M	2003-07-21 00:00:00	2003-06-26 00:00:00	CLE	Cleveland Hopkins International	Southwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Other	Other	Settled	5.0	Settle
11381	0721062M	2003-07-21 00:00:00	2003-07-01 00:00:00	CLE	Cleveland Hopkins International	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Computer - Laptop	Settled	250.0	Settle
11505	0722080M	2003-07-22 00:00:00	2003-04-12 00:00:00	CLE	Cleveland Hopkins International	America West	Passenger Property Loss	Checked Baggage	200.0	Other	Currency	Settled	100.0	Settle
11631	0723029M	2003-07-23 00:00:00	2003-07-01 00:00:00	CLE	Cleveland Hopkins International	Continental Airlines	Passenger Property Loss	Checked Baggage	430.0	Watches & Jewelry	Jewelry - Fine	Settled	215.0	Settle
