id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
80	0714563M	2002-10-08 00:00:00	2002-09-12 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checkpoint	185.0	Other	Other	Denied	0.0	Deny
449	0905804M	2002-12-02 00:00:00		COS	Colorado Springs Municipal		Passenger Property Loss	Checkpoint	270.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	270.0	Deny
458	19905	2002-12-03 00:00:00	2002-10-17 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checkpoint	125.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved		Approve in Full
2344	0207002L	2003-02-07 00:00:00	2002-10-20 00:00:00	COS	Colorado Springs Municipal	Continental Airlines	Passenger Property Loss	Checkpoint		Other	Other	Canceled	0.0	
2570	0212029L	2003-02-12 00:00:00	2003-01-23 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checkpoint	800.0	Other	Currency	Denied	0.0	Deny
5677	0428027L	2003-04-28 00:00:00	2003-03-14 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Property Loss	Checked Baggage	99.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	99.0	Approve in Full
6388	0514017L	2003-05-14 00:00:00	2003-01-31 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checkpoint	101.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	101.0	Approve in Full
9999	0703023M	2003-07-03 00:00:00	2003-06-12 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	100000.0	Other	Other	Denied	0.0	Deny
11678	0723165M	2003-07-23 00:00:00	2003-07-02 00:00:00	COS	Colorado Springs Municipal	Delta Air Lines	Passenger Property Loss	Checked Baggage	400.0	Electronics	Cameras - Digital	Settled	200.0	Settle
14341	0826029M	2003-08-26 00:00:00	2003-08-13 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checkpoint	350.0	Other	Other	Denied	0.0	Deny
16406	0925286M	2003-09-25 00:00:00	2003-08-27 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Property Loss	Checked Baggage	30.35	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.35	Approve in Full
17032	1002161M	2003-10-02 00:00:00	2003-09-12 00:00:00	COS	Colorado Springs Municipal	Delta Air Lines	Passenger Property Loss	Checkpoint	94.5	Electronics	DVD/CD Players	Approved	94.5	Approve in Full
22203	1208259M	2003-12-08 00:00:00	2003-11-20 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage		Other	Other	Canceled		
24302	0107096M	2004-01-07 00:00:00	2003-12-11 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Property Loss	Checked Baggage	2000.0	Electronics	Computer - Laptop	Denied	0.0	Deny
25158	0114538M	2004-01-14 00:00:00	2003-12-29 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	70.0	Other	Other	Settled	35.0	Settle
27765	0212101M	2004-02-12 00:00:00	2004-02-02 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	35.0	Other	Other	Canceled	0.0	
28225	0219673M	2004-02-19 00:00:00	2004-02-11 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	189.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
29871	2004043050340	2004-03-10 00:00:00	2004-02-27 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	90.0	Electronics	DVD/CD Players	Settled	45.0	Settle
32224	2004051852830	2004-04-06 00:00:00	2003-12-21 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
33949	2004060254214	2004-05-03 00:00:00	2004-03-03 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Property Loss	Checked Baggage	1235.46	Electronics	Cameras - Digital	Denied	0.0	Deny
35380	2004061756186	2004-05-13 00:00:00	2004-04-28 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	50.0	Settle
36102	2004062757457	2004-05-27 00:00:00	2004-01-28 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Property Loss	Checked Baggage	54.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	54.0	Approve in Full
36120	2004060855099	2004-05-27 00:00:00	2004-05-12 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	200.0	Other	Other	Canceled	0.0	
37727	2004070158063	2004-06-10 00:00:00	2004-06-02 00:00:00	COS	Colorado Springs Municipal	Delta Air Lines	Passenger Property Loss	Checkpoint	500.0	Electronics	Cameras - Digital	Settled	164.06	Settle
37887	2004070658452	2004-06-16 00:00:00	2004-05-27 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	98.93	Electronics	Cell Phones	Approved	98.93	Approve in Full
38412	2004071259026	2004-06-22 00:00:00	2004-06-11 00:00:00	COS	Colorado Springs Municipal	US Express	Passenger Property Loss	Checked Baggage	125.99	Other	Other	Approved	125.99	Approve in Full
39160	2004071959690	2004-07-06 00:00:00	2004-05-22 00:00:00	COS	Colorado Springs Municipal	Continental Airlines	Passenger Property Loss	Checked Baggage	447.13	Watches & Jewelry	Jewelry - Fine	Canceled		
42238	2004112467753	2004-08-10 00:00:00	2004-08-02 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	21.2	Tools & Machines	Locks	Approved	21.2	Approve in Full
42598	2004092363624	2004-08-13 00:00:00	2004-05-21 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Theft	Checked Baggage	400.0	Other	Other	Canceled	0.0	
43646	2004100664730	2004-08-31 00:00:00	2004-08-15 00:00:00	COS	Colorado Springs Municipal	Continental Airlines	Passenger Property Loss	Checked Baggage	6.09	Other	Other	Approved	6.09	Approve in Full
43986	2004100764791	2004-09-06 00:00:00	2004-07-17 00:00:00	COS	Colorado Springs Municipal	American Airlines	Passenger Property Loss	Checked Baggage	450.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
44043	2004092864061	2004-09-09 00:00:00	2004-07-08 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	185.0	Other	Other	Approved	185.0	Approve in Full
45110	2004110766578	2004-09-16 00:00:00	2004-09-08 00:00:00	COS	Colorado Springs Municipal	UAL	Passenger Property Loss	Checked Baggage	1072.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
45524	2004111566999	2004-09-21 00:00:00	2004-09-10 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	295.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
45729	2004103065887	2004-09-23 00:00:00	2004-09-03 00:00:00	COS	Colorado Springs Municipal		Passenger Property Loss	Checked Baggage	13.9	Other	Other	Denied	13.9	Deny
47917	2004121469093	2004-10-20 00:00:00	2004-10-11 00:00:00	COS	Colorado Springs Municipal	Delta Air Lines	Passenger Property Loss	Checkpoint	800.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
48156	2004120868841	2004-10-25 00:00:00	2004-08-19 00:00:00	COS	Colorado Springs Municipal	Northwest Airlines	Passenger Property Loss	Checkpoint	90.04	Supplies	Medicines	Denied	90.04	Deny
