id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
33784	2004051852644	2004-05-03 00:00:00	2003-03-23 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checkpoint	106.7	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved		Approve in Full
62111	2005042183055	2005-04-19 00:00:00	2005-01-09 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	1195.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
67705	2005071388851	2005-07-08 00:00:00	2005-06-16 00:00:00	CPR	Natrona International	Northwest Airlines	Passenger Property Loss	Checked Baggage	225.95	Other	Other	Denied	0.0	Deny
72966	2005100594129	2005-09-29 00:00:00	2005-09-03 00:00:00	CPR	Natrona International	Northwest Airlines	Passenger Property Loss	Checked Baggage	414.73	Supplies	Medicines	Denied	0.0	Deny
77111	2005122798443	2005-12-14 00:00:00	2005-10-25 00:00:00	CPR	Natrona International	USAir	Passenger Property Loss	Checked Baggage	515.28	Electronics	Cameras - Digital	Denied	0.0	Deny
81362	2006030602584	2006-02-28 00:00:00	2006-02-18 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	21.7	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	21.7	Approve in Full
81857	2006032003387	2006-03-07 00:00:00	2006-02-26 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	536.75	Electronics	Cameras - Digital	Settled	247.78	Settle
84412	2006050305656	2006-04-26 00:00:00	2006-04-08 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	507.0	Electronics,Electronics,Games & Toys,Containers,Electronics	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Game Equipment (poker chips, checker sets, chess etc.)*Luggage (all types including footlockers)*Video Recordings - Laser Discs	Denied	0.0	Deny
86171	2006060607360	2006-06-02 00:00:00	2006-01-22 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Canceled	0.0	
86503	2006060907715	2006-06-08 00:00:00	2006-04-03 00:00:00	CPR	Natrona International		Passenger Property Loss	Checked Baggage	400.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
86773	2006061508062	2006-06-14 00:00:00	2006-05-13 00:00:00	CPR	Natrona International	Northwest Airlines	Passenger Property Loss	Checked Baggage	9.98	Tools & Machines	Locks	Approved	9.98	Approve in Full
91818	2006092213104	2006-09-20 00:00:00	2006-08-23 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	77.9	Other	Other	Approved	77.9	Approve in Full
93722	2006110114980	2006-10-26 00:00:00	2006-09-30 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	275.0	Clothing & Accessories,Clothing & Accessories,Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.*Clothing - Shoes, belts, accessories, etc.*Clothing - Shoes, belts, accessories, etc.	Settled	252.5	Settle
93770	2006110215097	2006-10-27 00:00:00	2006-09-06 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.33	Other	Other	Denied	0.0	Deny
94103	2006110815362	2006-11-03 00:00:00	2006-10-31 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	94.5	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
97589	2007011118666	2007-01-08 00:00:00	2006-08-19 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
98486	2007012519452	2007-01-22 00:00:00	2007-01-03 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	85.0	Watches & Jewelry	Watches - Inexpensive $100 or less	Denied	0.0	Deny
102453	2007041023668	2007-04-06 00:00:00	2007-03-30 00:00:00	CPR	Natrona International	UAL	Passenger Property Loss	Checked Baggage	986.13	Electronics	Computer - Laptop	Denied	0.0	Deny
107326	2007071728547	2007-07-16 00:00:00	2007-07-04 00:00:00	CPR	Natrona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	761.49	Electronics,Other	Cameras - Digital*Other	Denied	0.0	Deny
117852	2008021339545	2008-02-04 00:00:00	2007-12-20 00:00:00	CPR	Natrona International	Northwest Airlines	Passenger Property Loss	Checked Baggage	650.0	Other	Other	Denied	0.0	Deny
