id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
22274	1208253M	2003-12-08 00:00:00	2003-08-12 00:00:00	CWA	Central Wisconsin Regional		Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Denied	0.0	Deny
22321	1208504M	2003-12-08 00:00:00	2003-08-12 00:00:00	CWA	Central Wisconsin Regional		Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Denied	0.0	Deny
44898	2004103065815	2004-09-15 00:00:00	2004-08-29 00:00:00	CWA	Central Wisconsin Regional		Passenger Property Loss	Checkpoint	175.0	Watches & Jewelry	Denied	175.0	Deny
46295	2004111567074	2004-09-29 00:00:00	2004-08-27 00:00:00	CWA	Central Wisconsin Regional		Passenger Property Loss	Checked Baggage	855.0	Other	Denied	0.0	Deny
50872	2004122770952	2004-11-29 00:00:00	2004-10-06 00:00:00	CWA	Central Wisconsin Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	1000.0	Other	Denied		Deny
52569	2005010773232	2004-12-21 00:00:00	2004-12-07 00:00:00	CWA	Central Wisconsin Regional		Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
56486	2005031077591	2005-02-04 00:00:00	2005-01-16 00:00:00	CWA	Central Wisconsin Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	264.0	Supplies	Canceled	0.0	
56924	2005031177773	2005-02-09 00:00:00	2005-01-04 00:00:00	CWA	Central Wisconsin Regional	UAL	Passenger Property Loss	Checked Baggage	107.74	Other	Denied	0.0	Deny
70555	2005083091868	2005-08-23 00:00:00	2005-08-14 00:00:00	CWA	Central Wisconsin Regional	US Express	Passenger Property Loss	Checked Baggage	6.99	Tools & Machines	Approved	6.99	Approve in Full
76516	2005121397578	2005-12-05 00:00:00	2005-10-04 00:00:00	CWA	Central Wisconsin Regional		Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Denied	0.0	Deny
83104	2006040704244	2006-03-30 00:00:00	2006-03-11 00:00:00	CWA	Central Wisconsin Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Denied	0.0	Deny
