id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
60579	2005033180806	2005-03-30 00:00:00	2005-02-16 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	0.0	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
65878	2005062186721	2005-06-09 00:00:00	2005-06-01 00:00:00	ELM	Elmira Corning International	UAL	Passenger Property Loss	Checked Baggage	60.0	Cosmetics	Settled	30.0	Settle
74335	2005110195496	2005-10-24 00:00:00	2005-10-01 00:00:00	ELM	Elmira Corning International	Continental Airlines	Passenger Property Loss	Checked Baggage	62.99	Other	Settled	31.5	Settle
77424	2006010398583	2005-12-21 00:00:00	2005-11-12 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	2054.0	Electronics	Denied	0.0	Deny
82742	2006040403972	2006-03-23 00:00:00	2006-03-15 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Denied	0.0	Deny
83767	2006042505275	2006-04-13 00:00:00	2006-10-13 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	16.18	Other	Approved	16.18	Approve in Full
83791	2006042405066	2006-04-13 00:00:00	2006-04-05 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	572.74	Electronics	Denied	0.0	Deny
90519	2006083111884	2006-08-25 00:00:00	2006-08-17 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	14.25	Tools & Machines	Approved	14.25	Approve in Full
97817	2007011718861	2007-01-10 00:00:00	2006-10-22 00:00:00	ELM	Elmira Corning International	US Express	Passenger Property Loss	Checked Baggage	23.28	Tools & Machines	Approved	23.28	Approve in Full
100498	2007030121747	2007-02-27 00:00:00	2007-02-25 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	221.5	Other	Denied	0.0	Deny
104128	2007051425373	2007-05-11 00:00:00	2007-05-06 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	4807.79	Electronics,Electronics	Denied	0.0	Deny
104296	2007051625445	2007-05-15 00:00:00	2007-04-11 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Denied	0.0	Deny
109190	2007082130576	2007-08-17 00:00:00	2007-08-07 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	8.24	Tools & Machines	Approved	8.24	Approve in Full
114079	2007112635371	2007-11-23 00:00:00	2007-11-03 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	700.0	Electronics	Denied	0.0	Deny
114804	2007121136351	2007-12-06 00:00:00	2007-11-13 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	205.18	Electronics	Canceled	0.0	
116642	2008011738092	2008-01-11 00:00:00	2008-01-04 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	355.4	Clothing & Accessories	Settled	177.5	Settle
117382	2008020539122	2008-01-25 00:00:00	2008-12-23 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	465.39	Other	Denied	0.0	Deny
121777	2008042543375	2008-04-23 00:00:00	2008-04-07 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	249.99	Electronics	Denied	0.0	Deny
121828	2008042843448	2008-04-24 00:00:00	2008-03-04 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	60.0	Containers	Denied	0.0	Deny
124616	2008062746289	2008-06-24 00:00:00	2008-06-16 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	325.0	Clothing & Accessories	Settled	97.5	Settle
125245	2008071646973	2008-07-09 00:00:00	2008-05-24 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage	143.91	Clothing & Accessories	Denied	0.0	Deny
129318	2008101451099	2008-10-10 00:00:00	2008-09-16 00:00:00	ELM	Elmira Corning International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1187.5	Other	Denied	0.0	Deny
136357	2009050558358	2009-04-17 00:00:00	2009-03-18 00:00:00	ELM	Elmira Corning International	Allegiant Air	Passenger Property Loss	Checkpoint	462.98	Cosmetics	Settled	449.97	Settle
146949	2010033070199	2010-03-22 00:00:00	2010-02-04 06:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Cosmetics,Electronics		0.0	Deny
147241	2010040270327	2010-03-31 00:00:00	2010-03-13 00:00:00	ELM	Elmira Corning International	Allegiant Air	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
164127	2011101287726	2011-09-20 00:00:00	2011-04-05 00:00:00	ELM	Elmira Corning International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics,Electronics		0.0	Deny
169065	2012040692636	2012-03-08 00:00:00	2011-12-29 11:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checkpoint		Other		170.0	Settle
169872	2012050293494	2012-04-09 00:00:00	2012-03-15 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Food & Drink,Outdoors Supplies		0.0	Deny
170190	2012051493887	2012-04-19 00:00:00	2012-04-18 00:00:00	ELM	Elmira Corning International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics			
179740	2013051003623	2013-04-08 00:00:00	2013-03-23 00:00:00	ELM	Elmira Corning International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Containers,Cosmetics,Cosmetics		72.5	Settle
197624	2015061223133	2015-06-02 00:00:00	2015-05-31 00:00:00	ELM	Elmira Corning International	USAir	Passenger Property Loss	Checked Baggage		Electronics		78.8	Settle
197626	2015121827688	2015-10-27 00:00:00	2015-10-06 00:00:00	ELM	Elmira Corning International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
206279	2016032229958	2016-03-09 00:00:00	2016-01-15 05:30:00	ELM	Elmira Corning International Elmira Corning International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Scientific Intruments		32.79	Approve in Full
