id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
51118	2004122971544	2004-12-02 00:00:00	2004-11-05 00:00:00	EVV	Evansville Regional Airport		Passenger Property Loss	Checked Baggage	200.0	Containers	Luggage (all types including footlockers)	Settled	48.65	Settle
59364	2005032980385	2005-03-16 00:00:00	2005-02-22 00:00:00	EVV	Evansville Regional Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	300.0	Watches & Jewelry	Jewelry - Fine	Approved	300.0	Approve in Full
64911	2005060685820	2005-05-31 00:00:00	2004-05-18 00:00:00	EVV	Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	1430.0	Other	Other	Denied	0.0	Deny
66674	2005062887661	2005-06-21 00:00:00	2005-06-14 00:00:00	EVV	Evansville Regional Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	750.0	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
70746	2005091292344	2005-08-23 00:00:00	2005-08-10 00:00:00	EVV	Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.13	Electronics	Cameras - Digital	Settled	190.78	Settle
77872	2006010999094	2006-01-03 00:00:00	2005-10-23 00:00:00	EVV	Evansville Regional Airport		Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	70.0	Approve in Full
82456	2006032303603	2006-03-20 00:00:00	2005-12-27 00:00:00	EVV	Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	60.09	Watches & Jewelry	Jewelry - Fine	Approved	60.09	Approve in Full
83128	2006041204399	2006-03-30 00:00:00	2006-02-09 00:00:00	EVV	Evansville Regional Airport	American Airlines	Passenger Property Loss	Checkpoint	789.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
115556	2008010237160	2007-12-26 00:00:00	2007-11-24 00:00:00	EVV	Evansville Regional Airport	American Airlines	Passenger Property Loss	Checkpoint	49.48	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	49.48	Approve in Full
127694	2008090449513	2008-09-02 00:00:00	2008-08-16 00:00:00	EVV	Evansville Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage	125.0	Household Items	Kitchen Utensils -Pots, Pans, Knives (heavy aluminum, cast iron, etc.)	Denied	0.0	Deny
149623	2010062272893	2010-06-14 00:00:00	2010-05-29 00:00:00	EVV	Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Outdoors Supplies	Sporting Equipment & Supplies (footballs, parachutes, etc.)		0.0	Deny
151493	2010081374859	2010-08-09 00:00:00	2010-08-01 00:00:00	EVV	Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics	Audio/Video		0.0	Deny
160054	2011052083595	2011-05-09 00:00:00	2011-04-14 00:00:00	EVV	Evansville Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Cameras		0.0	Deny
176504	2013012500385	2012-12-06 00:00:00	2012-11-27 00:00:00	EVV	Evansville Regional Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
179469	2013041503180	2013-03-29 00:00:00	2013-03-02 00:00:00	EVV	Evansville Regional Airport		Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
191034	2014062514866	2014-06-19 00:00:00	2014-06-10 00:00:00	EVV	Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics			
214523	2017060140107	2017-04-13 00:00:00	2017-02-02 08:30:00	EVV	Evansville Regional Airport Evansville Regional Airport		Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing			In Review
214524	2017112045260	2017-10-26 00:00:00	2017-10-21 08:40:00	EVV	Evansville Regional Airport Evansville Regional Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories			In Review
