id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
34433	2004051251237	2004-05-04 00:00:00	2004-04-03 00:00:00	EWN	Craven County Regional	American Airlines	Passenger Property Loss	Checked Baggage	92.02	Cosmetics	Settled	46.01	Settle
42763	2004092864014	2004-08-19 00:00:00	2004-07-24 00:00:00	EWN	Craven County Regional		Passenger Property Loss	Checked Baggage	8.0	Tools & Machines	Approved	8.0	Approve in Full
45694	2004092363630	2004-09-23 00:00:00	2004-09-02 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	200.0	Electronics	Denied	0.0	Deny
59051	2005032880004	2005-03-09 00:00:00	2005-03-03 00:00:00	EWN	Craven County Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	306.0	Electronics	Denied	0.0	Deny
71505	2005091992689	2005-09-08 00:00:00	2005-08-14 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	64.92	Clothing & Accessories	Canceled	0.0	
80905	2006022302035	2006-02-17 00:00:00	2005-12-27 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	415.92	Clothing & Accessories	Denied	0.0	Deny
89176	2006080310485	2006-07-31 00:00:00	2006-07-26 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	135.0	Watches & Jewelry	Denied	0.0	Deny
92608	2006102314438	2006-10-05 00:00:00	2006-09-28 00:00:00	EWN	Craven County Regional	UAL	Passenger Property Loss	Checked Baggage	32.54	Tools & Machines	Approved	32.54	Approve in Full
96205	2006122217721	2006-12-13 00:00:00	2006-12-04 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	427.99	Electronics	Denied	0.0	Deny
96567	2006122818068	2006-12-21 00:00:00	2006-11-09 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	700.0	Electronics,Electronics,Clothing & Accessories	Denied	0.0	Deny
108213	2007073129385	2007-07-31 00:00:00	2007-07-12 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	7100.0	Watches & Jewelry	Denied	0.0	Deny
109561	2007082430873	2007-08-23 00:00:00	2007-03-14 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	1695.37	Electronics,Electronics,Games & Toys,Other	Denied	0.0	Deny
111833	2007100933154	2007-10-09 00:00:00	2007-04-06 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	1443.64	Containers,Watches & Jewelry,Watches & Jewelry	Denied	0.0	Deny
119581	2008031841204	2008-03-12 00:00:00	2008-03-03 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	7950.0	Other,Watches & Jewelry	Denied	0.0	Deny
121141	2008041742818	2008-04-10 00:00:00	2008-03-12 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	181.22	Electronics	Denied	0.0	Deny
123441	2008060345208	2008-05-29 00:00:00	2008-05-19 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	215.0	Watches & Jewelry	Canceled	0.0	
132916	2009012354833	2009-01-14 00:00:00	2008-08-15 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checkpoint	20.0	Other	Canceled	0.0	
134968	2009032556907	2009-03-11 00:00:00	2009-03-07 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories,Tools & Machines,Containers	Denied	0.0	Deny
142947	2009102964934	2009-10-26 00:00:00	2009-10-21 09:30:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage	200.0	Containers,Cosmetics,Games & Toys	Canceled		
145407	2010020568360	2010-01-25 00:00:00	2010-01-04 05:30:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics			
146594	2010031669629	2010-03-11 00:00:00	2010-02-20 00:00:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
149028	2010060272298	2010-05-25 00:00:00	2010-05-19 17:46:00	EWN	Craven County Regional	USAir	Passenger Property Loss	Checked Baggage		Clothing & Accessories		0.0	Deny
150793	2010080274290	2010-07-19 00:00:00	2010-07-06 12:15:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		8.51	Approve in Full
151672	2010082075166	2010-08-12 00:00:00	2010-07-28 11:30:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checkpoint		Electronics			
153676	2010102077125	2010-10-12 00:00:00	2010-09-29 00:00:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics		0.0	Deny
169988	2012050393588	2012-04-12 00:00:00	2012-03-18 16:30:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics			
172061	2012073095784	2012-06-25 00:00:00	2012-05-25 16:55:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		59.99	Approve in Full
187239	2014012110991	2014-01-15 00:00:00	2013-11-14 00:00:00	EWN	Craven County Regional	UAL	Passenger Property Loss	Checked Baggage		Outdoors Supplies		0.0	Deny
197657	2015050822380	2015-05-08 00:00:00	2015-02-08 00:00:00	EWN	Craven County Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics,Electronics		0.0	Deny
214525	2017041038449	2017-02-08 00:00:00	2017-01-22 00:00:00	EWN	Craven County Regional Craven County Regional	American Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies			In Review
214526	2018010346416	2017-12-22 00:00:00	2017-10-28 00:00:00	EWN	Craven County Regional Craven County Regional		Passenger Property Loss	Checked Baggage		Other			In Review
