id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
139	21807	2002-10-29 00:00:00	2002-10-09 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checkpoint	499.0	Other	Other	Approved	499.0	Approve in Full
381	28480	2002-11-25 00:00:00	2002-11-14 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	200.0	Other	Other	Approved	20.0	Approve in Full
402	18993	2002-11-26 00:00:00	2002-09-24 00:00:00	EWR	Newark International Airport	USAir	Passenger Property Loss	Checkpoint	122.0	Watches & Jewelry	Jewelry - Fine	Approved	122.0	Approve in Full
618	121300JL	2002-12-13 00:00:00	2002-11-21 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	140.0	Other	Currency	Approved	140.0	Approve in Full
827	23835	2002-12-20 00:00:00	2002-09-28 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	75.0	Other	Other	Approved	75.0	Approve in Full
913	0630500M	2002-12-26 00:00:00	2002-11-21 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	5309.0	Other	Other	Canceled		
952	0617674L	2002-12-30 00:00:00	2002-10-07 00:00:00	EWR	Newark International Airport	America West	Passenger Property Loss	Checkpoint	357.0	Electronics	Cameras - Digital	Approved	357.0	Approve in Full
990	20649	2002-12-30 00:00:00	2002-10-07 00:00:00	EWR	Newark International Airport	Southwest Airlines	Passenger Property Loss	Other	357.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled		
1215	0703528M	2003-01-08 00:00:00	2002-11-13 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	349.0	Electronics	Cameras - Digital	Settled	174.5	Settle
1321	0909826M	2003-01-13 00:00:00	2002-12-20 00:00:00	EWR	Newark International Airport	America Trans Air	Passenger Property Loss	Checked Baggage	385.0	Electronics	Cameras - Digital	Settled	283.0	Settle
1329	0617515L	2003-01-14 00:00:00	2002-12-20 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	285.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	285.0	Approve in Full
1490	0617644L	2003-01-21 00:00:00	2003-01-10 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	200.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	200.0	Approve in Full
1637	0617626L	2003-01-22 00:00:00	2002-11-02 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	600.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	600.0	Approve in Full
1765	0617615L	2003-01-22 00:00:00	2002-11-22 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	125.0	Settle
1793	0123015L	2003-01-23 00:00:00	2003-01-02 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	120.0	Other	Other	Denied	0.0	Deny
1955	0128016L	2003-01-28 00:00:00	2002-12-30 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Jewelry - Fine	Settled	100.0	Settle
2034	0129054L	2003-01-29 00:00:00	2002-12-31 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	120.0	Electronics	Cameras - Digital	Settled	60.0	Settle
2401	0211045L	2003-02-11 00:00:00	2003-01-20 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Other	Approved	20.0	Approve in Full
2475	0211025L	2003-02-11 00:00:00	2003-01-16 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	554.0	Other	Other	Settled	277.0	Settle
2777	0224093L	2003-02-24 00:00:00	2002-08-19 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	315.0	Containers	Luggage (all types including footlockers)	Closed as a contractor claim		
2917	0225107L	2003-02-25 00:00:00	2003-02-02 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1982.66	Other	Other	Denied	0.0	Deny
3101	0228023L	2003-02-28 00:00:00	2002-09-11 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	100.0	Other	Other	Settled	50.0	Settle
3320	0306015L	2003-03-06 00:00:00	2003-02-04 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	2600.0	Electronics	Computer - Laptop	Denied	0.0	Deny
3382	0311034L	2003-03-11 00:00:00	2003-02-23 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	93.0	Other	Other	Approved	93.0	Approve in Full
3464	0311047L	2003-03-11 00:00:00	2003-01-02 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	400.0	Electronics	Computer - Laptop	Denied	0.0	Deny
3627	0313021L	2003-03-13 00:00:00	2003-02-18 00:00:00	EWR	Newark International Airport	Air Jamaica	Passenger Property Loss	Checked Baggage	129.95	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	65.0	Settle
3639	0314006L	2003-03-14 00:00:00	2003-02-23 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	25.0	Watches & Jewelry	Jewelry - Fine	Approved	25.0	Approve in Full
4007	0321037L	2003-03-21 00:00:00	2003-01-22 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	75.0	Watches & Jewelry	Jewelry - Fine	Canceled		
4284	0326018L	2003-03-26 00:00:00	2003-02-21 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	400.0	Electronics	Cameras - Digital	Settled	200.0	Settle
4517	0702540M	2003-04-01 00:00:00	2003-03-17 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	220.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	110.0	Settle
4689	0407016L	2003-04-07 00:00:00	2003-02-14 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	11275.0	Watches & Jewelry	Jewelry - Fine	Denied	11275.0	Deny
4833	0408104L	2003-04-08 00:00:00	2003-03-26 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	34.74	Other	Other	Settled	17.37	Settle
4886	0409054L	2003-04-09 00:00:00	2003-02-25 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	4136.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
4971	0410032L	2003-04-10 00:00:00	2002-12-23 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Other	160.0	Other	Other	Settled	125.39	Settle
5020	0414008L	2003-04-14 00:00:00	2003-02-02 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	700.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	450.0	Settle
5045	0415077L	2003-04-15 00:00:00	2003-03-30 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	25.0	Tools & Machines	Locks	Approved	25.0	Approve in Full
5107	0415079L	2003-04-15 00:00:00	2003-03-23 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	3400.0	Electronics	Computer - Laptop	Settled	1404.0	Settle
5203	0416053L	2003-04-16 00:00:00	2003-03-21 00:00:00	EWR	Newark International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Other	Settled	100.0	Settle
5375	0421061L	2003-04-21 00:00:00	2003-03-03 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	557.0	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
5409	0421067L	2003-04-21 00:00:00		EWR	Newark International Airport	UAL	Passenger Property Loss	Other	79.9	Electronics	Cameras - Digital	Settled	40.0	Settle
5544	0422076L	2003-04-22 00:00:00	2003-01-30 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	469.0	Electronics	Stereo Items & Accessories	Settled	234.5	Settle
5566	0422132L	2003-04-22 00:00:00	2003-03-26 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	5000.0	Watches & Jewelry	Jewelry - Fine	Settled	1000.0	Settle
5738	0428109L	2003-04-28 00:00:00	2003-03-14 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	2000.0	Electronics	Computer - Laptop	Denied	2000.0	Deny
5917	0430066L	2003-04-30 00:00:00	2003-03-13 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	526.07	Other	Other	Settled	263.04	Settle
6029	0505002L	2003-05-05 00:00:00	2003-04-04 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Settled	150.0	Settle
6121	0506017L	2003-05-06 00:00:00	2003-04-06 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	80.0	Tools & Machines	Locks	Denied	0.0	Deny
6751	0520111L	2003-05-20 00:00:00	2003-03-12 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	400.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
7142	0528049L	2003-05-28 00:00:00	2003-05-15 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Other	Settled	25.0	Settle
7201	0529028L	2003-05-29 00:00:00	2003-05-16 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
7234	0529103L	2003-05-29 00:00:00	2002-11-11 00:00:00	EWR	Newark International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	125.0	Other	Other	Denied	0.0	Deny
7697	0603172L	2003-06-03 00:00:00	2003-04-01 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	25.0	Settle
7715	0603236L	2003-06-03 00:00:00	2003-05-26 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Cell Phones	Settled	100.0	Settle
7750	0604000L	2003-06-04 00:00:00	2003-05-13 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
7845	0605053L	2003-06-05 00:00:00	2003-05-15 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	4250.0	Electronics	Computer - Laptop	Denied	0.0	Deny
7858	0605005L	2003-06-05 00:00:00	2003-05-23 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	450.0	Watches & Jewelry	Jewelry - Fine	Settled	225.0	Settle
7937	0609050L	2003-06-09 00:00:00	2003-05-18 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	50.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	50.0	Approve in Full
7952	0609085L	2003-06-09 00:00:00	2003-05-30 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checked Baggage	425.0	Other	Other	Approved	425.0	Approve in Full
7984	0609168L	2003-06-09 00:00:00	2003-02-10 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	500.0	Other	Other	Approved	500.0	Approve in Full
8061	0609086L	2003-06-09 00:00:00	2003-05-25 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	207.8	Tools & Machines	Locks	Settled	103.9	Settle
8084	0609170L	2003-06-09 00:00:00	2003-05-16 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	4456.4	Electronics	Computer - Laptop	Settled	1280.68	Settle
8138	0610168L	2003-06-10 00:00:00	2003-05-26 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	126.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	126.0	Approve in Full
8255	0610047L	2003-06-10 00:00:00	2003-04-06 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	500.0	Other	Currency	Settled	250.0	Settle
8286	0610144L	2003-06-10 00:00:00	2003-05-21 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	400.0	Electronics	PDA - Personal Data Assistants	Settled	157.38	Settle
8327	0611023L	2003-06-11 00:00:00	2003-05-01 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	223.0	Electronics	Computer - Laptop	Approved	212.0	Approve in Full
8396	0612036L	2003-06-12 00:00:00	2003-05-21 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	400.0	Other	Other	Canceled		
8445	0612048L	2003-06-12 00:00:00	2003-05-16 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	70.0	Other	Other	Settled	35.0	Settle
8563	0616069L	2003-06-16 00:00:00	2003-05-31 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	600.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
8576	0616116L	2003-06-16 00:00:00	2003-05-16 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	2500.0	Electronics	Computer - Laptop	Denied	2500.0	Deny
8745	0617150L	2003-06-17 00:00:00	2003-01-08 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	205.0	Other	Currency	Denied	0.0	Deny
8778	0617073L	2003-06-17 00:00:00	2003-05-26 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	21.15	Other	Other	Settled	10.58	Settle
8782	0617089L	2003-06-17 00:00:00	2003-05-27 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	100.0	Settle
9199	0624168M	2003-06-24 00:00:00	2003-04-14 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
9651	0701003M	2003-07-01 00:00:00	2003-06-06 00:00:00	EWR	Newark International Airport	Alitalia	Passenger Property Loss	Checked Baggage	175.0	Other	Other	Approved	175.0	Approve in Full
9709	0701214M	2003-07-01 00:00:00	2003-06-10 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Watches & Jewelry	Jewelry - Fine	Approved	50.0	Approve in Full
9716	0701041M	2003-07-01 00:00:00	2003-06-12 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	238.73	Electronics	Cameras - Digital	Canceled		
9723	0701222M	2003-07-01 00:00:00	2003-06-09 00:00:00	EWR	Newark International Airport	Virgin Atlantic	Passenger Property Loss	Checked Baggage	1078.6	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
9730	0701027M	2003-07-01 00:00:00	2002-12-28 00:00:00	EWR	Newark International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	5839.25	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	5839.25	Deny
9923	0702043M	2003-07-02 00:00:00	2003-06-18 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	950.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
10084	0707107M	2003-07-07 00:00:00	2003-06-17 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	100.0	Other	Other	Approved	100.0	Approve in Full
10183	0708020M	2003-07-08 00:00:00	2003-06-25 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	400.0	Other	Other	Approved	400.0	Approve in Full
10263	0708042M	2003-07-08 00:00:00	2003-06-23 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	18.0	Tools & Machines	Locks	Denied	0.0	Deny
10330	0708028M	2003-07-08 00:00:00	2003-06-13 00:00:00	EWR	Newark International Airport	America West	Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Settled	150.0	Settle
10332	0708046M	2003-07-08 00:00:00	2003-06-16 00:00:00	EWR	Newark International Airport	USAir	Passenger Property Loss	Checkpoint	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	200.0	Settle
10493	0709090M	2003-07-09 00:00:00	2003-04-28 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	1057.53	Electronics	Cameras - Digital	Settled	378.76	Settle
10510	0710035M	2003-07-10 00:00:00	2003-05-31 00:00:00	EWR	Newark International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	262.14	Electronics	Cameras - Digital	Approved	262.14	Approve in Full
10522	0710025M	2003-07-10 00:00:00	2003-07-02 00:00:00	EWR	Newark International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	300.0	Electronics	Computer - Laptop	Denied	0.0	Deny
10570	0711024M	2003-07-11 00:00:00	2003-06-17 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	582.98	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	291.49	
10601	0711017M	2003-07-11 00:00:00	2003-06-25 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	948.0	Electronics	Cameras - Digital	Settled	340.0	Settle
10627	0711081M	2003-07-11 00:00:00	2003-06-25 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	20.0	Settle
10647	0714049M	2003-07-14 00:00:00	2003-06-27 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	25.0	Approve in Full
10669	0714139M	2003-07-14 00:00:00	2003-06-29 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
10892	0715044M	2003-07-15 00:00:00	2003-07-10 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	7500.0	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
10976	0715040M	2003-07-15 00:00:00	2003-05-28 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	133.56	Other	Other	Settled	66.78	Settle
10977	0715053M	2003-07-15 00:00:00	2003-06-04 00:00:00	EWR	Newark International Airport	Alitalia	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Settled	250.0	Settle
10997	0715133M	2003-07-15 00:00:00	2003-06-07 00:00:00	EWR	Newark International Airport	Air Jamaica	Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	150.0	Settle
11200	0718029M	2003-07-18 00:00:00		EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	135.74	Other	Other	Approved	135.74	Approve in Full
11209	0718000M	2003-07-18 00:00:00	2003-01-13 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	2700.0	Electronics	Computer - Laptop	Settled	1968.79	Settle
11287	0721003M	2003-07-21 00:00:00	2003-06-16 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Jewelry - Fine	Canceled		
11328	0721066M	2003-07-21 00:00:00	2003-06-29 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	500.0	Electronics	Cameras - Digital	Denied	0.0	Deny
11367	0721020M	2003-07-21 00:00:00	2003-06-12 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	446.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	223.0	Settle
11606	0723100M	2003-07-23 00:00:00	2003-06-28 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	200.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
11626	0723009M	2003-07-23 00:00:00	2003-07-13 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checked Baggage	3000.0	Electronics	Computer - Laptop	Settled	100.0	Settle
11653	0723107M	2003-07-23 00:00:00	2003-06-03 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	350.0	Settle
11685	0724008M	2003-07-24 00:00:00	2003-06-21 00:00:00	EWR	Newark International Airport	UAL	Passenger Property Loss	Checked Baggage	710.0	Electronics	PDA - Personal Data Assistants	Denied	0.0	Deny
11756	0728066M	2003-07-28 00:00:00	2003-06-26 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	6.0	Other	Other	Approved	6.0	Approve in Full
11767	0728012M	2003-07-28 00:00:00	2003-06-30 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	75.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
11769	0728016M	2003-07-28 00:00:00	2003-03-20 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	3872.96	Electronics	Computer - Laptop	Denied	0.0	Deny
11814	0728059M	2003-07-28 00:00:00	2003-06-20 00:00:00	EWR	Newark International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	195.0	Containers	Luggage (all types including footlockers)	Settled	97.5	Settle
12121	0730024M	2003-07-30 00:00:00	2003-07-13 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Cameras - Digital	Settled	211.49	Settle
12142	0731025M	2003-07-31 00:00:00	2003-06-16 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checkpoint	39.99	Other	Other	Approved		Approve in Full
12280	0731129M	2003-07-31 00:00:00	2003-07-23 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	599.04	Electronics	Cameras - Digital	Settled	203.22	Settle
12443	0804011M	2003-08-04 00:00:00	2003-07-23 00:00:00	EWR	Newark International Airport	Singapore Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
12507	0805077M	2003-08-05 00:00:00	2003-03-07 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checkpoint	250.0	Watches & Jewelry	Jewelry - Fine	Approved	250.0	Approve in Full
12657	0806136M	2003-08-06 00:00:00	2002-12-23 00:00:00	EWR	Newark International Airport	Lufthansa	Passenger Property Loss	Checked Baggage	950.0	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
12725	0806143M	2003-08-06 00:00:00	2003-07-24 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checked Baggage	49.95	Other	Other	Settled	25.0	Settle
12727	0806155M	2003-08-06 00:00:00	2003-07-30 00:00:00	EWR	Newark International Airport		Passenger Property Loss	Checked Baggage	250.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	82.5	Settle
12728	0807005M	2003-08-07 00:00:00	2003-07-18 00:00:00	EWR	Newark International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Other	Approved	100.0	Approve in Full
12828	0808011M	2003-08-08 00:00:00	2003-07-25 00:00:00	EWR	Newark International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Other	Other	Settled	10.0	Settle
12889	0811023M	2003-08-11 00:00:00	2003-07-10 00:00:00	EWR	Newark International Airport	American Airlines	Passenger Property Loss	Checkpoint	158.99	Electronics	Cameras - Digital	Denied	0.0	Deny
