id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2676	0221031L	2003-02-21 00:00:00	2003-02-02 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	152.5	Other	Other	Approved	152.5	Approve in Full
3329	0306020L	2003-03-06 00:00:00	2003-02-10 00:00:00	EYW	Key West International Airport	USAir	Passenger Property Loss	Checkpoint	2000.0	Other	Other	Settled	1358.5	Settle
6784	0520235L	2003-05-20 00:00:00	2003-03-30 00:00:00	EYW	Key West International Airport	USAir	Passenger Property Loss	Checked Baggage	81.7	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
30632	2004061555918	2004-03-18 00:00:00	2004-02-09 00:00:00	EYW	Key West International Airport	American Eagle	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
31136	2004051351744	2004-03-24 00:00:00	2004-02-23 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	1200.0	Watches & Jewelry	Jewelry - Fine	Approved	1200.0	Approve in Full
32039	2004060454678	2004-04-04 00:00:00	2004-04-05 00:00:00	EYW	Key West International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	74.9	Other	Other	Approved	74.9	Approve in Full
32924	2004060254235	2004-04-21 00:00:00	2004-04-02 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	40.0	Approve in Full
33442	2004060254266	2004-04-23 00:00:00	2004-03-15 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	15.0	Other	Other	Approved	15.0	Approve in Full
37891	2004070658466	2004-06-16 00:00:00	2004-01-15 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	373.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	373.0	Approve in Full
39465	2004073060274	2004-07-07 00:00:00	2004-06-06 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	312.5	Other	Other	Settled	121.12	Settle
40697	2004081161117	2004-07-20 00:00:00	2004-06-12 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	743.99	Electronics	Cameras - Digital	Settled	485.0	Settle
42714	2004092463810	2004-08-16 00:00:00	2004-06-22 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	500.0	Electronics	Cameras - Digital	Settled	397.99	Settle
49531	2005010372090	2004-11-09 00:00:00	2004-10-23 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	62.99	Other	Other	Approved	62.99	Approve in Full
53274	2005012173910	2004-12-30 00:00:00	2004-12-15 00:00:00	EYW	Key West International Airport	USAir	Passenger Property Loss	Checked Baggage	260.0	Other	Other	Denied	0.0	Deny
54131	2005020475686	2005-01-11 00:00:00	2004-12-23 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	48.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	48.0	Approve in Full
54755	2005020175214	2005-01-18 00:00:00	2005-01-09 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	289.0	Other	Other	Denied	0.0	Deny
58900	2005032479787	2005-03-09 00:00:00	2005-02-20 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	55.0	Electronics	Cell Phones	Approved	55.0	Approve in Full
60080	2005040181045	2005-03-23 00:00:00	2005-03-14 00:00:00	EYW	Key West International Airport	USAir	Passenger Property Loss	Checked Baggage	74.99	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	38.0	Settle
60730	2005040581619	2005-04-04 00:00:00	2005-03-02 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	1330.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
60782	2005040681706	2005-04-05 00:00:00	2005-03-14 00:00:00	EYW	Key West International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	25.98	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	25.98	Approve in Full
61533	2005041282352	2005-04-12 00:00:00	2005-03-24 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	261.45	Other	Other	Denied	0.0	Deny
62747	2005050283781	2005-04-28 00:00:00	2005-04-23 00:00:00	EYW	Key West International Airport	America West	Passenger Property Loss	Checked Baggage	435.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
63111	2005050484065	2005-05-03 00:00:00	2005-03-16 00:00:00	EYW	Key West International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	22.32	Tools & Machines	Locks	Denied	0.0	Deny
65062	2005060785905	2005-05-31 00:00:00	2005-05-15 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	52.6	Other	Other	Settled	26.3	Settle
66321	2005062787220	2005-06-16 00:00:00	2005-05-31 00:00:00	EYW	Key West International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	100.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
66457	2005062887535	2005-06-20 00:00:00	2005-05-23 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Other	Other	Approved	20.0	Approve in Full
68465	2005072289490	2005-07-20 00:00:00	2005-07-16 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	1800.0	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
70785	2005083091863	2005-08-24 00:00:00	2005-08-05 00:00:00	EYW	Key West International Airport	American Eagle	Passenger Property Loss	Checked Baggage	95.0	Other	Other	Denied	0.0	Deny
72024	2005092092979	2005-09-14 00:00:00	2005-09-04 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	250.0	Other	Other	Settled	200.0	Settle
72520	2005093093579	2005-09-21 00:00:00	2005-09-07 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	32.39	Other	Other	Denied	0.0	Deny
74756	2005110995907	2005-11-01 00:00:00	2005-10-07 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Other	Approved	50.0	Approve in Full
76274	2005120897352	2005-11-29 00:00:00	2005-11-21 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	400.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
76771	2005121497763	2005-12-08 00:00:00	2005-11-23 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	85.0	Other	Other	Approved	85.0	Approve in Full
77221	2005122098142	2005-12-16 00:00:00	2005-12-05 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	35.18	Other	Other	Denied	0.0	Deny
78233	2006011199399	2006-01-06 00:00:00	2005-12-22 00:00:00	EYW	Key West International Airport	USAir	Passenger Property Loss	Checked Baggage	106.0	Other	Other	Denied	0.0	Deny
78313	2006011199334	2006-01-09 00:00:00	2006-01-04 00:00:00	EYW	Key West International Airport	American Eagle	Passenger Property Loss	Checked Baggage	21.69	Electronics	Cell Phones	Canceled	0.0	
79651	2006020100755	2006-01-26 00:00:00	2005-11-05 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	268.75	Other	Other	Settled	134.38	Settle
84225	2006042805441	2006-04-24 00:00:00	2006-04-04 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	1490.63	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
84748	2006051206132	2006-05-02 00:00:00	2006-04-19 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	613.0	Electronics	Cameras - Digital	Settled	243.43	Settle
86980	2006062008239	2006-06-19 00:00:00	2006-05-21 00:00:00	EYW	Key West International Airport		Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	100.0	Approve in Full
87688	2006070508949	2006-07-03 00:00:00	2005-11-24 00:00:00	EYW	Key West International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	217.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	217.0	Approve in Full
87858	2006070709106	2006-07-06 00:00:00	2006-05-04 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	2045.94	Electronics,Other	Computer - Laptop*Other	Denied	0.0	Deny
91059	2006091312509	2006-09-05 00:00:00	2006-07-29 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry,Other	Jewelry - Fine*Other	Denied	0.0	Deny
94252	2006111315497	2006-11-07 00:00:00	2006-10-17 00:00:00	EYW	Key West International Airport	American Airlines	Passenger Property Loss	Checked Baggage	512.0	Electronics	Cameras - Digital	Denied	0.0	Deny
