id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
92295	2006100613733	2006-09-28 00:00:00	2006-09-22 00:00:00	GTR	Golden Triangle Regional		Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
96546	2006122617901	2006-12-21 00:00:00	2006-09-28 00:00:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	119.0	Other	Other	Denied	0.0	Deny
104599	2007052325857	2007-05-21 00:00:00	2007-02-11 00:00:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checkpoint	426.5	Cosmetics,Watches & Jewelry,Supplies	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Costume*Medicines	Denied	0.0	Deny
144430	2009121566553	2009-12-08 00:00:00	2009-11-30 11:15:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.35	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
145854	2010022668771	2010-02-17 00:00:00	2010-01-16 00:00:00	GTR	Golden Triangle Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
155525	2010122078914	2010-12-13 00:00:00	2010-12-02 00:00:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
161851	2011072285437	2011-07-07 00:00:00	2011-07-05 13:30:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics,Other,Electronics	Computer & Accessories*Other*Personal Electronics		0.0	Deny
162215	2011080585804	2011-07-19 00:00:00	2011-06-29 10:55:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
169480	2012032692067	2012-03-26 00:00:00	2012-01-11 06:00:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other	Other		154.25	Approve in Full
182893	2013090606650	2013-08-01 00:00:00	2013-07-09 00:00:00	GTR	Golden Triangle Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing			
