id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
286	0702524M	2002-11-18 00:00:00	2002-11-11 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	1000.0	Other	Canceled		
877	0715528M	2002-12-23 00:00:00	2002-10-07 00:00:00	HNL	Honolulu International Airport	American Airlines	Passenger Property Loss	Checkpoint	239.0	Clothing & Accessories	Settled	180.5	Settle
1729	0617631L	2003-01-22 00:00:00	2002-11-19 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Other	200.0	Other	Denied	0.0	Deny
2319	0206021L	2003-02-06 00:00:00	2002-12-31 00:00:00	HNL	Honolulu International Airport	UAL	Passenger Property Loss	Checkpoint	47.24	Clothing & Accessories	Canceled		
3072	0228004L	2003-02-28 00:00:00	2002-12-29 00:00:00	HNL	Honolulu International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	85.0	Clothing & Accessories	Approved	77.0	Approve in Full
3333	0306026L	2003-03-06 00:00:00	2002-12-30 00:00:00	HNL	Honolulu International Airport	Continental Airlines	Passenger Property Loss	Other	400.0	Watches & Jewelry	Settled	200.0	Settle
3395	0311082L	2003-03-11 00:00:00	2003-01-27 00:00:00	HNL	Honolulu International Airport	Aloha Airlines	Passenger Property Loss	Checked Baggage	640.0	Electronics	Approved	421.47	Approve in Full
3463	0311046L	2003-03-11 00:00:00	2003-02-14 00:00:00	HNL	Honolulu International Airport	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	78.0	Other	Denied	0.0	Deny
3520	0311026L	2003-03-11 00:00:00	2003-02-22 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checked Baggage	204.0	Electronics	Settled	102.0	Settle
3758	0317035L	2003-03-17 00:00:00	2003-01-09 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	145.44	Clothing & Accessories	Settled	38.5	Settle
4055	0324012L	2003-03-24 00:00:00	2003-02-22 00:00:00	HNL	Honolulu International Airport	Air Canada	Passenger Property Loss	Checked Baggage	580.0	Other	Settled	265.0	Settle
4189	0325090L	2003-03-25 00:00:00	2003-02-11 00:00:00	HNL	Honolulu International Airport	UAL	Passenger Property Loss	Checked Baggage	250.08	Other	Settled	125.04	Settle
4544	0402020L	2003-04-02 00:00:00	2003-01-27 00:00:00	HNL	Honolulu International Airport	American Airlines	Passenger Property Loss	Checked Baggage	140.0	Clothing & Accessories	Canceled	0.0	
4569	0402067L	2003-04-02 00:00:00	2003-02-04 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	35.0	Other	Denied	0.0	Deny
4657	0403010L	2003-04-03 00:00:00	2003-03-17 00:00:00	HNL	Honolulu International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	299.0	Clothing & Accessories	Settled	150.0	Settle
5122	0416054L	2003-04-16 00:00:00	2003-04-02 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	65.0	Clothing & Accessories	Approved	65.0	Approve in Full
5149	0416004L	2003-04-16 00:00:00	2003-02-17 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	125.0	Watches & Jewelry	Canceled		
5260	0417015L	2003-04-17 00:00:00	2003-03-07 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checked Baggage	1694.0	Watches & Jewelry	Denied	0.0	Deny
5751	0428061L	2003-04-28 00:00:00	2003-02-10 00:00:00	HNL	Honolulu International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage		Electronics	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
5875	0430030L	2003-04-30 00:00:00	2003-02-08 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checked Baggage	108.9	Clothing & Accessories	Denied	0.0	Deny
6203	0506122L	2003-05-06 00:00:00	2003-03-22 00:00:00	HNL	Honolulu International Airport	UAL	Passenger Property Loss	Other	448.0	Electronics	Settled	224.0	Settle
6539	0514087L	2003-05-14 00:00:00	2003-03-20 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checked Baggage	41.67	Other	Settled	21.0	Settle
6605	0516031L	2003-05-16 00:00:00	2003-05-07 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	50.0	Other	Approved	50.0	Approve in Full
7116	0528120L	2003-05-28 00:00:00	2003-03-04 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	7800.0	Watches & Jewelry	Denied	0.0	Deny
7449	0603068L	2003-06-03 00:00:00	2003-02-17 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	46.86	Other	Approved	47.0	Approve in Full
7527	0603322L	2003-06-03 00:00:00	2003-03-20 00:00:00	HNL	Honolulu International Airport	UAL	Passenger Property Loss	Checked Baggage	125.0	Other	Approved	125.0	Approve in Full
8248	0610029L	2003-06-10 00:00:00	2003-05-22 00:00:00	HNL	Honolulu International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	70.0	Other	Settled	35.0	Settle
8307	0610215L	2003-06-10 00:00:00	2003-04-26 00:00:00	HNL	Honolulu International Airport	UAL	Passenger Property Loss	Checked Baggage	47.84	Cosmetics	Settled	24.0	Settle
8407	0612026L	2003-06-12 00:00:00	2003-03-24 00:00:00	HNL	Honolulu International Airport	Air Canada	Passenger Property Loss	Checkpoint	1000.0	Containers	Denied	0.0	Deny
8462	0613006L	2003-06-13 00:00:00	2003-05-25 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	150.0	Other	Approved	0.0	Approve in Full
8504	0616060L	2003-06-16 00:00:00	2003-02-23 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checked Baggage	2609.0	Electronics	Approved	2609.0	Approve in Full
8535	0616075L	2003-06-16 00:00:00	2003-05-30 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	150.0	Watches & Jewelry	Canceled	0.0	
8578	0616129L	2003-06-16 00:00:00	2003-06-06 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checked Baggage	12.0	Containers	Denied	0.0	Deny
8616	0616071L	2003-06-16 00:00:00	2003-03-16 00:00:00	HNL	Honolulu International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	1700.0	Watches & Jewelry	Settled	1294.31	Settle
8669	0617108L	2003-06-17 00:00:00	2003-05-30 00:00:00	HNL	Honolulu International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	5.5	Other	Approved	5.5	Approve in Full
9173	0624029M	2003-06-24 00:00:00	2003-04-09 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	40.0	Tools & Machines	Denied	0.0	Deny
9383	0625151M	2003-06-25 00:00:00	2003-02-10 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	600.0	Electronics	Denied	0.0	Deny
9413	0625243M	2003-06-25 00:00:00	2003-06-03 00:00:00	HNL	Honolulu International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	191.96	Other	Denied	0.0	Deny
10032	0703052M	2003-07-03 00:00:00	2003-04-28 00:00:00	HNL	Honolulu International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	240.0	Watches & Jewelry	Settled	120.0	Settle
10071	0707068M	2003-07-07 00:00:00	2003-04-14 00:00:00	HNL	Honolulu International Airport		Passenger Property Loss	Checkpoint	500.0	Watches & Jewelry	Approved	0.0	Approve in Full
10140	0707059M	2003-07-07 00:00:00	2003-04-21 00:00:00	HNL	Honolulu International Airport	American Airlines	Passenger Property Loss	Checkpoint	350.0	Watches & Jewelry	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
10206	0708079M	2003-07-08 00:00:00	2003-06-24 00:00:00	HNL	Honolulu International Airport	American Airlines	Passenger Property Loss	Checkpoint	105.0	Electronics	Approved	105.0	Approve in Full
