id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
256	0616547L	2002-11-14 00:00:00	2002-10-29 00:00:00	IAD	Washington Dulles International	American West	Passenger Property Loss	Other	2250.0	Containers	Settled	1000.0	Settle
364	0616748L	2002-11-22 00:00:00	2002-10-28 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checkpoint	3200.0	Electronics	Denied	0.0	Deny
848	20197	2002-12-23 00:00:00	2002-10-13 00:00:00	IAD	Washington Dulles International	USAir	Passenger Property Loss	Checkpoint	250.0	Watches & Jewelry	Approved	300.0	Approve in Full
1288	0113018L	2003-01-13 00:00:00	2002-12-26 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Other	390.0	Clothing & Accessories	Canceled	0.0	
1317	0617585L	2003-01-13 00:00:00	2002-12-26 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	390.0	Electronics	Settled	195.0	Settle
1794	0909837M	2003-01-23 00:00:00	2002-10-24 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checkpoint	120.0	Watches & Jewelry	Denied	0.0	Deny
2808	0224006L	2003-02-24 00:00:00	2003-01-20 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	120.0	Tools & Machines	Settled	60.0	Settle
3706	0317017L	2003-03-17 00:00:00	2003-02-22 00:00:00	IAD	Washington Dulles International	Jet Blue	Passenger Property Loss	Checked Baggage	195.0	Clothing & Accessories	Approved	195.0	Approve in Full
3922	0319014L	2003-03-19 00:00:00	2003-02-24 00:00:00	IAD	Washington Dulles International	American Airlines	Passenger Property Loss	Checked Baggage	54.99	Other	Approved	54.99	Approve in Full
4770	0408060L	2003-04-08 00:00:00	2003-03-13 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	3712.93	Electronics	Denied	3712.93	Deny
4913	0409046L	2003-04-09 00:00:00	2003-03-10 00:00:00	IAD	Washington Dulles International		Passenger Property Loss	Checked Baggage	151.89	Other	Settled	75.95	Settle
5256	0417073L	2003-04-17 00:00:00	2003-02-26 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	1300.0	Electronics	Canceled	0.0	
5557	0422115L	2003-04-22 00:00:00	2003-03-11 00:00:00	IAD	Washington Dulles International	Jet Blue	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Settled	250.0	Settle
5812	0429003L	2003-04-29 00:00:00	2003-03-22 00:00:00	IAD	Washington Dulles International	Continental Airlines	Passenger Property Loss	Checked Baggage	0.0	Other	Canceled		
5876	0430031L	2003-04-30 00:00:00	2003-03-09 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checkpoint	30.0	Other	Denied	0.0	Deny
6550	0514151L	2003-05-14 00:00:00	2003-04-23 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	184.93	Clothing & Accessories	Settled	92.47	Settle
6593	0515025L	2003-05-15 00:00:00	2003-04-04 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	673.5	Other	Settled	336.75	Settle
7047	0528079L	2003-05-28 00:00:00	2003-03-31 00:00:00	IAD	Washington Dulles International		Passenger Property Loss	Checked Baggage	95.0	Cosmetics	Approved	95.0	Approve in Full
7273	0529065L	2003-05-29 00:00:00	2003-05-05 00:00:00	IAD	Washington Dulles International	Air France	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Settled	50.0	Settle
7304	0530012-L	2003-05-30 00:00:00	2003-05-21 00:00:00	IAD	Washington Dulles International		Passenger Property Loss	Checked Baggage	200.0	Containers	Canceled		
8118	0610093L	2003-06-10 00:00:00	2003-05-09 00:00:00	IAD	Washington Dulles International		Passenger Property Loss	Checked Baggage	1109.22	Containers	Approved	1109.22	Approve in Full
9240	0624100M	2003-06-24 00:00:00	2003-06-12 00:00:00	IAD	Washington Dulles International	UAL	Passenger Property Loss	Checked Baggage	316.0	Clothing & Accessories	Settled	108.0	Settle
9422	0625043M	2003-06-25 00:00:00	2003-06-16 00:00:00	IAD	Washington Dulles International	Northwest Airlines	Passenger Property Loss	Checked Baggage		Containers	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
9825	0701079M	2003-07-01 00:00:00	2003-03-19 00:00:00	IAD	Washington Dulles International		Passenger Property Loss	Checked Baggage	50.0	Other	Settled	25.0	Settle
