id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1042	0714565M	2002-12-31 00:00:00	2002-12-01 00:00:00	IND	Indianapolis International	Northwest Airlines	Passenger Property Loss	Checkpoint	21.19	Electronics	Cell Phones	Approved	21.0	Approve in Full
1096	23152	2003-01-02 00:00:00	2002-12-14 00:00:00	IND	Indianapolis International	Southwest Airlines	Passenger Property Loss	Other	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
1481	0617530L	2003-01-21 00:00:00	2002-12-23 00:00:00	IND	Indianapolis International		Passenger Property Loss	Checkpoint	150.0	Other	Other	Approved	150.0	Approve in Full
1900	0127028L	2003-01-27 00:00:00	2003-01-01 00:00:00	IND	Indianapolis International	Delta Air Lines	Passenger Property Loss	Checked Baggage	490.0	Other	Other	Settled	245.0	Settle
2000	0129003L	2003-01-29 00:00:00	2003-01-15 00:00:00	IND	Indianapolis International		Passenger Property Loss	Checkpoint	70.0	Electronics	Cameras - Digital	Denied	0.0	Deny
2118	0203027L	2003-02-03 00:00:00	2003-01-10 00:00:00	IND	Indianapolis International	America Trans Air	Passenger Property Loss	Checked Baggage	518.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	518.0	Approve in Full
2134	0203083L	2003-02-03 00:00:00	2003-01-18 00:00:00	IND	Indianapolis International	UAL	Passenger Property Loss	Checked Baggage	58.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	58.0	Approve in Full
2774	0224081L	2003-02-24 00:00:00	2003-02-13 00:00:00	IND	Indianapolis International	America Trans Air	Passenger Property Loss	Checked Baggage	6000.0	Watches & Jewelry	Jewelry - Fine	Canceled		
2945	0225058L	2003-02-25 00:00:00	2003-01-30 00:00:00	IND	Indianapolis International	American Airlines	Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Jewelry - Fine	Settled	150.0	Settle
2952	0225100L	2003-02-25 00:00:00	2003-01-25 00:00:00	IND	Indianapolis International	Frontier Airlines	Passenger Property Loss	Checked Baggage	150.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	75.0	Settle
3137	0303025L	2003-03-03 00:00:00	2003-01-25 00:00:00	IND	Indianapolis International	Northwest Airlines	Passenger Property Loss	Checked Baggage	275.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	135.0	Settle
3469	0311062L	2003-03-11 00:00:00	2003-02-19 00:00:00	IND	Indianapolis International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1017.5	Electronics	Computer - Laptop	Denied	1017.5	Deny
3473	0311074L	2003-03-11 00:00:00	2003-02-20 00:00:00	IND	Indianapolis International		Passenger Property Loss	Checkpoint	1100.0	Watches & Jewelry	Jewelry - Fine	Denied		Deny
3505	0311195L	2003-03-11 00:00:00	2002-12-28 00:00:00	IND	Indianapolis International	UAL	Passenger Property Loss	Checked Baggage	418.98	Electronics	Cameras - Digital	Denied	0.0	Deny
3653	0314021L	2003-03-14 00:00:00	2003-01-30 00:00:00	IND	Indianapolis International		Passenger Property Loss	Checkpoint	300.0	Other	Currency	Canceled		
4226	0326058L	2003-03-26 00:00:00	2003-03-10 00:00:00	IND	Indianapolis International	AirTran Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Currency	Approved	50.0	Approve in Full
4375	37119	2003-03-31 00:00:00	2003-02-08 00:00:00	IND	Indianapolis International	America Trans Air	Passenger Property Loss	Checked Baggage	485.0	Electronics	Cameras - Digital	Denied	0.0	Deny
4418	0401108L	2003-04-01 00:00:00	2003-02-13 00:00:00	IND	Indianapolis International	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	30.0	Approve in Full
4540	0402086L	2003-04-02 00:00:00	2002-09-18 00:00:00	IND	Indianapolis International		Passenger Property Loss	Checkpoint	30.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	30.0	Approve in Full
5110	0416006L	2003-04-16 00:00:00	2003-02-20 00:00:00	IND	Indianapolis International	Delta Air Lines	Passenger Property Loss	Checked Baggage	95.35	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	95.35	Approve in Full
