id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
607	0616824L	2002-12-13 00:00:00	2002-11-16 00:00:00	LAX	Los Angeles International Airport	American Airlines	Passenger Property Loss	Checkpoint	250.0	Clothing & Accessories	Approved	250.0	Approve in Full
996	22013	2002-12-30 00:00:00	2002-11-22 00:00:00	LAX	Los Angeles International Airport	Delta Air Lines	Passenger Property Loss	Other	350.0	Electronics	Canceled		
999	24010	2002-12-30 00:00:00	2002-12-17 00:00:00	LAX	Los Angeles International Airport		Passenger Property Loss	Checkpoint	90.0	Containers	Canceled		
1010	0703514M	2002-12-30 00:00:00	2002-12-17 00:00:00	LAX	Los Angeles International Airport	UAL	Passenger Property Loss	Checkpoint	90.0	Clothing & Accessories	Denied	0.0	Deny
1084	21239	2003-01-02 00:00:00	2002-11-17 00:00:00	LAX	Los Angeles International Airport	USAir	Passenger Property Loss	Other	100.0	Electronics	Canceled		
1086	22230	2003-01-02 00:00:00	2002-12-06 00:00:00	LAX	Los Angeles International Airport	American Airlines	Passenger Property Loss	Other	2270.0	Electronics	Canceled		
1099	0617673L	2003-01-02 00:00:00	2002-11-17 00:00:00	LAX	Los Angeles International Airport	USAir	Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Settled	50.0	Settle
1100	0617706L	2003-01-02 00:00:00	2002-12-06 00:00:00	LAX	Los Angeles International Airport	American Airlines	Passenger Property Loss	Other	2720.0	Containers	Settled	1350.0	Settle
1106	0103000L	2003-01-03 00:00:00	2002-11-11 00:00:00	LAX	Los Angeles International Airport		Passenger Property Loss	Checkpoint	15.0	Other	Approved	15.0	Approve in Full
1122	0105167M	2003-01-05 00:00:00	2003-09-14 00:00:00	LAX	Los Angeles International Airport		Passenger Property Loss	Checked Baggage	65.1	Clothing & Accessories	Approved	65.1	Approve in Full
1218	0714536M-B	2003-01-08 00:00:00	2002-11-26 00:00:00	LAX	Los Angeles International Airport	American Airlines	Passenger Property Loss	Checked Baggage	802.24	Electronics	Settled	786.39	Settle
1265	0113006L	2003-01-13 00:00:00	2002-12-01 00:00:00	LAX	Los Angeles International Airport		Passenger Property Loss	Checkpoint	169.77	Other	Approved	170.0	Approve in Full
1442	0617559L	2003-01-16 00:00:00	2003-01-04 00:00:00	LAX	Los Angeles International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
1689	0617542L	2003-01-22 00:00:00	2002-10-31 00:00:00	LAX	Los Angeles International Airport	UAL	Passenger Property Loss	Other	144.25	Cosmetics	Canceled		
1840	0127014L	2003-01-27 00:00:00	2003-01-09 00:00:00	LAX	Los Angeles International Airport		Passenger Property Loss	Checkpoint	30.0	Outdoors Supplies	Approved	30.0	Approve in Full
1841	0127016L	2003-01-27 00:00:00	2003-01-17 00:00:00	LAX	Los Angeles International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	30.0	Tools & Machines	Approved	30.0	Approve in Full
1853	0127050L	2003-01-27 00:00:00	2002-12-31 00:00:00	LAX	Los Angeles International Airport		Passenger Property Loss	Checkpoint	45.0	Clothing & Accessories	Approved	45.0	Approve in Full
1909	0128004L	2003-01-28 00:00:00	2003-01-03 00:00:00	LAX	Los Angeles International Airport	American Airlines	Passenger Property Loss	Checkpoint	78.45	Clothing & Accessories	Approved	78.0	Approve in Full
2303	0702510M	2003-02-05 00:00:00	2003-01-03 00:00:00	LAX	Los Angeles International Airport	Air Canada	Passenger Property Loss	Checked Baggage	186.74	Other	Settled	93.37	Settle
