id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
220	19306	2002-11-12 00:00:00	2002-10-04 00:00:00	LGA	LaGuardia	Continental Airlines	Passenger Property Loss	Checkpoint	828.05	Electronics	Settled	742.25	Settle
304	17289	2002-11-20 00:00:00	2002-08-28 00:00:00	LGA	LaGuardia	UAL	Passenger Property Loss	Checkpoint	20.0	Other	Approved	20.0	Approve in Full
345	19140	2002-11-20 00:00:00	2002-09-29 00:00:00	LGA	LaGuardia	Continental Airlines	Passenger Property Loss	Checkpoint	200.0	Electronics	Settled	100.0	Settle
372	20072	2002-11-25 00:00:00	2002-10-18 00:00:00	LGA	LaGuardia	American Airlines	Passenger Property Loss	Checked Baggage	43.35	Other	Approved	43.0	Approve in Full
469	20729	2002-12-03 00:00:00	2002-11-09 00:00:00	LGA	LaGuardia	Delta Air Lines	Passenger Property Loss	Checkpoint	135.37	Other	Canceled		
472	20795	2002-12-03 00:00:00	2002-11-10 00:00:00	LGA	LaGuardia	USAir	Passenger Property Loss	Checkpoint	7.5	Electronics	Denied	0.0	Deny
533	19214	2002-12-09 00:00:00	2002-08-13 00:00:00	LGA	LaGuardia	UAL	Passenger Property Loss	Checkpoint	1100.0	Other	Settled	1046.42	Settle
754	22054	2002-12-17 00:00:00	2002-12-08 00:00:00	LGA	LaGuardia	Spirit Airlines	Passenger Property Loss	Checkpoint	120.0	Other	Approved	120.0	Approve in Full
840	0715527M	2002-12-20 00:00:00	2002-12-07 00:00:00	LGA	LaGuardia	AirTran Airlines	Passenger Property Loss	Checked Baggage	1488.0	Electronics	Settled	1264.21	Settle
962	21747	2002-12-30 00:00:00	2002-11-26 00:00:00	LGA	LaGuardia	Spirit Airlines	Passenger Property Loss	Checkpoint	150.0	Watches & Jewelry	Approved	150.0	Approve in Full
994	21979	2002-12-30 00:00:00	2002-11-28 00:00:00	LGA	LaGuardia	American Airlines	Passenger Property Loss	Checkpoint	1500.0	Electronics	Canceled		
1011	0703557M	2002-12-30 00:00:00	2002-12-08 00:00:00	LGA	LaGuardia		Passenger Property Loss	Checkpoint	250.0	Other	Denied	0.0	Deny
1145	22823	2003-01-07 00:00:00	2002-12-06 00:00:00	LGA	LaGuardia		Passenger Property Loss	Checkpoint	50.0	Other	Approved	50.0	Approve in Full
1152	24462	2003-01-07 00:00:00	2002-12-22 00:00:00	LGA	LaGuardia	Frontier Airlines	Passenger Property Loss	Checkpoint	370.0	Electronics	Canceled		
1177	0715516M	2003-01-08 00:00:00	2002-12-03 00:00:00	LGA	LaGuardia	Delta Air Lines	Passenger Property Loss	Checkpoint	184.0	Clothing & Accessories	Approved	184.0	Approve in Full
1184	0108003L	2003-01-08 00:00:00	2002-11-14 00:00:00	LGA	LaGuardia		Passenger Property Loss	Other	1862.87	Electronics	Canceled	0.0	
1191	21886	2003-01-08 00:00:00	2002-12-03 00:00:00	LGA	LaGuardia	Delta Air Lines	Passenger Property Loss	Other	163.73	Other	Canceled		
