id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
121902	2008043043567	2008-04-25 00:00:00	2008-04-14 00:00:00	LRD	Laredo International	American Airlines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Denied	0.0	Deny
123941	2008061845828	2008-06-09 00:00:00	2008-06-05 00:00:00	LRD	Laredo International	American Airlines	Passenger Property Loss	Checked Baggage	68.0	Cosmetics	Denied	0.0	Deny
124772	2008070246506	2008-06-27 00:00:00	2008-05-15 00:00:00	LRD	Laredo International	American Airlines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Denied	0.0	Deny
124908	2008071046724	2008-07-01 00:00:00	2008-06-03 00:00:00	LRD	Laredo International	Continental Airlines	Passenger Property Loss	Checked Baggage	562.86	Electronics	Denied	0.0	Deny
127945	2008091149761	2008-09-08 00:00:00	2008-07-28 00:00:00	LRD	Laredo International	American Airlines	Passenger Property Loss	Checked Baggage	450.0	Electronics,Electronics,Other	Denied	0.0	Deny
146584	2010031069345	2010-03-11 00:00:00	2010-02-13 11:00:00	LRD	Laredo International	Continental Airlines	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
147277	2010040270356	2010-04-01 00:00:00	2010-03-22 17:00:00	LRD	Laredo International	American Airlines	Passenger Property Loss	Checked Baggage		Electronics,Other,Games & Toys			
147345	2010040770503	2010-04-05 00:00:00	2010-03-22 17:00:00	LRD	Laredo International	American Airlines	Passenger Property Loss	Checked Baggage		Electronics,Electronics,Other,Games & Toys		0.0	Deny
155388	2010121478754	2010-12-07 00:00:00	2010-11-25 07:15:00	LRD	Laredo International	Continental Airlines	Passenger Property Loss	Checked Baggage		Containers,Electronics,Watches & Jewelry		0.0	Deny
159635	2011050283109	2011-04-26 00:00:00	2011-04-24 00:00:00	LRD	Laredo International	Continental Airlines	Passenger Property Loss	Checked Baggage		Electronics		0.0	Deny
166177	2011120889437	2011-12-01 00:00:00	2011-08-15 00:00:00	LRD	Laredo International	Allegiant Air	Passenger Property Loss	Checked Baggage		Other,Watches & Jewelry		0.0	Deny
