id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
25503	0120165M	2004-01-20 00:00:00	2003-12-04 00:00:00	MAF	Midland International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1451.55	Watches & Jewelry	Jewelry - Fine	Approved	1451.55	Approve in Full
31697	2004051652364	2004-03-30 00:00:00	2004-03-19 00:00:00	MAF	Midland International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	156.96	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	78.48	Settle
34077	2004051251444	2004-05-04 00:00:00	2004-04-17 00:00:00	MAF	Midland International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	57.3	Other	Other	Approved	57.3	Approve in Full
46102	2004111366907	2004-09-28 00:00:00	2004-09-10 00:00:00	MAF	Midland International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	75.0	Settle
60479	2005040581540	2005-03-30 00:00:00	2002-03-18 00:00:00	MAF	Midland International Airport	Continental Express Inc	Passenger Property Loss	Checked Baggage	10.6	Tools & Machines	Locks	Approved	10.6	Approve in Full
65598	2005061786545	2005-06-07 00:00:00	2005-05-27 00:00:00	MAF	Midland International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	125.0	Electronics	Cameras - Digital	Approved	125.0	Approve in Full
74026	2005102595135	2005-10-18 00:00:00	2005-10-07 00:00:00	MAF	Midland International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	1158.0	Other	Other	Denied	0.0	Deny
76517	2005121397587	2005-12-05 00:00:00	2005-11-09 00:00:00	MAF	Midland International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	92.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
78458	2006011399577	2006-01-10 00:00:00	2005-09-27 00:00:00	MAF	Midland International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	5200.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
83807	2006042104947	2006-04-13 00:00:00	2006-03-22 00:00:00	MAF	Midland International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	168.16	Tools & Machines	Locks	Settled	71.0	Settle
