id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
901	0715511M	2002-12-26 00:00:00	2002-12-14 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	225.0	Other	Currency	Approved	225.0	Approve in Full
2301	0205033L	2003-02-05 00:00:00	2003-01-08 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Currency	Settled	75.0	Settle
2691	0221001L	2003-02-21 00:00:00	2003-02-03 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	2064.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
4499	0401048L	2003-04-01 00:00:00	2003-03-08 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	480.98	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	404.69	Settle
7908	0606004L	2003-06-06 00:00:00	2003-04-22 00:00:00	MEM	Memphis International Airport		Passenger Property Loss	Checked Baggage	35.0	Other	Other	Settled	17.5	Settle
8153	0610205L	2003-06-10 00:00:00	2003-05-22 00:00:00	MEM	Memphis International Airport	UAL	Passenger Property Loss	Checked Baggage	8.0	Containers	Luggage (all types including footlockers)	Approved	8.0	Approve in Full
9864	0701175M	2003-07-01 00:00:00	2003-06-20 00:00:00	MEM	Memphis International Airport		Passenger Property Loss	Checkpoint	405.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	266.25	Settle
10029	0703048M	2003-07-03 00:00:00	2003-06-07 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	2020.0	Electronics	Cameras - Digital	Settled	267.56	Settle
10105	0707034M	2003-07-07 00:00:00	2003-06-23 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Cameras - Digital	Denied	0.0	Deny
10528	0710000M	2003-07-10 00:00:00	2003-05-28 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	92.86	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	46.5	Settle
10578	0711009M	2003-07-11 00:00:00	2003-06-27 00:00:00	MEM	Memphis International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	1180.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
11126	0717037M	2003-07-17 00:00:00	2003-05-12 00:00:00	MEM	Memphis International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	55.0	Other	Other	Denied	0.0	Deny
11463	0722007M	2003-07-22 00:00:00	2003-05-31 00:00:00	MEM	Memphis International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	99.95	Other	Other	Denied	0.0	Deny
12758	0807017M	2003-08-07 00:00:00	2003-07-20 00:00:00	MEM	Memphis International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	208.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	104.0	Settle
