id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
105445	2007060826577	2007-06-06 00:00:00	2007-06-03 00:00:00	MHK	Manhattan Regional	Southwest Airlines	Passenger Property Loss	Checked Baggage	40.84	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	27.22	Settle
153810	2010102177169	2010-10-15 00:00:00	2010-09-16 00:00:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Computer & Accessories		0.0	Deny
157344	2011030280741	2011-02-08 00:00:00	2011-01-14 07:40:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
171149	2012060994685	2012-05-23 00:00:00	2012-05-12 00:00:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
174770	2012110898449	2012-10-01 00:00:00	2012-09-01 11:10:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Cameras		0.0	Deny
180665	2013061704439	2013-05-15 00:00:00	2013-04-26 10:20:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Other	Other		92.59	Approve in Full
188959	2014032612751	2014-03-21 00:00:00	2014-01-27 00:00:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
190248	2014052014063	2014-05-14 00:00:00	2014-04-12 00:00:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
191656	2014073015501	2014-07-14 00:00:00	2014-07-13 00:00:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Office Supplies	Books, Magazines & Other		0.0	Deny
201070	2015030220936	2015-03-02 00:00:00	2015-02-13 00:00:00	MHK	Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics		0.0	Deny
201072	2015090825292	2015-08-24 00:00:00	2015-08-13 00:00:00	MHK	Manhattan Regional	USAir	Passenger Property Loss	Checked Baggage		Electronics	Computer & Accessories			
209595	2016051331322	2016-04-27 00:00:00	2016-03-10 14:00:00	MHK	Manhattan Regional Manhattan Regional	American Airlines	Passenger Property Loss	Checkpoint		Other	Other			Insufficient
209596	2016050331053	2016-04-14 00:00:00	2016-03-31 14:15:00	MHK	Manhattan Regional Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches			Insufficient
209597	2016030929493	2016-02-22 00:00:00	2016-02-20 10:00:00	MHK	Manhattan Regional Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments,Electronics	Medical/Science*Personal Electronics		0.0	Deny
209598	2016110335480	2016-10-07 00:00:00	2016-10-02 05:30:00	MHK	Manhattan Regional Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Office Supplies	Books, Magazines & Other			In Review
217843	2017091242941	2017-07-19 00:00:00	2017-07-01 00:00:00	MHK	Manhattan Regional Manhattan Regional	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Cameras			In Review
