id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3193	0304047L	2003-03-04 00:00:00	2002-12-24 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checkpoint	10000.0	Watches & Jewelry	Denied	0.0	Deny
4815	0408031L	2003-04-08 00:00:00	2003-03-16 00:00:00	MKE	General Mitchell International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	242.74	Electronics	Settled	121.37	Settle
5174	0416103L	2003-04-16 00:00:00	2003-02-03 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	120.0	Clothing & Accessories	Denied	0.0	Deny
5624	0424013L	2003-04-24 00:00:00	2003-04-08 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Other	50.67	Other	Approved	50.67	Approve in Full
5652	0424019L	2003-04-24 00:00:00	2003-03-13 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	25.0	Other	Settled	12.5	Settle
6381	0513056L	2003-05-13 00:00:00	2003-04-14 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Settled	125.0	Settle
6423	0514125L	2003-05-14 00:00:00	2003-04-08 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Approved	75.0	Approve in Full
6450	0514149L	2003-05-14 00:00:00	2003-05-04 00:00:00	MKE	General Mitchell International Airport	American Airlines	Passenger Property Loss	Checked Baggage	28.95	Electronics	Canceled		
6552	0514162L	2003-05-14 00:00:00	2003-04-06 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	725.0	Clothing & Accessories	Settled	235.0	Settle
7429	0603022L	2003-06-03 00:00:00	2003-03-26 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	211.46	Other	Approved	211.46	Approve in Full
7684	0603137L	2003-06-03 00:00:00	2003-05-25 00:00:00	MKE	General Mitchell International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	15.0	Other	Settled	7.5	Settle
7883	0605065L	2003-06-05 00:00:00	2003-04-16 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	251.0	Other	Settled	125.8	Settle
7898	0606024L	2003-06-06 00:00:00	2003-05-01 00:00:00	MKE	General Mitchell International Airport		Passenger Property Loss	Checked Baggage	379.5	Cosmetics	Approved	379.5	Approve in Full
