id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
50039	2004122770838	2004-11-15 00:00:00	2004-10-30 00:00:00	MLB	Melbourne International Airport		Passenger Property Loss	Checked Baggage	138.65	Other	Settled	60.0	Settle
58884	2005031578296	2005-03-09 00:00:00	2003-11-08 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	37.0	Other	Approved	37.0	Approve in Full
63823	2005051384673	2005-05-13 00:00:00	2005-04-12 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	12.99	Tools & Machines	Approved	12.99	Approve in Full
66044	2005062487136	2005-06-13 00:00:00	2005-05-28 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Electronics	Denied	0.0	Deny
67125	2005071288652	2005-06-28 00:00:00	2005-06-07 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Other	Denied	0.0	Deny
70579	2005082691569	2005-08-23 00:00:00	2005-01-01 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	71.78	Other	Denied	0.0	Deny
82522	2006032703724	2006-03-21 00:00:00	2006-03-12 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	180.62	Other	Approved	180.62	Approve in Full
85433	2006051906587	2006-05-17 00:00:00	2006-04-23 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	51.98	Cosmetics	Settled	25.99	Settle
88471	2006071809656	2006-07-17 00:00:00	2006-07-03 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	238.5	Other	Denied	0.0	Deny
92937	2006101914168	2006-10-12 00:00:00	2006-10-01 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	86.5	Cosmetics	Denied	0.0	Deny
102427	2007040623622	2007-04-05 00:00:00	2006-12-26 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	129.0	Games & Toys	Settled	64.5	Settle
102936	2007041924264	2007-04-16 00:00:00	2007-02-01 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Cosmetics,Containers,Other	Denied	0.0	Deny
117694	2008021139361	2008-01-31 00:00:00	2008-01-18 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	3000.0	Electronics,Other	Denied	0.0	Deny
118266	2008022039849	2008-02-13 00:00:00	2008-02-06 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	927.5	Watches & Jewelry	Canceled	0.0	
150716	2010072774100	2010-07-16 00:00:00	2010-05-21 06:50:00	MLB	Melbourne International Airport	USAir	Passenger Property Loss	Checkpoint		Electronics		0.0	Deny
157040	2011022880610	2011-01-28 00:00:00	2011-01-24 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories			
158431	2011040581886	2011-03-17 00:00:00	2011-02-28 22:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Containers,Food & Drink		0.0	Deny
159764	2011050483216	2011-05-02 00:00:00	2011-04-16 05:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Scientific Intruments			
162270	2011080885865	2011-07-20 00:00:00	2011-07-07 17:30:00	MLB	Melbourne International Airport	UAL	Passenger Property Loss	Checked Baggage		Containers,Other		0.0	Deny
165204	2011111689076	2011-10-26 00:00:00	2011-05-15 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Watches & Jewelry			
171858	2012071995546	2012-06-18 00:00:00	2012-05-01 05:30:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories		34.99	Approve in Full
201443	2015073124384	2015-07-27 00:00:00	2015-07-10 00:00:00	MLB	Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics		310.0	Approve in Full
218225	2017092843652	2017-08-11 00:00:00	2017-07-27 17:00:00	MLB	 Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Cosmetics			In Review
218226	2017080142026	2017-06-19 00:00:00	2017-06-03 00:00:00	MLB	 Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint		Electronics			In Review
218227	2017072141757	2017-07-21 00:00:00	2017-06-25 00:00:00	MLB	 Melbourne International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other		0.0	Deny
