id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
3621	0313032L	2003-03-13 00:00:00	2003-02-21 00:00:00	MRY	Monterey Peninsula Airport	American Airlines	Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Denied	0.0	Deny
11182	0717097M	2003-07-17 00:00:00	2003-07-04 00:00:00	MRY	Monterey Peninsula Airport	American Airlines	Passenger Property Loss	Checked Baggage	237.55	Cosmetics	Settled	113.39	Settle
40813	2004082761486	2004-07-23 00:00:00	2004-05-24 00:00:00	MRY	Monterey Peninsula Airport	American Eagle	Passenger Property Loss	Checkpoint	31.78	Other	Approved	31.78	Approve in Full
51570	2004123071960	2004-12-08 00:00:00	2004-10-27 00:00:00	MRY	Monterey Peninsula Airport	UAL	Passenger Property Loss	Checked Baggage	78.06	Other	Canceled	78.06	
57481	2005031678526	2005-02-16 00:00:00	2005-01-31 00:00:00	MRY	Monterey Peninsula Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	519.93	Electronics	Denied	0.0	Deny
59134	2005032880139	2005-03-09 00:00:00	2005-02-09 00:00:00	MRY	Monterey Peninsula Airport		Passenger Property Loss	Checked Baggage	243.97	Electronics	Settled	50.54	Settle
62209	2005042283150	2005-04-20 00:00:00	2005-03-25 00:00:00	MRY	Monterey Peninsula Airport	UAL	Passenger Property Loss	Checked Baggage	9737.5	Watches & Jewelry	Denied	0.0	Deny
66644	2005062887528	2005-06-21 00:00:00	2005-06-11 00:00:00	MRY	Monterey Peninsula Airport	UAL	Passenger Property Loss	Checked Baggage	390.0	Electronics	Denied	0.0	Deny
78280	2006012300087	2006-01-08 00:00:00	2005-11-09 00:00:00	MRY	Monterey Peninsula Airport	UAL	Passenger Property Loss	Checked Baggage	400.0	Other	Denied	0.0	Deny
92011	2006092613225	2006-09-22 00:00:00	2006-08-24 00:00:00	MRY	Monterey Peninsula Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	625.0	Watches & Jewelry	Denied	0.0	Deny
92261	2006100313550	2006-09-28 00:00:00	2006-09-09 00:00:00	MRY	Monterey Peninsula Airport	American Eagle	Passenger Property Loss	Checked Baggage	508.44	Clothing & Accessories,Watches & Jewelry	Approved	508.44	Approve in Full
96113	2006122017452	2006-12-12 00:00:00	2006-11-04 00:00:00	MRY	Monterey Peninsula Airport		Passenger Property Loss	Checked Baggage	200.0	Other	Denied	0.0	Deny
100000	2007022021208	2007-02-15 00:00:00	2007-02-05 00:00:00	MRY	Monterey Peninsula Airport		Passenger Property Loss	Checked Baggage	26.94	Tools & Machines	Approved	26.94	Approve in Full
114718	2007120736214	2007-12-04 00:00:00	2007-11-26 00:00:00	MRY	Monterey Peninsula Airport	American Airlines	Passenger Property Loss	Checked Baggage	700.0	Watches & Jewelry	Denied	0.0	Deny
119072	2008031040707	2008-02-29 00:00:00	2008-01-21 00:00:00	MRY	Monterey Peninsula Airport	American Airlines	Passenger Property Loss	Checked Baggage	1747.13	Clothing & Accessories	Denied	0.0	Deny
123835	2008061045460	2008-06-06 00:00:00	2008-04-27 00:00:00	MRY	Monterey Peninsula Airport	UAL	Passenger Property Loss	Checked Baggage	1660.0	Containers,Supplies	Denied	0.0	Deny
128058	2008091249802	2008-09-09 00:00:00	2008-08-28 00:00:00	MRY	Monterey Peninsula Airport	UAL	Passenger Property Loss	Checked Baggage	800.0	Other,Clothing & Accessories	Denied	0.0	Deny
134478	2009022355753	2009-02-27 00:00:00	2008-12-30 00:00:00	MRY	Monterey Peninsula Airport	USAir	Passenger Property Loss	Checked Baggage	59.99	Games & Toys	Denied	0.0	Deny
