id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1132	0617579L	2003-01-06 00:00:00	2002-11-27 00:00:00	OMA	Eppley Airfield		Passenger Property Loss	Checkpoint	1012.57	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
1985	0129000L	2003-01-29 00:00:00	2002-12-10 00:00:00	OMA	Eppley Airfield		Passenger Property Loss	Checkpoint	105.0	Other	Other	Canceled		
3888	0318059L	2003-03-18 00:00:00	2003-02-16 00:00:00	OMA	Eppley Airfield	American Airlines	Passenger Property Loss	Checked Baggage	868.49	Electronics	Stereo Items & Accessories	Settled	434.25	Settle
8087	0610003L	2003-06-10 00:00:00	2003-05-23 00:00:00	OMA	Eppley Airfield	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	300.0	Approve in Full
8531	0616021L	2003-06-16 00:00:00	2002-11-27 00:00:00	OMA	Eppley Airfield	UAL	Passenger Property Loss	Checkpoint	1183.98	Other	Other	Canceled		
9246	0624111M	2003-06-24 00:00:00	2003-06-05 00:00:00	OMA	Eppley Airfield		Passenger Property Loss	Checked Baggage	133.99	Other	Other	Settled	67.0	Settle
9875	0701215M	2003-07-01 00:00:00	2003-06-05 00:00:00	OMA	Eppley Airfield	American Airlines	Passenger Property Loss	Checked Baggage	500.0	Electronics	Cameras - Digital	Settled	100.0	Settle
10080	0707097M	2003-07-07 00:00:00	2003-06-24 00:00:00	OMA	Eppley Airfield	UAL	Passenger Property Loss	Checked Baggage	70.0	Other	Other	Approved	70.0	Approve in Full
11346	0721145M	2003-07-21 00:00:00	2003-07-07 00:00:00	OMA	Eppley Airfield	Southwest Airlines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Cell Phones	Denied	0.0	Deny
11565	0723157M	2003-07-23 00:00:00	2003-06-29 00:00:00	OMA	Eppley Airfield	Northwest Airlines	Passenger Property Loss	Checked Baggage	421.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	421.0	Approve in Full
11784	2008073147824	2003-07-28 00:00:00	2008-07-27 00:00:00	OMA	Eppley Airfield	American Airlines	Passenger Property Loss	Checked Baggage	10.83	Tools & Machines	Locks	Denied	0.0	Deny
12360	0801017M	2003-08-01 00:00:00	2003-05-22 00:00:00	OMA	Eppley Airfield	UAL	Passenger Property Loss	Checked Baggage	125.0	Watches & Jewelry	Jewelry - Fine	Settled	62.5	Settle
12557	0805028M	2003-08-05 00:00:00	2003-05-13 00:00:00	OMA	Eppley Airfield		Passenger Property Loss	Checked Baggage	485.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	242.5	Settle
12680	0806009M	2003-08-06 00:00:00	2003-07-26 00:00:00	OMA	Eppley Airfield		Passenger Property Loss	Checked Baggage	43.09	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	21.0	Settle
13373	0814064M	2003-08-14 00:00:00	2003-07-26 00:00:00	OMA	Eppley Airfield	UAL	Passenger Property Loss	Checked Baggage	100.0	Other	Other	Settled	50.0	Settle
13564	0815148M	2003-08-15 00:00:00	2003-11-27 00:00:00	OMA	Eppley Airfield	UAL	Passenger Property Loss	Checkpoint	1183.98	Watches & Jewelry	Jewelry - Fine	Settled	1012.98	Settle
