id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1006	0617513L	2002-12-30 00:00:00	2002-12-30 00:00:00	ORF	Norfolk International	Southwest Airlines	Passenger Property Loss	Checkpoint	189.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
1247	2004071259114	2003-01-09 00:00:00	2002-12-07 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
7988	0609104L	2003-06-09 00:00:00	2003-05-27 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled		
9998	0703022M	2003-07-03 00:00:00	2003-06-24 00:00:00	ORF	Norfolk International	Southwest Airlines	Passenger Property Loss	Checked Baggage	58.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
11325	0721053M	2003-07-21 00:00:00	2003-07-07 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage	3848.0	Electronics	Computer - Laptop	Denied	0.0	Deny
12858	0811010M	2003-08-11 00:00:00	2003-07-28 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checkpoint	50.0	Electronics	Cell Phones	Approved	50.0	Approve in Full
15566	0909038M	2003-09-09 00:00:00	2003-08-18 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checkpoint	205.95	Other	Other	Settled	117.14	Settle
17246	1003116M	2003-10-03 00:00:00	2003-05-18 00:00:00	ORF	Norfolk International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
21078	1126013M	2003-11-26 00:00:00	2003-11-09 00:00:00	ORF	Norfolk International	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Other	Approved	20.0	Approve in Full
22443	1208241M	2003-12-08 00:00:00	2003-11-16 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	10.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	9.95	Settle
23601	0105249M	2004-01-05 00:00:00	2003-12-07 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	83.17	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	83.17	Approve in Full
23943	0105127M	2004-01-05 00:00:00	2003-12-19 00:00:00	ORF	Norfolk International	Southwest Airlines	Passenger Property Loss	Checked Baggage	125.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	37.5	Settle
25671	0129059M	2004-01-29 00:00:00	2003-12-20 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	41.73	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	41.73	Approve in Full
26125	0130166M	2004-01-30 00:00:00	2004-01-06 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Watches & Jewelry	Jewelry - Fine	Settled	25.0	Settle
26173	0202029M	2004-02-02 00:00:00	2003-01-11 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	90.0	Other	Other	Approved	90.0	Approve in Full
27165	0205052M	2004-02-05 00:00:00	2004-01-18 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	219.99	Other	Other	Denied		Deny
27337	0210063M	2004-02-10 00:00:00	2003-12-12 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	20.0	Approve in Full
27824	0212167M	2004-02-12 00:00:00	2004-01-20 00:00:00	ORF	Norfolk International	Southwest Airlines	Passenger Property Loss	Checkpoint	1795.0	Other	Other	Denied	0.0	Deny
27998	0219022M	2004-02-19 00:00:00	2004-01-15 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage	50.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	50.0	Approve in Full
29089	0226335M	2004-02-26 00:00:00	2004-02-11 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage	75.0	Other	Other	Settled	37.5	Settle
29701	2004042350089	2004-03-10 00:00:00	2004-02-28 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	10.0	Other	Other	Approved	10.0	Approve in Full
29723	2004050750689	2004-03-10 00:00:00	2004-02-20 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	37.98	Other	Other	Approved	37.98	Approve in Full
29768	2004042350084	2004-03-10 00:00:00		ORF	Norfolk International		Passenger Property Loss	Checked Baggage	3120.0	Watches & Jewelry	Jewelry - Fine	Canceled		
29918	2004043050233	2004-03-11 00:00:00	2004-02-19 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	60.0	Other	Other	Approved	60.0	Approve in Full
31702	2004051752557	2004-03-30 00:00:00	2004-03-17 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage	287.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	158.0	Settle
31779	2004051752387	2004-04-01 00:00:00	2004-01-19 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	350.0	Electronics	Cameras - Digital	Approved	350.0	Approve in Full
32383	2004052153002	2004-04-15 00:00:00	2004-03-27 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	91.8	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	91.8	Approve in Full
32400	2004052453254	2004-04-15 00:00:00	2004-03-04 00:00:00	ORF	Norfolk International	American Airlines	Passenger Property Loss	Checked Baggage	6.45	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	6.45	Approve in Full
32660	2004051752594	2004-04-16 00:00:00	2004-03-22 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	69.95	Other	Other	Approved	69.95	Approve in Full
32990	2004052553371	2004-04-21 00:00:00	2004-03-14 00:00:00	ORF	Norfolk International	Commercial Airways	Passenger Property Loss	Checkpoint	2354.36	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
33048	2004052553403	2004-04-21 00:00:00	2004-04-05 00:00:00	ORF	Norfolk International	American Airlines	Passenger Property Loss	Checked Baggage	679.0	Electronics	DVD/CD Players	Denied	0.0	Deny
33068	2004052653537	2004-04-21 00:00:00	2004-03-02 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	560.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
33150	2004060254243	2004-04-21 00:00:00	2004-03-31 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	264.99	Electronics	Cameras - Digital	Denied		Deny
33314	2004052853861	2004-04-21 00:00:00	2004-03-24 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	284.0	Electronics	Cameras - Digital	Settled	42.0	Settle
33936	2004051952863	2004-05-03 00:00:00	2004-04-12 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	515.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
34007	2004052453102	2004-05-03 00:00:00	2004-03-21 00:00:00	ORF	Norfolk International	Northwest Airlines	Passenger Property Loss	Checkpoint	549.99	Electronics	PDA - Personal Data Assistants	Settled	460.1	Settle
34153	2004060454735	2004-05-04 00:00:00	2004-04-14 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checkpoint	750.0	Watches & Jewelry	Jewelry - Fine	Approved	750.0	Approve in Full
34240	2004060254281	2004-05-04 00:00:00	2004-04-13 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	0.0	Containers	Luggage (all types including footlockers)	Canceled		
34315	2004051351634	2004-05-04 00:00:00	2004-03-28 00:00:00	ORF	Norfolk International	USAir	Passenger Property Loss	Checked Baggage	113.8	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
34731	2004061455625	2004-05-05 00:00:00	2004-04-18 00:00:00	ORF	Norfolk International		Passenger Property Loss	Checked Baggage	145.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	72.6	Settle
34936	2004051150918	2004-05-10 00:00:00	2004-04-25 00:00:00	ORF	Norfolk International	Northwest Airlines	Passenger Property Loss	Checkpoint	700.0	Electronics	Cameras - Digital	Denied		Deny
34958	2004061055418	2004-05-10 00:00:00	2004-04-02 00:00:00	ORF	Norfolk International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1650.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
35169	2004061756065	2004-05-13 00:00:00	2004-02-14 00:00:00	ORF	Norfolk International	American Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Currency	Approved	300.0	Approve in Full
