id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
267	27123	2002-11-15 00:00:00	2002-10-30 00:00:00	PDX	Portland International	Delta Air Lines	Passenger Property Loss	Checkpoint	225.0	Watches & Jewelry	Approved	225.0	Approve in Full
494	29881	2002-12-04 00:00:00	2002-10-29 00:00:00	PDX	Portland International	American Airlines	Passenger Property Loss	Checkpoint	200.0	Other	Approved	200.0	Approve in Full
573	19701	2002-12-11 00:00:00	2002-10-13 00:00:00	PDX	Portland International	Delta Air Lines	Passenger Property Loss	Checkpoint	39.98	Other	Approved	40.0	Approve in Full
809	0714556M	2002-12-19 00:00:00	2002-10-10 00:00:00	PDX	Portland International		Passenger Property Loss	Checkpoint	5700.0	Electronics	Canceled		
1208	25727	2003-01-08 00:00:00	2002-12-25 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	953.91	Containers	Denied	0.0	Deny
1279	21755	2003-01-13 00:00:00	2002-11-20 00:00:00	PDX	Portland International		Passenger Property Loss	Checkpoint	80.0	Clothing & Accessories	Approved	80.0	Approve in Full
1802	0714551M	2003-01-24 00:00:00	2003-01-10 00:00:00	PDX	Portland International		Passenger Property Loss	Checkpoint	90.0	Electronics	Approved	90.0	Approve in Full
2140	0203011L	2003-02-03 00:00:00	2003-01-16 00:00:00	PDX	Portland International		Passenger Property Loss	Checked Baggage		Other	Canceled	0.0	
2250	0204036L	2003-02-04 00:00:00	2002-12-21 00:00:00	PDX	Portland International		Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Settled	350.0	Settle
2332	0206030L	2003-02-06 00:00:00	2003-01-08 00:00:00	PDX	Portland International		Passenger Property Loss	Checkpoint	30.0	Clothing & Accessories	Denied	0.0	Deny
2399	0211038L	2003-02-11 00:00:00	2003-01-23 00:00:00	PDX	Portland International	Southwest Airlines	Passenger Property Loss	Checked Baggage	39.0	Other	Approved	39.0	Approve in Full
2451	0211032L	2003-02-11 00:00:00	2003-01-18 00:00:00	PDX	Portland International		Passenger Property Loss	Other	2000.0	Containers	Denied	0.0	Deny
2576	0212059L	2003-02-12 00:00:00	2003-01-30 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	32.41	Tools & Machines	Denied	0.0	Deny
2781	0224028L	2003-02-24 00:00:00	2003-01-31 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Denied	0.0	Deny
2983	0226043L	2003-02-26 00:00:00	2003-01-07 00:00:00	PDX	Portland International	Delta Air Lines	Passenger Property Loss	Checked Baggage	24.0	Other	Approved	24.0	Approve in Full
3015	0226026L	2003-02-26 00:00:00	2003-02-10 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	450.0	Other	Settled	100.0	Settle
3350	0307012L	2003-03-07 00:00:00	2003-01-29 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	84.99	Cosmetics	Settled	42.5	Settle
3413	0311149L	2003-03-11 00:00:00	2003-02-25 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	45.0	Other	Approved	45.0	Approve in Full
3994	0321000L	2003-03-21 00:00:00	2003-01-22 00:00:00	PDX	Portland International	Northwest Airlines	Passenger Property Loss	Checked Baggage	210.0	Other	Approved	210.0	Approve in Full
4490	0401023L	2003-04-01 00:00:00	2003-02-21 00:00:00	PDX	Portland International	Alaska Airlines	Passenger Property Loss	Checked Baggage	80.0	Other	Settled	40.0	Settle
4497	0401042L	2003-04-01 00:00:00	2003-02-18 00:00:00	PDX	Portland International	Delta Air Lines	Passenger Property Loss	Checked Baggage	67.8	Other	Settled	33.9	Settle
4691	0407002L	2003-04-07 00:00:00	2003-03-23 00:00:00	PDX	Portland International		Passenger Property Loss	Checked Baggage	500.0	Electronics	Settled	310.68	Settle
4860	0409060L	2003-04-09 00:00:00	2003-03-19 00:00:00	PDX	Portland International		Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Approved	100.0	Approve in Full
