id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
7973	0609138L	2003-06-09 00:00:00	2003-05-25 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checkpoint	200.0	Other	Approved	200.0	Approve in Full
21481	1205453M	2003-12-05 00:00:00	2003-11-04 00:00:00	PSC	Tri-Cities	UAL	Passenger Property Loss	Checkpoint	42.0	Watches & Jewelry	Approved		Approve in Full
31969	2004051451960	2004-04-01 00:00:00	2004-03-14 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Settled	125.0	Settle
32147	2004052152937	2004-04-06 00:00:00	2003-11-01 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checked Baggage	85.0	Clothing & Accessories	Approved	85.0	Approve in Full
36249	2004062156495	2004-05-27 00:00:00	2004-04-26 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checked Baggage	790.18	Other	Denied	0.0	Deny
39000	2004071359204	2004-06-29 00:00:00	2004-06-02 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checked Baggage	114.25	Electronics	Settled	57.13	Settle
47329	2005020975758	2004-10-14 00:00:00	2004-09-15 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checked Baggage	694.6	Other	Denied	0.0	Deny
48464	2004121469128	2004-10-27 00:00:00	2004-10-09 00:00:00	PSC	Tri-Cities	UAL	Passenger Property Loss	Checked Baggage	3240.0	Watches & Jewelry	Denied	0.0	Deny
54396	2005012874807	2005-01-12 00:00:00	2005-01-05 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checked Baggage	48.3	Other	Denied	0.0	Deny
54722	2005020175119	2005-01-18 00:00:00	2004-12-28 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checkpoint	25.0	Clothing & Accessories	Denied		Deny
58284	2005032279328	2005-03-04 00:00:00	2005-02-05 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checkpoint	108.22	Other	Approved	108.22	Approve in Full
59826	2005033180756	2005-03-23 00:00:00	2005-02-24 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checkpoint	18.71	Other	Approved	18.71	Approve in Full
60656	2005040781849	2005-04-01 00:00:00	2005-02-01 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checked Baggage	47.0	Tools & Machines	Approved	47.0	Approve in Full
69244	2005081090307	2005-08-02 00:00:00	2005-07-01 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checkpoint	466.0	Other	Approved	466.0	Approve in Full
69413	2005081290442	2005-08-02 00:00:00	2005-07-14 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checked Baggage	274.66	Supplies	Settled	137.33	Settle
70108	2005082291046	2005-08-15 00:00:00	2005-06-29 00:00:00	PSC	Tri-Cities	USAir	Passenger Property Loss	Checkpoint	5000.0	Watches & Jewelry	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		Deny
75151	2005112196326	2005-11-09 00:00:00	2005-10-01 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	250.0	Electronics	Approved	250.0	Approve in Full
77261	2005122798360	2005-12-16 00:00:00	2005-11-17 00:00:00	PSC	Tri-Cities	UAL	Passenger Property Loss	Checked Baggage	165.0	Clothing & Accessories	Settled	82.5	Settle
78874	2006012300006	2006-01-17 00:00:00	2005-11-22 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	5365.0	Watches & Jewelry	Denied	0.0	Deny
84376	2006050105477	2006-04-25 00:00:00	2006-04-03 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checked Baggage	188.0	Other	Settled	94.0	Settle
86840	2006061608103	2006-06-15 00:00:00	2006-06-03 00:00:00	PSC	Tri-Cities		Passenger Property Loss	Checked Baggage	21.32	Tools & Machines	Approved	21.32	Approve in Full
88543	2006071909797	2006-07-17 00:00:00	2006-06-12 00:00:00	PSC	Tri-Cities	UAL	Passenger Property Loss	Checked Baggage	150.0	Electronics,Clothing & Accessories,Scientific Intruments	Settled	75.0	Settle
92288	2006100313561	2006-09-28 00:00:00	2006-09-12 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checked Baggage	550.0	Other	Denied	0.0	Deny
93503	2006102714737	2006-10-23 00:00:00	2006-10-12 00:00:00	PSC	Tri-Cities	Horizon Air	Passenger Property Loss	Checked Baggage	515.48	Electronics	Denied	0.0	Deny
96661	2006122818117	2006-12-26 00:00:00	2006-11-25 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
97413	2007011118627	2007-01-05 00:00:00	2006-12-19 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
97715	2007011718919	2007-01-09 00:00:00	2006-11-19 00:00:00	PSC	Tri-Cities	UAL	Passenger Property Loss	Checked Baggage	27.99	Other	Approved	27.99	Approve in Full
100788	2007031322161	2007-03-05 00:00:00	2007-02-08 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	395.0	Watches & Jewelry	Denied	0.0	Deny
102193	2007040423510	2007-04-02 00:00:00	2007-02-10 00:00:00	PSC	Tri-Cities	UAL	Passenger Property Loss	Checked Baggage	6.44	Tools & Machines	Approved	6.44	Approve in Full
106779	2007071028031	2007-07-03 00:00:00	2007-06-29 00:00:00	PSC	Tri-Cities	Horizon Air	Passenger Property Loss	Checkpoint	1424.63	Electronics,Electronics	Settled	430.0	Settle
107539	2007072328874	2007-07-19 00:00:00	2007-07-14 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	267.95	Clothing & Accessories,Electronics	Canceled	0.0	
109944	2007083031212	2007-08-30 00:00:00	2007-08-01 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checkpoint	138.37	Cosmetics	Denied	0.0	Deny
112478	2007102533965	2007-10-22 00:00:00	2007-09-21 00:00:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
121354	2008042243151	2008-04-14 00:00:00	2008-03-05 00:00:00	PSC	Tri-Cities	Horizon Air	Passenger Property Loss	Checked Baggage	3.5	Tools & Machines	Denied	0.0	Deny
124715	2008070146438	2008-06-26 00:00:00	2008-04-25 00:00:00	PSC	Tri-Cities	Southwest Airlines	Passenger Property Loss	Checked Baggage	55.0	Containers	Denied	0.0	Deny
125504	2008072447318	2008-07-14 00:00:00	2008-06-05 00:00:00	PSC	Tri-Cities	Allegiant Air	Passenger Property Loss	Checked Baggage	394.48	Electronics,Cosmetics,Other,Containers,Electronics,Other	Denied	0.0	Deny
131317	2008121053268	2008-12-02 00:00:00	2008-11-11 00:00:00	PSC	Tri-Cities	Allegiant Air	Passenger Property Loss	Checkpoint	5195.0	Watches & Jewelry	Denied	0.0	Deny
135860	2009042958083	2009-04-02 00:00:00	2009-03-17 00:00:00	PSC	Tri-Cities	Allegiant Air	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
138340	2009061860360	2009-06-15 00:00:00	2009-05-09 00:00:00	PSC	Tri-Cities	Skywest Airlines Inc USA	Passenger Property Loss	Checked Baggage	17.33	Other	Approved	17.33	Approve in Full
138490	2009062260492	2009-06-17 00:00:00	2009-05-17 00:00:00	PSC	Tri-Cities	Alaska Airlines	Passenger Property Loss	Checkpoint	2348.88	Watches & Jewelry	Denied	0.0	Deny
146364	2010031269496	2010-03-04 00:00:00	2010-02-23 04:35:00	PSC	Tri-Cities	Delta Air Lines	Passenger Property Loss	Checkpoint		Other		52.5	Approve in Full
