id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
719	0703523M	2002-12-16 00:00:00	2002-11-30 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checkpoint	383.03	Electronics	Cameras - Digital	Canceled		
734	0620501M	2002-12-16 00:00:00	2002-11-30 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checkpoint	383.03	Electronics	Cameras - Digital	Settled	324.05	Settle
1224	20493	2003-01-09 00:00:00	2002-10-31 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checkpoint	75.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	75.0	Approve in Full
2788	0224050L	2003-02-24 00:00:00	2003-01-27 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checkpoint	250.0	Other	Other	Denied	0.0	Deny
2912	0225089L	2003-02-25 00:00:00	2003-02-10 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Other	3374.93	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
3683	0314013L	2003-03-14 00:00:00	2003-02-10 00:00:00	RNO	Reno/Tahoe International	American Airlines	Passenger Property Loss	Checkpoint	370.0	Other	Other	Settled	100.0	Settle
5318	0417081L	2003-04-17 00:00:00	2003-03-13 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	974.0	Electronics	Cell Phones	Settled	261.5	Settle
5536	0422054L	2003-04-22 00:00:00	2003-03-26 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1070.0	Electronics	Cameras - Digital	Settled	898.71	Settle
5967	0502046L	2003-05-02 00:00:00	2003-04-05 00:00:00	RNO	Reno/Tahoe International	Alaska Airlines	Passenger Property Loss	Checked Baggage	89.95	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	62.97	Settle
8830	0618050L	2003-06-18 00:00:00	2003-04-18 00:00:00	RNO	Reno/Tahoe International	America West	Passenger Property Loss	Checked Baggage	34.0	Other	Other	Approved	34.0	Approve in Full
11763	0728069M	2003-07-28 00:00:00	2003-07-16 00:00:00	RNO	Reno/Tahoe International	America West	Passenger Property Loss	Checked Baggage	750.0	Other	Other	Canceled		
11781	0728064M	2003-07-28 00:00:00	2003-02-03 00:00:00	RNO	Reno/Tahoe International	UAL	Passenger Property Loss	Checked Baggage	28605.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
12133	0731001M	2003-07-31 00:00:00	2003-07-08 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checkpoint	180.0	Other	Currency	Approved	180.0	Approve in Full
12555	0805023M	2003-08-05 00:00:00	2003-07-24 00:00:00	RNO	Reno/Tahoe International	Continental Airlines	Passenger Property Loss	Checkpoint	255.0	Other	Other	Settled	127.5	Settle
13234	0814054M	2003-08-14 00:00:00	2003-06-25 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checkpoint	436.0	Other	Other	Approved	436.0	Approve in Full
14330	0826231M	2003-08-26 00:00:00	2003-07-24 00:00:00	RNO	Reno/Tahoe International	Continental Airlines	Passenger Property Loss	Checkpoint	255.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
14458	0826039M	2003-08-26 00:00:00	2003-08-17 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	30.0	Settle
15151	0905016M	2003-09-05 00:00:00	2003-08-10 00:00:00	RNO	Reno/Tahoe International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1500.0	Electronics	Computer - Laptop	Denied	0.0	Deny
16833	0926041M	2003-09-26 00:00:00	2003-09-15 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	150.0	Other	Other	Approved	150.0	Approve in Full
17078	1002065M	2003-10-02 00:00:00	2003-05-24 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checkpoint	2000.0	Other	Other	Denied	0.0	Deny
17582	1009044M	2003-10-09 00:00:00	2003-09-17 00:00:00	RNO	Reno/Tahoe International	America West	Passenger Property Loss	Checked Baggage	99.95	Other	Other	Approved	99.95	Approve in Full
17638	1009276M	2003-10-09 00:00:00	2003-09-11 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checkpoint	125.0	Other	Other	Approved	125.0	Approve in Full
18606	1022354M	2003-10-22 00:00:00	2003-10-06 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checked Baggage	37.0	Other	Other	Approved	37.0	Approve in Full
19075	1028054M	2003-10-28 00:00:00	2003-10-02 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
19662	1107041M	2003-11-07 00:00:00	2003-10-18 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
19921	1107510M	2003-11-07 00:00:00	2003-10-11 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	170.0	Other	Other	Denied	0.0	Deny
20948	1121039M	2003-11-21 00:00:00	2003-09-21 00:00:00	RNO	Reno/Tahoe International	Alaska Airlines	Passenger Property Loss	Checkpoint	310.53	Watches & Jewelry	Jewelry - Fine	Approved	310.53	Approve in Full
20975	1121149M	2003-11-21 00:00:00	2003-10-25 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	395.0	Other	Other	Approved	395.0	Approve in Full
23458	1222157M	2003-12-22 00:00:00	2003-11-30 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	1500.0	Electronics	Cameras - Digital	Settled	400.0	Settle
23798	0105206M	2004-01-05 00:00:00	2003-11-07 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checkpoint	445.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
27214	0205269M	2004-02-05 00:00:00	2004-01-13 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checked Baggage	2833.0	Electronics	Computer - Laptop	Denied	0.0	Deny
27454	0210056M	2004-02-10 00:00:00	2004-02-01 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	30.0	Other	Other	Denied	0.0	Deny
28197	0219478M	2004-02-19 00:00:00	2004-01-20 00:00:00	RNO	Reno/Tahoe International	Southwest Airlines	Passenger Property Loss	Checkpoint	850.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
28835	0226158M	2004-02-26 00:00:00	2004-02-15 00:00:00	RNO	Reno/Tahoe International	Northwest Airlines	Passenger Property Loss	Checked Baggage	312.95	Clothing & Accessories	Eyeglasses - (including contact lenses)	Canceled		
29642	2004050650581	2004-03-05 00:00:00	2004-01-24 00:00:00	RNO	Reno/Tahoe International	Alaska Airlines	Passenger Property Loss	Checked Baggage	300.0	Other	Other	Settled	150.0	Settle
29696	2004042350050	2004-03-10 00:00:00	2004-02-21 00:00:00	RNO	Reno/Tahoe International		Passenger Property Loss	Checked Baggage	28.0	Other	Other	Approved	28.0	Approve in Full
29750	2004051752485	2004-03-10 00:00:00	2004-12-18 00:00:00	RNO	Reno/Tahoe International	American West	Passenger Property Loss	Checked Baggage	150.0	Other	Other	Approved	150.0	Approve in Full
