id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1062	0617578L	2003-01-02 00:00:00	2002-12-20 00:00:00	SJC	Norman Y Mineta San Jose International		Passenger Property Loss	Other	200.0	Other	Approved	200.0	Approve in Full
1475	0703555M	2003-01-20 00:00:00	2002-11-18 00:00:00	SJC	Norman Y Mineta San Jose International	American Airlines	Passenger Property Loss	Other	100.0	Other	Approved	100.0	Approve in Full
1488	0617630L	2003-01-21 00:00:00	2002-11-30 00:00:00	SJC	Norman Y Mineta San Jose International		Passenger Property Loss	Checkpoint	21.2	Cosmetics	Approved	21.0	Approve in Full
1935	0128007L	2003-01-28 00:00:00	2002-12-28 00:00:00	SJC	Norman Y Mineta San Jose International	Alaska Airlines	Passenger Property Loss	Checkpoint	3100.0	Containers	Denied	0.0	Deny
2629	0317800N	2003-02-15 00:00:00	2003-01-03 00:00:00	SJC	Norman Y Mineta San Jose International	American Airlines	Passenger Property Loss	Checked Baggage	379.0	Clothing & Accessories	Settled	134.0	Settle
3227	0305013L	2003-03-05 00:00:00	2003-02-22 00:00:00	SJC	Norman Y Mineta San Jose International	Southwest Airlines	Passenger Property Loss	Checkpoint	280.0	Other	Approved	280.0	Approve in Full
3497	0311163L	2003-03-11 00:00:00	2003-02-24 00:00:00	SJC	Norman Y Mineta San Jose International	Southwest Airlines	Passenger Property Loss	Checked Baggage	760.0	Watches & Jewelry	Denied	0.0	Deny
4501	0401064L	2003-04-01 00:00:00	2003-02-10 00:00:00	SJC	Norman Y Mineta San Jose International	American Airlines	Passenger Property Loss	Checked Baggage	809.0	Other	Settled	364.05	Settle
4714	0408045L	2003-04-08 00:00:00	2003-03-18 00:00:00	SJC	Norman Y Mineta San Jose International	Northwest Airlines	Passenger Property Loss	Checked Baggage	32.0	Clothing & Accessories	Approved	32.0	Approve in Full
4723	0408079L	2003-04-08 00:00:00	2003-03-16 00:00:00	SJC	Norman Y Mineta San Jose International	Alaska Airlines	Passenger Property Loss	Checked Baggage	470.0	Watches & Jewelry	Approved	470.0	Approve in Full
