id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
174	20074	2002-11-05 00:00:00	2002-10-10 00:00:00	SLC	Salt Lake City International Airport	Delta Air Lines	Passenger Property Loss	Checkpoint	20.0	Other	Other	Approved	20.0	Approve in Full
288	27269	2002-11-18 00:00:00	2002-11-07 00:00:00	SLC	Salt Lake City International Airport	America West	Passenger Property Loss	Other	900.0	Electronics	PDA - Personal Data Assistants	Denied	0.0	Deny
713	22192	2002-12-16 00:00:00	2002-12-05 00:00:00	SLC	Salt Lake City International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Other	Approved	100.0	Approve in Full
1200	0108007L	2003-01-08 00:00:00	2002-12-18 00:00:00	SLC	Salt Lake City International Airport	Delta Air Lines	Passenger Property Loss	Other	320.0	Electronics	Computer - Laptop	Denied	0.0	Deny
2379	0210033L	2003-02-10 00:00:00	2003-01-14 00:00:00	SLC	Salt Lake City International Airport		Passenger Property Loss	Checkpoint	315.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
2580	0212103M	2003-02-12 00:00:00	2004-01-26 00:00:00	SLC	Salt Lake City International Airport	UAL	Passenger Property Loss	Checked Baggage	2000.0	Electronics	Computer - Laptop	Denied	0.0	Deny
3057	0227011L	2003-02-27 00:00:00	2003-02-18 00:00:00	SLC	Salt Lake City International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	427.98	Electronics	Cameras - Digital	Settled	215.0	Settle
3415	0311155L	2003-03-11 00:00:00		SLC	Salt Lake City International Airport		Passenger Property Loss	Checkpoint	43.51	Other	Other	Approved	44.0	Approve in Full
5648	0424007L	2003-04-24 00:00:00	2003-03-01 00:00:00	SLC	Salt Lake City International Airport	UAL	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	25.0	Settle
6243	0507003L	2003-05-07 00:00:00	2003-04-21 00:00:00	SLC	Salt Lake City International Airport	UAL	Passenger Property Loss	Checked Baggage	258.3	Electronics	Cameras - Digital	Settled	129.15	Settle
6694	0520221L	2003-05-20 00:00:00	2003-05-03 00:00:00	SLC	Salt Lake City International Airport		Passenger Property Loss	Checkpoint	12.99	Supplies	Photographic Film	Approved	13.0	Approve in Full
6785	0520239L	2003-05-20 00:00:00	2003-04-25 00:00:00	SLC	Salt Lake City International Airport		Passenger Property Loss	Checked Baggage	128.0	Other	Other	Denied	0.0	Deny
7457	0603097L	2003-06-03 00:00:00	2003-04-10 00:00:00	SLC	Salt Lake City International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	420.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	420.0	Approve in Full
