id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
27928	0212150M	2004-02-12 00:00:00	2004-02-04 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	1050.0	Electronics	Cameras - Digital	Settled	263.0	Settle
36967	2004062357097	2004-06-03 00:00:00	2004-05-12 00:00:00	STX	Henry E. Rohlsen		Passenger Property Loss	Checked Baggage	1400.0	Other	Other	Settled	198.51	Settle
47968	2004120768692	2004-10-20 00:00:00	2004-09-24 00:00:00	STX	Henry E. Rohlsen		Passenger Property Loss	Checked Baggage	352.0	Electronics	Cameras - Digital	Settled	215.0	Settle
56186	2005030877210	2005-02-01 00:00:00	2005-01-16 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	2414.99	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
56194	2005030877273	2005-02-01 00:00:00	2005-01-12 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	3038.87	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
57638	2005031678461	2005-02-22 00:00:00	2005-02-07 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	650.0	Other	Other	Denied	0.0	Deny
57652	2005031778697	2005-02-22 00:00:00		STX	Henry E. Rohlsen	Continental Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
57887	2005031778674	2005-02-24 00:00:00	2004-12-13 00:00:00	STX	Henry E. Rohlsen	UAL	Passenger Property Loss	Checked Baggage	257.7	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
58040	0129186M	2005-03-01 00:00:00	2004-12-26 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	511.0	Electronics	DVD/CD Players	Approved	511.0	Approve in Full
58258	2005032279082	2005-03-03 00:00:00	2005-02-05 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	653.83	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	380.73	Settle
66813	2005063087852	2005-06-23 00:00:00	2005-06-12 00:00:00	STX	Henry E. Rohlsen		Passenger Property Loss	Checked Baggage	105.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
66836	2005063087959	2005-06-23 00:00:00	2005-06-12 00:00:00	STX	Henry E. Rohlsen		Passenger Property Loss	Checkpoint	483.25	Other	Currency	Settled	241.63	Settle
69825	2005081890891	2005-08-09 00:00:00	2005-06-08 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checkpoint	178.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
79686	2006020200823	2006-01-27 00:00:00	2005-12-27 00:00:00	STX	Henry E. Rohlsen	UAL	Passenger Property Loss	Checked Baggage	3089.29	Electronics	Computer - Laptop	Denied	0.0	Deny
80473	2006021701710	2006-02-09 00:00:00	2006-01-13 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checkpoint	450.0	Other	Other	Denied	0.0	Deny
88070	2006071109302	2006-07-10 00:00:00	2006-07-08 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	108.0	Watches & Jewelry	Jewelry - Costume	Denied	0.0	Deny
89358	2006080410539	2006-08-03 00:00:00	2006-07-29 00:00:00	STX	Henry E. Rohlsen	American Airlines	Passenger Property Loss	Checked Baggage	1233.08	Electronics,Other,Electronics	MP3 Players-(iPods, etc)*Other*Stereo Items & Accessories	Denied	0.0	Deny
91030	2006091112327	2006-09-05 00:00:00	2006-08-19 00:00:00	STX	Henry E. Rohlsen	American Eagle	Passenger Property Loss	Checked Baggage	1700.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
