id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
26316	0202439M	2004-02-02 00:00:00	2003-12-18 00:00:00	VPS	Okaloosa/ Northwest Florida		Passenger Property Loss	Checked Baggage	59.99	Electronics	PDA - Personal Data Assistants	Approved	59.99	Approve in Full
32260	2004060154099	2004-04-06 00:00:00	2003-12-01 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
34945	2004060955177	2004-05-10 00:00:00	2004-04-20 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta (Song)	Passenger Property Loss	Checkpoint	91.02	Other	Other	Denied	0.0	Deny
39694	2004080960824	2004-07-09 00:00:00	2004-06-25 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Theft	Checked Baggage	120.0	Other	Other	Denied	120.0	Deny
40935	2004090261997	2004-07-23 00:00:00	2004-07-14 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checkpoint	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	75.0	Settle
42846	2004092263557	2004-08-19 00:00:00	2004-08-11 00:00:00	VPS	Okaloosa/ Northwest Florida		Passenger Property Loss	Checkpoint	1337.92	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
42974	2004092063178	2004-08-23 00:00:00	2004-08-06 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checked Baggage	267.0	Electronics	Computer - Laptop	Approved	267.0	Approve in Full
46258	2004110866708	2004-09-29 00:00:00	2004-09-20 00:00:00	VPS	Okaloosa/ Northwest Florida		Passenger Property Loss	Checked Baggage	691.18	Electronics	Cameras - Digital	Denied		Deny
48518	2004122170078	2004-10-27 00:00:00	2004-08-18 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checked Baggage	463.9	Other	Other	Denied	0.0	Deny
53776	2005012774519	2005-01-07 00:00:00	2004-12-29 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checked Baggage	26.49	Other	Other	Approved	26.49	Approve in Full
54239	2005020375577	2005-01-11 00:00:00	2004-10-03 00:00:00	VPS	Okaloosa/ Northwest Florida		Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
57779	2005031678483	2005-02-24 00:00:00	2005-02-14 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checked Baggage	21.4	Tools & Machines	Locks	Approved	21.4	Approve in Full
58780	2005032579845	2005-03-08 00:00:00	2004-12-21 00:00:00	VPS	Okaloosa/ Northwest Florida	Continental Airlines	Passenger Property Loss	Checked Baggage	8.64	Other	Other	Approved	8.64	Approve in Full
65369	2005061486370	2005-06-03 00:00:00	2005-05-25 00:00:00	VPS	Okaloosa/ Northwest Florida	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Other	Other	Approved	75.0	Approve in Full
65410	2005061086230	2005-06-03 00:00:00	2005-05-13 00:00:00	VPS	Okaloosa/ Northwest Florida		Passenger Property Loss	Checkpoint	35.0	Other	Other	Denied	0.0	Deny
