id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
40703	2004090161832	2004-07-20 00:00:00	2004-06-28 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	864.0	Electronics	Settled	151.51	Settle
55919	2005021676305	2005-01-28 00:00:00	2004-12-02 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	385.0	Watches & Jewelry	Settled	192.5	Settle
56810	2005031978830	2005-02-08 00:00:00	2004-12-23 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checkpoint	50.0	Other	Denied	0.0	Deny
62964	2005050484020	2005-05-02 00:00:00	2005-04-17 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Approved	10.0	Approve in Full
64049	2005052385279	2005-05-17 00:00:00	2005-05-13 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checkpoint	550.0	Electronics	Approved	550.0	Approve in Full
67733	2005071889125	2005-07-08 00:00:00	2005-06-29 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	186.64	Other	Settled	93.32	Settle
68315	2005072089326	2005-07-18 00:00:00	2005-06-29 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Settled	15.0	Settle
68482	2005072289528	2005-07-20 00:00:00	2005-07-05 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Other	Denied	0.0	Deny
71811	2005092092870	2005-09-14 00:00:00	2005-09-06 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
71828	2005092092964	2005-09-14 00:00:00	2005-08-28 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	6.59	Tools & Machines	Approved	6.59	Approve in Full
73355	2005101294441	2005-10-05 00:00:00	2005-09-29 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Denied	0.0	Deny
78013	2006011099289	2006-01-04 00:00:00	2005-10-18 00:00:00	XNA	Northwest Arkansas Regional	UAL	Passenger Property Loss	Checked Baggage	24.99	Cosmetics	Approved	24.99	Approve in Full
80895	2006022302038	2006-02-17 00:00:00	2006-02-09 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	2624.48	Electronics	Canceled	0.0	
81178	2006022802279	2006-02-24 00:00:00	2006-01-03 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Electronics	Approved	50.0	Approve in Full
83210	2006041904726	2006-04-01 00:00:00	2006-02-20 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage		Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
88285	2006071409503	2006-07-13 00:00:00	2006-06-23 00:00:00	XNA	Northwest Arkansas Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	30.69	Outdoors Supplies	Approved	30.69	Approve in Full
90083	2006082511556	2006-08-17 00:00:00	2006-07-19 00:00:00	XNA	Northwest Arkansas Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	450.0	Watches & Jewelry	Denied	0.0	Deny
91998	2006092613275	2006-09-21 00:00:00	2006-08-31 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	336.68	Clothing & Accessories,Cosmetics,Supplies	Settled	289.1	Settle
93426	2006102714691	2006-10-20 00:00:00	2006-10-11 00:00:00	XNA	Northwest Arkansas Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	143.02	Electronics,Clothing & Accessories	Denied	0.0	Deny
96239	2006122017535	2006-12-14 00:00:00	2006-12-07 00:00:00	XNA	Northwest Arkansas Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	21.4	Games & Toys	Denied	0.0	Deny
97277	2007010518389	2007-01-03 00:00:00	2006-12-10 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	1500.0	Electronics	Denied	0.0	Deny
