claim_amount	Approve	Settle	Deny
10	1379	11	817
20	2378	97	1645
30	1949	258	1470
40	1233	250	1072
50	1045	325	973
60	1065	408	1047
70	796	387	841
80	663	395	860
90	562	332	737
100	458	322	624
110	659	491	1051
120	233	253	436
130	400	354	726
140	221	217	491
150	181	219	478
160	366	446	852
170	197	233	469
180	175	234	454
190	154	210	422
200	142	208	425
210	268	446	1032
220	120	205	394
230	109	165	420
240	79	157	319
250	99	167	427
260	153	335	779
270	60	143	392
280	81	162	358
290	62	133	295
300	80	169	353
310	162	384	907
320	55	136	291
330	83	172	407
340	40	109	242
350	46	130	305
360	87	236	549
370	37	101	241
380	53	124	289
390	44	118	228
400	60	124	319
410	91	270	618
420	25	86	179
430	50	118	239
440	25	100	227
450	24	84	199
460	40	154	402
470	27	73	158
480	27	96	196
490	24	76	201
500	29	93	215
510	64	254	766
520	31	63	155
530	20	63	191
540	13	64	171
550	18	75	154
560	27	78	241
570	14	42	138
580	11	43	129
590	16	46	110
600	22	46	137
610	33	95	419
620	5	46	96
630	12	47	124
640	14	41	116
650	16	40	115
660	7	47	206
670	4	33	97
680	4	32	122
690	8	29	102
700	15	39	122
710	18	52	310
720	4	16	87
730	9	31	102
740	4	35	75
750	7	29	97
760	11	52	198
770	5	22	70
780	4	32	79
790	6	15	77
800	5	35	83
810	18	79	313
820	6	21	71
830	2	26	81
840	2	17	61
850	1	23	67
860	11	25	122
870	3	26	58
880	4	22	80
890	1	19	57
900	6	25	75
910	6	41	197
920	9	17	45
930	3	23	57
940	4	14	52
950	4	17	57
960	6	31	110
970	0	18	57
980	2	13	99
990	1	13	64
1000	2	19	76
1010	24	50	487
1020	0	14	42
1030	0	12	45
1040	1	8	31
1050	0	19	67
1060	4	15	68
1070	2	16	43
1080	2	12	59
1090	4	14	56
1100	2	10	54
1110	8	19	120
1120	1	7	30
1130	2	14	40
1140	0	17	37
1150	1	18	44
1160	4	14	50
1170	0	13	34
1180	1	3	38
1190	4	13	39
1200	3	16	60
1210	10	49	282
1220	2	9	35
1230	2	9	37
1240	1	10	31
1250	1	8	37
1260	4	12	76
1270	2	9	39
1280	5	11	38
1290	0	7	35
1300	1	10	61
1310	5	12	124
1320	1	6	24
1330	1	5	43
1340	2	13	36
1350	0	5	40
1360	2	16	46
1370	1	4	32
1380	2	7	27
1390	1	3	37
1400	0	12	39
1410	1	20	116
1420	0	11	25
1430	2	8	28
1440	1	6	43
1450	1	6	35
1460	5	5	46
1470	3	4	24
1480	0	9	27
1490	2	9	31
1500	1	10	39
1510	14	55	424
1520	1	4	23
1530	0	7	24
1540	0	8	29
1550	0	4	24
1560	0	7	46
1570	1	5	30
1580	2	9	17
1590	2	5	29
1600	5	4	31
1610	6	12	97
1620	1	10	29
1630	1	8	22
1640	2	3	19
1650	2	2	32
1660	1	6	33
1670	0	5	18
1680	0	5	27
1690	0	5	19
1700	1	6	21
1710	4	10	90
1720	0	5	17
1730	1	9	21
1740	1	7	16
1750	1	3	17
1760	1	8	48
1770	0	5	15
1780	0	6	25
1790	0	7	22
1800	0	6	25
1810	1	21	127
1820	0	8	26
1830	1	4	23
1840	0	6	22
1850	1	5	27
1860	2	8	34
1870	1	9	20
1880	1	7	28
1890	2	4	21
1900	0	7	31
1910	1	8	47
1920	1	6	11
1930	0	1	17
1940	2	7	14
1950	0	2	16
1960	2	3	37
1970	0	8	16
1980	0	3	18
1990	0	4	19
2000	1	9	29
2010	9	49	401
2020	1	10	23
2030	1	8	26
2040	0	3	9
2050	1	9	22
2060	0	6	24
2070	0	3	19
2080	0	2	15
2090	1	3	12
2100	2	6	15
2110	3	7	44
2120	0	2	13
2130	1	4	19
2140	0	4	22
2150	1	3	17
2160	0	5	33
2170	0	0	13
2180	0	3	16
2190	0	3	10
2200	0	3	17
2210	3	12	61
2220	0	2	10
2230	0	4	12
2240	1	5	15
2250	0	1	18
2260	0	7	27
2270	0	4	8
2280	0	4	14
2290	0	2	14
2300	2	3	15
2310	3	4	53
2320	0	0	10
2330	1	3	11
2340	2	0	11
2350	0	4	20
2360	0	4	21
2370	0	4	11
2380	0	2	14
2390	0	2	7
2400	0	1	14
2410	2	6	58
2420	0	4	4
2430	1	3	17
2440	1	1	12
2450	0	2	8
2460	0	1	20
2470	1	2	15
2480	1	4	12
2490	0	1	15
2500	0	6	15
2510	1	26	233
2520	0	3	13
2530	0	0	10
2540	0	4	10
2550	1	2	11
2560	0	4	18
2570	0	4	13
2580	0	4	10
2590	0	1	12
2600	1	3	12
2610	2	4	30
2620	0	1	6
2630	0	2	16
2640	0	3	12
2650	0	0	6
2660	0	2	15
2670	0	3	8
2680	0	2	12
2690	0	3	10
2700	0	3	15
2710	0	8	36
2720	0	1	7
2730	0	3	11
2740	0	0	7
2750	0	1	14
2760	1	3	19
2770	0	1	6
2780	0	1	7
2790	0	0	12
2800	1	0	13
2810	1	6	45
2820	2	1	8
2830	0	1	7
2840	0	1	6
2850	0	4	3
2860	1	2	22
2870	0	7	7
2880	0	1	11
2890	0	1	10
2900	0	0	12
2910	0	5	26
2920	1	1	7
2930	0	3	5
2940	0	0	6
2950	0	0	7
2960	0	2	12
2970	0	3	11
2980	0	0	12
2990	0	1	13
3000	0	4	6
