id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
43902	2004091562970	2004-09-01 00:00:00	2004-08-08 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Theft	Checkpoint	1501.98	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
49491	2004122069676	2004-11-09 00:00:00	2004-10-17 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	37.86	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	37.86	Approve in Full
53643	2005020275311	2005-01-04 00:00:00	2004-12-23 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	320.0	Watches & Jewelry	Jewelry - Fine	Settled	120.0	Settle
61074	2005040882002	2005-04-06 00:00:00	2005-03-27 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	75.87	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
71117	2005090692171	2005-08-30 00:00:00	2005-09-09 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	320.0	Other	Currency	Denied	0.0	Deny
76592	2005121697950	2005-12-05 00:00:00	2005-10-23 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1061.71	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	531.85	Settle
77330	2005122798441	2005-12-19 00:00:00	2005-11-30 00:00:00	AMA	Rick Husband Amarillo International Airport	UAL	Passenger Property Loss	Checkpoint	299.0	Electronics	Cameras - Digital	Settled	159.0	Settle
80699	2006022201927	2006-02-14 00:00:00	2006-01-24 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	577.17	Electronics	Cameras - Digital	Denied	0.0	Deny
85999	2006060207271	2006-05-31 00:00:00	2006-05-07 00:00:00	AMA	Rick Husband Amarillo International Airport		Passenger Property Loss	Checked Baggage	40.0	Containers	Bags - Fabric, plastic, etc. (not purses)	Approved	40.0	Approve in Full
86214	2006060607464	2006-06-02 00:00:00	2006-04-11 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checkpoint		Containers	Baskets - Metal	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
87468	2006062908714	2006-06-28 00:00:00	2006-06-22 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	385.0	Other	Other	Denied	0.0	Deny
89969	2006081711243	2006-08-15 00:00:00	2006-07-18 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1500.0	Clothing & Accessories,Cosmetics,Containers	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Handbags & Purses (leather or fabric)	Denied	0.0	Deny
94342	2006111515592	2006-11-08 00:00:00	2006-11-02 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	45.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	22.5	Settle
94854	2006112416195	2006-11-19 00:00:00	2006-09-23 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	1000.0	Watches & Jewelry,Containers	Jewelry - Fine*Luggage (all types including footlockers)	Denied	0.0	Deny
96055	2006122017487	2006-12-12 00:00:00	2006-10-17 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	25.0	Approve in Full
96106	2006121917389	2006-12-12 00:00:00	2006-09-08 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	736.68	Watches & Jewelry,Other	Jewelry - Costume*Other	Denied	0.0	Deny
96981	2008071146811		2008-06-20 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	75.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
100359	2007022721603	2007-02-26 00:00:00	2007-02-16 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	7.99	Tools & Machines	Locks	Approved	7.99	Approve in Full
102040	2007033023239	2007-03-29 00:00:00	2007-03-11 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.0	Approve in Full
108413	2007080929919	2007-08-02 00:00:00	2007-07-08 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	29.98	Watches & Jewelry	Jewelry - Costume	Denied	0.0	Deny
114894	2007121136388	2007-12-07 00:00:00	2007-11-30 00:00:00	AMA	Rick Husband Amarillo International Airport		Passenger Property Loss	Checked Baggage	553.48	Electronics	GPS - Global Positioning System	Settled	276.74	Settle
119068	2008031040686	2008-02-29 00:00:00	2007-11-03 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	190.99	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
121338	2008042243078	2008-04-14 00:00:00	2008-04-04 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	299.0	Electronics	Cameras - Digital	Denied	0.0	Deny
121366	2008042142992	2008-04-14 00:00:00	2008-04-05 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	499.41	Electronics	GPS - Global Positioning System	Settled	249.71	Settle
129545	2008102151339	2008-10-17 00:00:00	2008-10-03 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage	153.57	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
133294	2009020555206	2009-01-27 00:00:00	2009-01-20 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	955.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
133867	2009022355755	2009-02-09 00:00:00	2008-12-28 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	422.97	Cosmetics,Watches & Jewelry	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Fine	Denied	0.0	Deny
139793	2009072861866	2009-07-22 00:00:00	2009-07-09 00:00:00	AMA	Rick Husband Amarillo International Airport	Continental Airlines	Passenger Property Loss	Checkpoint	22.0	Other	Other	Canceled		
145608	2010021768460	2010-02-02 00:00:00	2010-01-31 10:30:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics		0.0	Deny
145702	2010021968561	2010-02-12 00:00:00	2010-01-25 10:15:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		45.13	Settle
145779	2010022768792	2010-02-12 00:00:00	2010-01-25 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming			
145827	2010030168874	2010-02-16 00:00:00	2010-01-26 09:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Electronics,Electronics	Computer & Accessories*Personal Electronics			
147512	2010041270702	2010-04-08 00:00:00	2010-04-05 10:45:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
147641	2010041970952	2010-04-12 00:00:00	2010-04-01 05:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Cameras		0.0	Deny
147649	2010042171017	2010-04-12 00:00:00	2010-03-10 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Containers,Cosmetics	Baggage/Cases/Purses*Cosmetics & Grooming		0.0	Deny
147812	2010042171022	2010-04-16 00:00:00	2010-04-01 08:59:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies	Hunting & Fishing Items			
147899	2010042271077	2010-04-20 00:00:00	2010-04-03 10:45:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Cameras		0.0	Deny
148561	2010051271707	2010-05-11 00:00:00	2010-04-22 05:15:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments	Medical/Science		0.0	Deny
148648	2010051871915	2010-05-13 00:00:00	2010-05-06 11:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Outdoors Supplies	Hunting & Fishing Items			
151309	2010080674606	2010-08-03 00:00:00	2010-06-01 08:05:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
152043	2010083175513	2010-08-23 00:00:00	2010-07-31 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
152088	2010083075456	2010-08-24 00:00:00	2010-08-15 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Other	Other			
152089	2010083075457	2010-08-24 00:00:00	2010-08-23 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics		0.0	Deny
152380	2010090975843	2010-08-31 00:00:00	2010-07-22 16:40:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments	Medical/Science		0.0	Deny
152641	2010091776106	2010-09-08 00:00:00	2010-08-13 15:58:00	AMA	Rick Husband Amarillo International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other,Other	Other*Other		0.0	Deny
152807	2010092076221	2010-09-14 00:00:00	2010-09-13 13:30:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Scientific Intruments	Medical/Science			
153805	2010101376899	2010-10-15 00:00:00	2010-09-17 14:30:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Containers,Other	Baggage/Cases/Purses*Other		40.85	Approve in Full
154159	2010110377578	2010-10-26 00:00:00	2010-09-20 09:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Household Decor	Home Decor		0.0	Deny
155175	2010120478505	2010-11-30 00:00:00	2010-11-27 08:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
155323	2010121078697	2010-12-06 00:00:00	2010-12-05 15:30:00	AMA	Rick Husband Amarillo International Airport		Passenger Property Loss	Checked Baggage		Containers	Baggage/Cases/Purses		84.0	Approve in Full
155389	2010121478755	2010-12-07 00:00:00	2010-11-26 16:30:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checkpoint		Electronics	Personal Electronics		0.0	Deny
165155	2011110888809	2011-10-25 00:00:00	2011-10-16 12:45:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Personal Accessories		0.0	Deny
167737	2012030191411	2012-01-23 00:00:00	2011-11-29 00:00:00	AMA	Rick Husband Amarillo International Airport		Passenger Property Loss	Checked Baggage		Clothing & Accessories,Other,Cosmetics	Clothing*Other*Travel Accessories		0.0	Deny
167850	2012030291475	2012-01-26 00:00:00	2012-01-12 10:05:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checkpoint		Household Decor	Home Decor		200.0	Approve in Full
169326	2012041692952	2012-03-19 00:00:00	2012-03-13 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Containers	Baggage/Cases/Purses		161.0	Settle
169496	2012041793004	2012-03-26 00:00:00	2012-02-11 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics,Watches & Jewelry	Cosmetics & Grooming*Jewelry & Watches		0.0	Deny
181684	2013080505651	2013-06-20 00:00:00	2013-05-19 09:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
183607	2013102307652	2013-08-23 00:00:00	2013-08-19 06:15:00	AMA	Rick Husband Amarillo International Airport	UAL	Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics		108.24	Approve in Full
185600	2013111409364	2013-11-12 00:00:00	2013-10-27 15:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches			
186250	2013121310054	2013-12-10 00:00:00	2013-12-03 06:05:00	AMA	Rick Husband Amarillo International Airport	UAL	Passenger Property Loss	Checked Baggage		Other	Currency			
195640	2015100825965	2015-09-24 00:00:00	2015-09-22 00:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Containers	Baggage/Cases/Purses		0.0	Deny
212503	2017041038466	2017-02-08 00:00:00	2017-01-08 00:00:00	AMA	Rick Husband Amarillo International Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		38.88	Approve in Full
212504	2017071141373	2017-05-18 00:00:00	2017-05-18 07:45:00	AMA	Rick Husband Amarillo International Airport	UAL	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming			Insufficient
212505	2017122146226	2017-11-21 00:00:00	2017-11-13 14:00:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories			In Review
212506	2017082342402	2017-08-23 00:00:00	2017-08-11 07:58:00	AMA	Rick Husband Amarillo International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing			In Review
