id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2200	0204009L	2003-02-04 00:00:00	2003-01-17 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checkpoint	10.0	Other	Other	Approved	10.0	Approve in Full
2388	0210032L	2003-02-10 00:00:00	2003-01-07 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	52.63	Other	Other	Settled	26.32	Settle
3768	0317063L	2003-03-17 00:00:00	2003-01-30 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Other	Settled	25.0	Settle
4198	0325116L	2003-03-25 00:00:00	2003-03-02 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	40.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	20.0	Settle
4652	0403047L	2003-04-03 00:00:00	2003-04-20 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	23.8	Other	Currency	Denied	0.0	Deny
4736	0408129L	2003-04-08 00:00:00	2003-03-18 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	170.33	Other	Other	Approved	170.0	Approve in Full
4874	0409011L	2003-04-09 00:00:00	2003-03-12 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	510.0	Other	Other	Denied	0.0	Deny
5108	0415083L	2003-04-15 00:00:00	2003-03-06 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	200.0	Settle
5664	0425008L	2003-04-25 00:00:00	2003-04-13 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	83.86	Other	Other	Denied		Deny
5768	0428039L	2003-04-28 00:00:00	2003-04-11 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	269.0	Other	Other	Settled	134.5	Settle
6405	0514069L	2003-05-14 00:00:00	2003-03-16 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checkpoint	800.0	Other	Currency	Approved	800.0	Approve in Full
6548	0514138L	2003-05-14 00:00:00	2003-05-06 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	1800.0	Other	Other	Settled	1798.0	Settle
7018	0527052L	2003-05-27 00:00:00	2003-05-09 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	1700.0	Watches & Jewelry	Jewelry - Fine	Settled	850.0	Settle
7879	0605045L	2003-06-05 00:00:00	2003-05-22 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	85.0	Other	Currency	Settled	42.5	Settle
8144	0610180L	2003-06-10 00:00:00	2003-05-22 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	42.0	Other	Other	Approved	42.0	Approve in Full
8164	0610101L	2003-06-10 00:00:00	2003-05-27 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	304.22	Other	Other	Canceled		
8385	0612032L	2003-06-12 00:00:00	2003-05-19 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	26.0	Other	Other	Approved	26.0	Approve in Full
8723	0617049L	2003-06-17 00:00:00	2003-05-23 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	60.0	Other	Other	Denied	0.0	Deny
9018	0620020M	2003-06-20 00:00:00	2003-06-04 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	18.37	Other	Other	Approved	18.37	Approve in Full
9232	0624081M	2003-06-24 00:00:00	2003-06-04 00:00:00	ANC	Ted Stevens Anchorage International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	75.0	Other	Other	Settled	37.5	Settle
9544	0626015M	2003-06-26 00:00:00	2003-06-07 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	35.0	Settle
9894	0702031M	2003-07-02 00:00:00	2003-06-19 00:00:00	ANC	Ted Stevens Anchorage International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
9898	0702047M	2003-07-02 00:00:00	2003-06-16 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	30.99	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.99	Approve in Full
10371	0708178M	2003-07-08 00:00:00	2003-05-06 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	173.0	Watches & Jewelry	Jewelry - Fine	Settled	136.5	Settle
10565	0711068M	2003-07-11 00:00:00	2003-06-26 00:00:00	ANC	Ted Stevens Anchorage International Airport	UAL	Passenger Property Loss	Checked Baggage	115.0	Electronics	DVD/CD Players	Approved	115.0	Approve in Full
10809	0715088M	2003-07-15 00:00:00	2003-06-10 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	12.95	Other	Other	Approved	12.95	Approve in Full
10859	0715039M	2003-07-15 00:00:00	2003-07-08 00:00:00	ANC	Ted Stevens Anchorage International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	34.0	Other	Other	Canceled		
10872	0715192M	2003-07-15 00:00:00	2003-06-14 00:00:00	ANC	Ted Stevens Anchorage International Airport	UAL	Passenger Property Loss	Checked Baggage	9.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
10974	0715027M	2003-07-15 00:00:00	2003-07-07 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	13.0	Other	Other	Settled	6.5	Settle
11014	0715207M	2003-07-15 00:00:00	2003-06-14 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Other	Settled	75.0	Settle
11428	0722014M	2003-07-22 00:00:00	2003-06-19 00:00:00	ANC	Ted Stevens Anchorage International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	150.0	Approve in Full
11458	0722068M	2003-07-22 00:00:00	2003-05-17 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Other	Canceled		
11609	0723120M	2003-07-23 00:00:00	2003-07-06 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	64.95	Other	Other	Denied	0.0	Deny
11677	0723163M	2003-07-23 00:00:00	2003-07-13 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	459.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	229.5	Settle
11904	0729260M	2003-07-29 00:00:00	2003-08-17 00:00:00	ANC	Ted Stevens Anchorage International Airport	UAL	Passenger Property Loss	Checked Baggage	25.0	Containers	Luggage (all types including footlockers)	Canceled	0.0	
12003	0729028M	2003-07-29 00:00:00	2003-06-22 00:00:00	ANC	Ted Stevens Anchorage International Airport	UAL	Passenger Property Loss	Checked Baggage	110.0	Electronics	Cameras - Digital	Settled	55.0	Settle
12181	0731139M	2003-07-31 00:00:00	2003-06-04 00:00:00	ANC	Ted Stevens Anchorage International Airport	American Airlines	Passenger Property Loss	Checked Baggage	600.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	600.0	Approve in Full
12198	0731016M	2003-07-31 00:00:00	2003-07-13 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Denied	0.0	Deny
12334	0801011M	2003-08-01 00:00:00	2003-07-18 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	125.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
12793	0808034M	2003-08-08 00:00:00	2003-07-31 00:00:00	ANC	Ted Stevens Anchorage International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	129.0	Other	Other	Canceled		
12822	0808000M	2003-08-08 00:00:00	2003-07-22 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	189.8	Outdoors Supplies	Fish/Game	Settled	149.8	Settle
13099	0813124M	2003-08-13 00:00:00	2003-07-22 00:00:00	ANC	Ted Stevens Anchorage International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	95.0	Other	Other	Canceled		
13406	0814175M	2003-08-14 00:00:00	2003-06-23 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	125.0	Watches & Jewelry	Jewelry - Fine	Settled	62.5	Settle
13457	0815142M	2003-08-15 00:00:00	2003-08-03 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage		Tools & Machines	Locks	Canceled		
13628	0818071M	2003-08-18 00:00:00	2003-07-14 00:00:00	ANC	Ted Stevens Anchorage International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	121.8	Other	Other	Denied	0.0	Deny
13747	0819079M	2003-08-19 00:00:00	2003-06-23 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	250.0	Electronics	Cameras - Digital	Denied	0.0	Deny
13799	0819087M	2003-08-19 00:00:00	2003-08-01 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	129.0	Electronics	Cameras - Digital	Settled	64.5	Settle
13905	0821132M	2003-08-21 00:00:00	2003-08-14 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checkpoint	26.0	Other	Other	Approved	26.0	Approve in Full
14057	0822015M	2003-08-22 00:00:00	2003-08-11 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	23.0	Other	Other	Approved	23.0	Approve in Full
14083	0822006M	2003-08-22 00:00:00	2003-08-13 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	75.0	Other	Other	Denied		Deny
14326	0826188M	2003-08-26 00:00:00	2003-08-15 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	295.0	Other	Other	Canceled		
14400	0826199M	2003-08-26 00:00:00	2003-06-29 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	1212.45	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	1212.45	Deny
14512	0826246M	2003-08-26 00:00:00	2003-08-03 00:00:00	ANC	Ted Stevens Anchorage International Airport	UAL	Passenger Property Loss	Checked Baggage	80.0	Watches & Jewelry	Jewelry - Fine	Settled	40.0	Settle
14687	0829050M	2003-08-29 00:00:00	2003-07-25 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	79.0	Other	Other	Denied		Deny
14796	0902064M	2003-09-02 00:00:00	2003-08-24 00:00:00	ANC	Ted Stevens Anchorage International Airport	American Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Denied	0.0	Deny
14824	0902049M	2003-09-02 00:00:00	2003-06-09 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	897.67	Other	Other	Settled	421.34	Settle
15363	0908044M	2003-09-08 00:00:00	2003-06-22 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	120.0	Other	Other	Settled	60.0	Settle
15493	0909099M	2003-09-09 00:00:00	2003-08-26 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	650.0	Other	Other	Denied	0.0	Deny
15648	0909251M	2003-09-09 00:00:00	2003-08-09 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checkpoint	50.0	Electronics	Cameras - Digital	Settled	10.0	Settle
15703	0910044M	2003-09-10 00:00:00	2003-08-31 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Denied	0.0	Deny
16108	0922050M	2003-09-22 00:00:00	2003-09-03 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Approved	25.0	Approve in Full
16329	0923138M	2003-09-23 00:00:00	2003-09-05 00:00:00	ANC	Ted Stevens Anchorage International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	516.0	Electronics	Cameras - Digital	Settled	343.53	Settle
16374	0925178M	2003-09-25 00:00:00	2003-09-06 00:00:00	ANC	Ted Stevens Anchorage International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	540.0	Watches & Jewelry	Jewelry - Fine	Approved	540.0	Approve in Full
16409	0925291M	2003-09-25 00:00:00	2003-08-24 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Approved	40.0	Approve in Full
16412	0925302M	2003-09-25 00:00:00	2003-08-22 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	29.99	Other	Other	Approved	29.99	Approve in Full
16675	0925043M	2003-09-25 00:00:00	2003-07-23 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	400.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	200.0	Settle
17306	1006046M	2003-10-06 00:00:00	2003-08-24 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	250.0	Approve in Full
17586	1009071M	2003-10-09 00:00:00	2003-10-05 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Other	Approved	100.0	Approve in Full
18677	1022015M	2003-10-22 00:00:00	2003-10-16 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Other	20.0	Other	Currency	Denied	0.0	Deny
18864	1022057M	2003-10-22 00:00:00	2003-08-15 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	300.0	Other	Other	Settled	150.0	Settle
19809	1107480M	2003-11-07 00:00:00	2003-10-05 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checkpoint	255.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Canceled	0.0	
19970	1107073M	2003-11-07 00:00:00	2003-09-29 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	15.0	Other	Other	Settled	7.5	Settle
22425	1208168M	2003-12-08 00:00:00	2003-11-15 00:00:00	ANC	Ted Stevens Anchorage International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	900.0	Other	Other	Settled	839.74	Settle
22727	1217684M	2003-12-17 00:00:00	2003-11-21 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	150.0	Approve in Full
24741	0114527M	2004-01-14 00:00:00	2003-12-12 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	85.99	Other	Other	Approved	85.99	Approve in Full
26808	0203178M	2004-02-03 00:00:00	2003-07-28 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checkpoint	2835.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
27592	0210179M	2004-02-10 00:00:00	2004-01-16 00:00:00	ANC	Ted Stevens Anchorage International Airport	Alaska Airlines	Passenger Property Loss	Checked Baggage	50.0	Other	Other	Settled	25.0	Settle
28642	0223166M	2004-02-23 00:00:00	2004-01-03 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	70.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	35.0	Settle
29151	2004051351600	2004-02-27 00:00:00	2004-02-01 00:00:00	ANC	Ted Stevens Anchorage International Airport		Passenger Property Loss	Checked Baggage	36.4	Other	Other	Approved	36.4	Approve in Full
31118	2004051251482	2004-03-24 00:00:00	2004-02-11 00:00:00	ANC	Ted Stevens Anchorage International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	45.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	45.0	Approve in Full
31450	2004052453343	2004-03-24 00:00:00	2003-09-28 00:00:00	ANC	Ted Stevens Anchorage International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	416.97	Electronics	Cameras - Digital	Settled	204.48	Settle
