id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
39398	2004072059808	2004-07-07 00:00:00	2004-05-31 00:00:00	BQN	Rafael Hernandez	Pan American Airways Corp.	Passenger Property Loss	Checked Baggage	200.0	Other	Currency	Denied	0.0	Deny
62638	2005042883590	2005-04-26 00:00:00	2005-03-26 00:00:00	BQN	Rafael Hernandez	Jet Blue	Passenger Property Loss	Checked Baggage	600.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
66211	2005062387009	2005-06-14 00:00:00	2005-05-09 00:00:00	BQN	Rafael Hernandez		Passenger Property Loss	Checked Baggage	400.0	Electronics	Cameras - Digital	Settled	378.43	Settle
72430	2005093093586	2005-09-20 00:00:00	2005-09-14 00:00:00	BQN	Rafael Hernandez	Jet Blue	Passenger Property Loss	Checked Baggage	2500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
73527	2005101794599	2005-10-11 00:00:00	2005-07-25 00:00:00	BQN	Rafael Hernandez	Jet Blue	Passenger Property Loss	Checked Baggage	1533.88	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
75908	2005120596988	2005-11-22 00:00:00	2005-10-31 00:00:00	BQN	Rafael Hernandez	Continental Airlines	Passenger Property Loss	Checked Baggage	375.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
76479	2005121297538	2005-12-02 00:00:00	2005-06-03 00:00:00	BQN	Rafael Hernandez	Continental Airlines	Passenger Property Loss	Checked Baggage	700.0	Watches & Jewelry	Jewelry - Fine	Settled	350.0	Settle
78061	2006011099211	2006-01-04 00:00:00	2005-11-15 00:00:00	BQN	Rafael Hernandez	Continental Airlines	Passenger Property Loss	Checked Baggage	8258.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
79653	2006020100758	2006-01-26 00:00:00	2006-01-15 00:00:00	BQN	Rafael Hernandez	Jet Blue	Passenger Property Loss	Checkpoint	450.0	Electronics	Stereo Items & Accessories	Settled	223.97	Settle
84049	2006042405011	2006-04-18 00:00:00	2006-04-03 00:00:00	BQN	Rafael Hernandez	Jet Blue	Passenger Property Loss	Checked Baggage	473.27	Electronics	Stereo Items & Accessories	Settled	213.78	Settle
84202	2006050305683	2006-04-24 00:00:00	2006-04-13 00:00:00	BQN	Rafael Hernandez		Passenger Property Loss	Checked Baggage	85.0	Watches & Jewelry	Jewelry - Fine	Approved	85.0	Approve in Full
84338	2006031503174	2006-04-25 00:00:00	2006-04-13 00:00:00	BQN	Rafael Hernandez	Pan American Airways Corp.	Passenger Property Loss	Checked Baggage	85.0	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
93550	2006110615210	2006-10-23 00:00:00	2006-10-15 00:00:00	BQN	Rafael Hernandez	Jet Blue	Passenger Property Loss	Checked Baggage		Containers,Cosmetics,Other	Bags - Fabric, plastic, etc. (not purses)*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
93792	2006110315115	2006-10-27 00:00:00	2006-07-21 00:00:00	BQN	Rafael Hernandez	Continental Airlines	Passenger Property Loss	Checked Baggage	150.0	Watches & Jewelry	Jewelry - Fine	Settled	75.0	Settle
94764	2006112816286	2006-11-16 00:00:00	2006-10-10 00:00:00	BQN	Rafael Hernandez	Continental Airlines	Passenger Property Loss	Checked Baggage	8225.0	Other	Other	Denied	0.0	Deny
