id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
4014	0321030L	2003-03-21 00:00:00	2003-02-23 00:00:00	DAB	Daytona Beach International		Passenger Property Loss	Checked Baggage	5.99	Other	Other	Denied	0.0	Deny
4119	0325028L	2003-03-25 00:00:00	2003-03-09 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Other	Other	Denied	0.0	Deny
5004	0411010L	2003-04-11 00:00:00	2003-02-19 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	131.98	Other	Other	Settled	66.0	Settle
8147	0610188L	2003-06-10 00:00:00	2003-05-15 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	224.5	Other	Other	Approved	224.5	Approve in Full
9212	0624033M	2003-06-24 00:00:00	2003-05-13 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	450.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	195.46	Settle
9481	0625155M	2003-06-25 00:00:00	2003-06-07 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	15.0	Settle
9701	0701190M	2003-07-01 00:00:00	2003-05-26 00:00:00	DAB	Daytona Beach International		Passenger Property Loss	Checked Baggage	287.55	Electronics	Cameras - Digital	Approved	287.55	Approve in Full
13867	0821012M	2003-08-21 00:00:00	2003-05-05 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checkpoint	550.0	Other	Other	Approved	550.0	Approve in Full
13918	0821178M	2003-08-21 00:00:00	2003-08-05 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	8.5	Other	Other	Approved	9.0	Approve in Full
21376	1205034M	2003-12-05 00:00:00	2003-10-29 00:00:00	DAB	Daytona Beach International	Delta Air Lines	Passenger Property Loss	Checked Baggage	34.72	Other	Other	Approved	34.72	Approve in Full
30166	2004051150968	2004-03-11 00:00:00	2004-02-26 00:00:00	DAB	Daytona Beach International	Southwest Airlines	Passenger Property Loss	Other	80.0	Other	Other	Settled	50.0	Settle
