id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2012	0129045L	2003-01-29 00:00:00	2002-12-28 00:00:00	EGE	Eagle County Regional	American Airlines	Passenger Property Loss	Checked Baggage	769.93	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
8550	0616020L	2003-06-16 00:00:00	2003-02-13 00:00:00	EGE	Eagle County Regional	American Airlines	Passenger Property Loss	Checked Baggage	1488.0	Other	Other	Denied	0.0	Deny
32256	2004060154045	2004-04-06 00:00:00	2004-03-15 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	2000.0	Electronics	Computer - Laptop	Denied	0.0	Deny
55980	2005030476928	2005-02-01 00:00:00	2005-01-22 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Approved	300.0	Approve in Full
56127	2005030476909	2005-02-01 00:00:00	2005-01-02 00:00:00	EGE	Eagle County Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	179.23	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
57519	2005031578369	2005-02-16 00:00:00	2005-01-28 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checkpoint	448.16	Electronics	Cameras - Digital	Settled	329.21	Settle
61494	2005041382496	2005-04-12 00:00:00	2005-03-30 00:00:00	EGE	Eagle County Regional	American Airlines	Passenger Property Loss	Checked Baggage	230.9	Electronics	Cameras - Digital	Canceled		
61852	2005041882766	2005-04-15 00:00:00	2005-03-25 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	838.59	Electronics	Cameras - Digital	Denied	0.0	Deny
64767	2005060285703	2005-05-24 00:00:00	2005-03-29 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Settled	135.7	Settle
66262	2005062487158	2005-06-15 00:00:00	2005-05-28 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	544.64	Electronics	Cameras - Digital	Denied	0.0	Deny
66271	2005062487201	2005-06-15 00:00:00	2005-05-28 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	708.0	Electronics	Cameras - Digital	Denied	0.0	Deny
67526	2005071188561	2005-07-06 00:00:00	2005-06-19 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	499.08	Electronics	DVD/CD Players	Denied	0.0	Deny
68254	2005072089275	2005-07-18 00:00:00	2005-07-09 00:00:00	EGE	Eagle County Regional		Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Jewelry - Fine	Approved	200.0	Approve in Full
69116	2005080890206	2005-07-29 00:00:00	2005-06-19 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	303.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
70727	2005082991719	2005-08-23 00:00:00	2005-08-08 00:00:00	EGE	Eagle County Regional	UAL	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Settled	490.0	Settle
71270	2005091492481	2005-09-01 00:00:00	2005-08-21 00:00:00	EGE	Eagle County Regional	American Airlines	Passenger Property Loss	Checkpoint	33.55	Other	Other	Approved	33.55	Approve in Full
