id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
20738	1119068M	2003-11-19 00:00:00	2003-10-30 00:00:00	GRB	Austin Straubel International	American Airlines	Passenger Property Loss	Checked Baggage	3360.0	Watches & Jewelry	Jewelry - Fine	Canceled		
26508	0202151M	2004-02-02 00:00:00	2004-01-17 00:00:00	GRB	Austin Straubel International		Passenger Property Loss	Other	500.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	250.0	Settle
29807	2004050650605	2004-03-10 00:00:00	2003-08-21 00:00:00	GRB	Austin Straubel International	Delta Air Lines	Passenger Property Loss	Checked Baggage	470.0	Other	Currency	Denied	0.0	Deny
32040	2004060454685	2004-04-04 00:00:00	2004-02-28 00:00:00	GRB	Austin Straubel International	Delta Air Lines	Passenger Property Loss	Checked Baggage	305.0	Electronics	Cameras - Digital	Approved	305.0	Approve in Full
32657	2004051752559	2004-04-16 00:00:00	2004-04-05 00:00:00	GRB	Austin Straubel International	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Approved	40.0	Approve in Full
40283	2004081060945	2004-07-15 00:00:00	2004-06-15 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checkpoint	29.0	Other	Currency	Denied	0.0	Deny
41426	2004091562951	2004-08-03 00:00:00	2004-07-23 00:00:00	GRB	Austin Straubel International		Passenger Property Loss	Checkpoint	300.0	Other	Other	Approved	300.0	Approve in Full
41500	2004090161860	2004-08-03 00:00:00	2004-07-27 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	2124.91	Electronics	Computer - Laptop	Denied	0.0	Deny
61297	2005041282273	2005-04-08 00:00:00	2005-03-27 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	440.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
67491	2005070788412	2005-07-06 00:00:00	2005-06-04 00:00:00	GRB	Austin Straubel International	American Airlines	Passenger Property Loss	Checked Baggage	1052.86	Electronics	PDA - Personal Data Assistants	Denied	0.0	Deny
79072	2006012500301	2006-01-18 00:00:00	2005-11-02 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	4808.0	Electronics	Computer - Laptop	Denied	0.0	Deny
80092	2006020801201	2006-02-03 00:00:00	2005-08-31 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1024.35	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
83549	2006041804687	2006-04-07 00:00:00	2006-03-03 00:00:00	GRB	Austin Straubel International		Passenger Property Loss	Checked Baggage	230.0	Other	Other	Settled	187.0	Settle
84285	2006042505362	2006-04-24 00:00:00	2006-04-12 00:00:00	GRB	Austin Straubel International		Passenger Property Loss	Checked Baggage		Tools & Machines	Locks	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
84453	2006050205569	2006-04-27 00:00:00	2006-03-09 00:00:00	GRB	Austin Straubel International	UAL	Passenger Property Loss	Checked Baggage	153.01	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
84510	2006050805723	2006-04-28 00:00:00	2006-04-05 00:00:00	GRB	Austin Straubel International	Midwest Express Airlines	Passenger Property Loss	Checked Baggage	288.39	Tools & Machines,Electronics	Binoculars*Cameras - Digital	Canceled	0.0	
86387	2006060807627	2006-06-06 00:00:00	2006-04-19 00:00:00	GRB	Austin Straubel International	Delta Air Lines	Passenger Property Loss	Checked Baggage	9.69	Tools & Machines	Locks	Denied	0.0	Deny
87334	2006062708597	2006-06-26 00:00:00	2006-06-01 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	550.0	Other	Other	Approved	550.0	Approve in Full
98360	2007012519435	2007-01-18 00:00:00	2006-12-31 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1009.97	Electronics,Electronics	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)	Denied	0.0	Deny
99692	2007021220738	2007-02-12 00:00:00	2007-02-08 00:00:00	GRB	Austin Straubel International	Southwest Airlines	Passenger Property Loss	Checkpoint	42.98	Supplies	Medicines	Approved	42.98	Approve in Full
103773	2007050725047	2007-05-03 00:00:00	2006-09-27 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	220.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
106009	2007062027261	2007-06-19 00:00:00	2007-05-31 00:00:00	GRB	Austin Straubel International	Allegiant Air	Passenger Property Loss	Checked Baggage	136.16	Electronics	Cameras - Digital	Denied	0.0	Deny
110556	2007091431940	2007-09-11 00:00:00	2007-08-11 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	700.0	Electronics	Computer - Laptop	Denied	0.0	Deny
111981	2007101533406	2007-10-10 00:00:00	2007-07-07 00:00:00	GRB	Austin Straubel International	American Airlines	Passenger Property Loss	Checked Baggage	396.65	Electronics	Cameras - Digital	Denied	0.0	Deny
112380	2007102333786	2007-10-18 00:00:00	2007-10-17 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Denied	0.0	Deny
114189	2007112835596	2007-11-26 00:00:00	2007-11-10 00:00:00	GRB	Austin Straubel International	UAL	Passenger Property Loss	Checked Baggage	2715.0	Clothing & Accessories,Cosmetics	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
114990	2007121736565	2007-12-11 00:00:00	2007-11-17 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Locks	Approved	15.0	Approve in Full
117568	2008020739219	2008-01-29 00:00:00	2008-01-08 00:00:00	GRB	Austin Straubel International	Northwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Other	Denied	0.0	Deny
119185	2008031240890	2008-03-03 00:00:00	2007-12-14 00:00:00	GRB	Austin Straubel International	UAL	Passenger Property Loss	Checked Baggage	2895.02	Office Supplies,Clothing & Accessories,Electronics,Cosmetics,Watches & Jewelry,Containers	Books - Bibles & Bound classics*Clothing - Shoes, belts, accessories, etc.*Computer - Laptop*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Costume*Luggage (all types including footlockers)	Denied	0.0	Deny
