id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
26003	0130079M	2004-01-30 00:00:00	2003-10-25 00:00:00	GUM	Guam		Passenger Property Loss	Checked Baggage	800.0	Electronics	DVD/CD Players	Denied	800.0	Deny
39599	2004081261293	2004-07-09 00:00:00	2004-05-29 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checkpoint	199.99	Watches & Jewelry	Jewelry - Fine	Approved	199.99	Approve in Full
42792	2004100464370	2004-08-19 00:00:00	2004-06-28 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	90.0	Other	Other	Approved	90.0	Approve in Full
47451	2004120268284	2004-10-15 00:00:00	2004-09-30 00:00:00	GUM	Guam		Passenger Property Loss	Checkpoint	805.0	Other	Other	Denied	0.0	Deny
66982	2005063087913	2005-06-27 00:00:00	2005-06-10 00:00:00	GUM	Guam		Passenger Property Loss	Checked Baggage	100.0	Other	Other	Settled	50.0	Settle
71912	2005092092945	2005-09-14 00:00:00	2005-08-12 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checkpoint	243.0	Electronics	Cell Phones	Denied	0.0	Deny
73766	2005101994885	2005-10-13 00:00:00	2005-10-05 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	129.02	Electronics	Computer - Laptop	Settled	79.02	Settle
76936	2005121997975	2005-12-12 00:00:00	2005-11-27 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	399.95	Electronics	Cameras - Digital	Denied	0.0	Deny
78900	2006012300099	2006-01-17 00:00:00	2005-11-01 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	1200.0	Electronics	Computer - Laptop	Denied	0.0	Deny
79031	2006012400208	2006-01-18 00:00:00	2005-12-31 00:00:00	GUM	Guam	UAL	Passenger Property Loss	Checked Baggage	625.47	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
80766	2006022201882	2006-02-15 00:00:00	2006-01-15 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	5275.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
81465	2006030702663	2006-03-01 00:00:00	2006-01-17 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	125.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	125.0	Approve in Full
85590	2006052406890	2006-05-22 00:00:00	2006-05-12 00:00:00	GUM	Guam	Continental Airlines	Passenger Property Loss	Checked Baggage	280.0	Electronics,Electronics	Audio - Other (Phonograph, cassettes, etc)*Electrical and Gas Appliances Minor - $200 or less (humidifiers, tv's, etc)	Canceled	0.0	
