id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
49497	2004122169819	2004-11-09 00:00:00	2004-10-13 00:00:00	HXD	Hilton Head Island Airport		Passenger Property Loss	Checkpoint	157.08	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	157.08	Approve in Full
81845	2006031302986	2006-03-07 00:00:00	2006-02-22 00:00:00	HXD	Hilton Head Island Airport		Passenger Property Loss	Checkpoint	40.0	Other	Other	Settled	20.0	Settle
86786	2006061408006	2006-06-14 00:00:00	2006-04-30 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	25.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
93942	2006111315459	2006-10-31 00:00:00	2006-10-26 00:00:00	HXD	Hilton Head Island Airport		Passenger Property Loss	Checked Baggage	195.16	Electronics	Cell Phones	Settled	190.28	Settle
102961	2007041824181	2007-04-16 00:00:00	2007-03-30 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	62.33	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	31.17	Settle
106151	2007062727551	2007-06-21 00:00:00	2007-06-03 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	52.65	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	52.65	Approve in Full
113984	2007112935645	2007-11-19 00:00:00	2007-09-20 00:00:00	HXD	Hilton Head Island Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	3625.0	Watches & Jewelry	Jewelry - Costume	Denied	0.0	Deny
123187	2008051644427	2008-05-23 00:00:00	2008-04-22 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	100.0	Supplies,Other	Medicines*Other	Denied	0.0	Deny
123309	2008052944976	2008-05-27 00:00:00	2008-05-08 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	300.0	Electronics,Electronics	Computer - Laptop*MP3 Players-(iPods, etc)	Denied	0.0	Deny
126381	2008081148321	2008-08-01 00:00:00	2008-07-26 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	299.0	Outdoors Supplies	Sporting Equipment & Supplies (footballs, parachutes, etc.)	Settled	134.55	Settle
127529	2008090249329	2008-08-27 00:00:00	2008-08-18 00:00:00	HXD	Hilton Head Island Airport	US Express	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Denied	0.0	Deny
131250	2008121053253	2008-12-01 00:00:00	2008-10-12 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage	170.32	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	138.02	Settle
138087	2009060959950	2009-06-08 00:00:00	2009-05-23 00:00:00	HXD	Hilton Head Island Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	100.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Denied	0.0	Deny
138478	2009061860378	2009-06-17 00:00:00	2009-05-31 00:00:00	HXD	Hilton Head Island Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	932.48	Clothing & Accessories,Cosmetics,Watches & Jewelry	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Fine	Denied	0.0	Deny
147911	2010042371104	2010-04-20 00:00:00	2010-04-06 11:20:00	HXD	Hilton Head Island Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing			
152330	2010090375647	2010-08-31 00:00:00	2010-08-26 10:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Electronics	Computer & Accessories		0.0	Deny
152826	2010092276269	2010-09-14 00:00:00	2010-08-30 00:00:00	HXD	Hilton Head Island Airport	CanJet	Passenger Property Loss	Checked Baggage		Cosmetics,Clothing & Accessories	Cosmetics & Grooming*Personal Accessories		0.0	Deny
154579	2010112278026	2010-11-09 00:00:00	2010-09-15 06:30:00	HXD	Hilton Head Island Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage		Watches & Jewelry	Jewelry & Watches		0.0	Deny
154920	2010111677872	2010-11-22 00:00:00	2010-10-30 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		0.0	Deny
162933	2011082686501	2011-08-10 00:00:00	2011-07-25 09:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Electronics,Electronics	Computer & Accessories*Computer & Accessories		0.0	Deny
168971	2012041092728	2012-03-05 00:00:00	2012-02-22 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Scientific Intruments	Medical/Science		0.0	Deny
170834	2012060294458	2012-05-10 00:00:00	2012-04-22 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Personal Accessories		0.0	Deny
171172	2012062094816	2012-05-23 00:00:00	2012-04-22 00:00:00	HXD	Hilton Head Island Airport		Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		31.46	Approve in Full
179355	2013040903079	2013-03-25 00:00:00	2013-02-18 15:59:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Cosmetics,Scientific Intruments	Cosmetics & Grooming*Medical/Science		0.0	Deny
182488	2013072605463	2013-07-18 00:00:00	2013-07-13 06:30:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checkpoint		Containers	Baggage/Cases/Purses			
190637	2014060614458	2014-06-04 00:00:00	2014-02-08 00:00:00	HXD	Hilton Head Island Airport		Passenger Property Loss	Checked Baggage		Food & Drink	Food & Drink		1.25	Approve in Full
194678	2014112518588	2014-11-10 00:00:00	2014-10-08 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Containers	Baggage/Cases/Purses			
198576	2015042922176	2015-04-29 00:00:00	2015-03-27 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checkpoint		Clothing & Accessories	Personal Accessories		148.39	Approve in Full
198577	2015051122435	2015-05-06 00:00:00	2015-04-26 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Personal Accessories		208.28	Approve in Full
198578	2015070123599	2015-06-25 00:00:00	2015-05-31 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		386.3	Approve in Full
198580	2015092125494	2015-08-31 00:00:00	2015-08-15 00:00:00	HXD	Hilton Head Island Airport	USAir	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Clothing & Accessories,Clothing & Accessories,Clothing & Accessories	Clothing*Clothing*Clothing*Clothing			
