id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1824	0124012L	2003-01-24 00:00:00	2002-12-16 00:00:00	JAN	Jackson International	Continental Airlines	Passenger Property Loss	Checkpoint	360.4	Electronics	Cell Phones	Denied	360.4	Deny
3903	0318109L	2003-03-18 00:00:00	2003-02-11 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	1160.0	Watches & Jewelry	Jewelry - Fine	Settled	580.0	Settle
32294	2004052052907	2004-04-06 00:00:00	2004-03-10 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	151.41	Electronics	Cameras - Digital	Settled	76.0	Settle
35506	2004061656041	2004-05-19 00:00:00	2003-12-29 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	275.0	Electronics	Cameras - Digital	Approved	275.0	Approve in Full
39806	2004080360452	2004-07-09 00:00:00	2004-06-04 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	65.0	Other	Other	Settled	32.5	Settle
40513	2004081061020	2004-07-20 00:00:00	2004-07-06 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	400.0	Other	Currency	Approved	400.0	Approve in Full
43898	2004091562941	2004-09-01 00:00:00	2004-08-04 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Theft	Checked Baggage	350.0	Electronics	Cameras - Digital	Denied	0.0	Deny
43901	2004091562966	2004-09-01 00:00:00	2004-08-17 00:00:00	JAN	Jackson International		Passenger Theft	Checked Baggage	115.0	Other	Other	Denied	0.0	Deny
47578	2004120368438	2004-10-18 00:00:00	2004-09-01 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	3.98	Other	Other	Approved	3.98	Approve in Full
51643	2005010472600	2004-12-10 00:00:00	2004-10-26 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	100.0	Supplies	Medicines	Approved	100.0	Approve in Full
52122	2005010472658	2004-12-14 00:00:00	2004-11-07 00:00:00	JAN	Jackson International	Northwest Airlines	Passenger Property Loss	Checked Baggage	235.39	Other	Other	Denied	0.0	Deny
56677	2005031077646	2005-02-08 00:00:00	2005-01-03 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	18.5	Other	Other	Approved	18.5	Approve in Full
64171	2005052385280	2005-05-17 00:00:00	2005-02-15 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	70.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
67747	2005071288733	2005-07-11 00:00:00	2005-06-05 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Approved	40.0	Approve in Full
67861	2005071488883	2005-07-13 00:00:00	2005-05-30 00:00:00	JAN	Jackson International	Northwest Airlines	Passenger Property Loss	Checked Baggage	126.17	Other	Other	Approved	126.17	Approve in Full
68376	2005072289485	2005-07-20 00:00:00	2005-07-14 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	69.55	Watches & Jewelry	Jewelry - Fine	Approved	69.55	Approve in Full
68456	2005072289470	2005-07-20 00:00:00	2005-07-02 00:00:00	JAN	Jackson International	Northwest Airlines	Passenger Property Loss	Checked Baggage	275.0	Other	Other	Denied	0.0	Deny
69246	2005081090311	2005-08-02 00:00:00	2005-07-19 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	18.0	Other	Other	Approved	18.0	Approve in Full
70775	2005083091812	2005-08-24 00:00:00	2005-08-13 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	615.78	Electronics	Cameras - Digital	Denied	0.0	Deny
71594	2005091992682	2005-09-08 00:00:00	2005-06-17 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	3850.0	Watches & Jewelry	Jewelry - Fine	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
72345	2005092993454	2005-09-19 00:00:00	2005-07-19 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	884.92	Electronics	Stereo Items & Accessories	Settled	269.9	Settle
73292	2005101194350	2005-10-04 00:00:00	2005-09-08 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	215.0	Electronics	Cameras - Digital	Settled	194.23	Settle
73686	2005101794726	2005-10-12 00:00:00	2005-01-09 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Electronics	Cameras - Digital	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
74628	2005110895749	2005-10-28 00:00:00	2005-09-14 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	186.0	Other	Other	Denied	0.0	Deny
74923	2005111596100	2005-11-02 00:00:00	2005-07-25 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	633.0	Other	Other	Settled	582.09	Settle
76226	2005120897358	2005-11-29 00:00:00	2005-09-15 00:00:00	JAN	Jackson International		Passenger Property Loss	Checkpoint	35.0	Other	Currency	Approved	35.0	Approve in Full
76956	2005122198215	2005-12-12 00:00:00	2005-11-14 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checkpoint	43000.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
78119	2006010999175	2006-01-04 00:00:00	2005-11-23 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	368.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	119.99	Settle
78827	2006012400228	2006-01-14 00:00:00	2005-11-06 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	1560.0	Other	Currency	Denied	0.0	Deny
80792	2006022201885	2006-02-15 00:00:00	2006-02-02 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	58.5	Other	Other	Settled	29.25	Settle
82272	2006032103418	2006-03-15 00:00:00	2006-02-01 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	189.0	Electronics	Cameras - Digital	Denied	0.0	Deny
82735	2006040403947	2006-03-23 00:00:00	2006-03-09 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	1500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
83910	2006042505323	2006-04-17 00:00:00	2006-04-04 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Currency	Approved	100.0	Approve in Full
85722	2006052406948	2006-05-23 00:00:00	2006-05-20 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	223.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
89095	2006080110325	2006-07-28 00:00:00	2006-07-23 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	110.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
91527	2006091812761	2006-09-13 00:00:00	2006-09-04 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checkpoint	663.96	Electronics	Cameras - Digital	Denied	0.0	Deny
97349	2007010818477	2007-01-04 00:00:00	2006-11-28 00:00:00	JAN	Jackson International	Continental Airlines	Passenger Property Loss	Checked Baggage	257.99	Clothing & Accessories,Cosmetics,Other	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Other	Denied	0.0	Deny
98887	2007020520124	2007-01-26 00:00:00	2007-01-15 00:00:00	JAN	Jackson International	USAir	Passenger Property Loss	Checked Baggage	2695.99	Containers,Electronics,Electronics,Cosmetics,Scientific Intruments,Clothing & Accessories	Bags - Fabric, plastic, etc. (not purses)*Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Dental Equipment and Instruments*Eyeglasses - (including contact lenses)	Denied	0.0	Deny
99084	2007020520185	2007-01-30 00:00:00	2006-12-31 00:00:00	JAN	Jackson International		Passenger Property Loss	Checked Baggage	132.06	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
101120	2007031422302	2007-03-12 00:00:00	2007-02-11 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	5642.25	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
103078	2007042424441	2007-04-19 00:00:00	2007-04-13 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.0	Tools & Machines	Locks	Approved	30.0	Approve in Full
104560	2007052325854	2007-05-21 00:00:00	2007-04-13 00:00:00	JAN	Jackson International	Continental Airlines	Passenger Property Loss	Checked Baggage	1925.04	Watches & Jewelry	Jewelry - Fine	Canceled	0.0	
105205	2007061326820	2007-06-04 00:00:00	2007-05-29 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	65.0	Watches & Jewelry	Watches - Inexpensive $100 or less	Approved	65.0	Approve in Full
105684	2007061226770	2007-06-12 00:00:00	2007-03-17 00:00:00	JAN	Jackson International	Delta Air Lines	Passenger Property Loss	Checked Baggage	25.62	Scientific Intruments	Medical Equipment & Insturments	Approved	25.62	Approve in Full
109153	2007082030481	2007-08-16 00:00:00	2007-08-08 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	349.99	Electronics	Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)	Denied	0.0	Deny
109335	2007082430864	2007-08-21 00:00:00	2007-06-20 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	27.0	Household Items	Linens - Quilts, Comforters	Approved	27.0	Approve in Full
112066	2007101533385	2007-10-12 00:00:00	2007-09-26 00:00:00	JAN	Jackson International	Continental Airlines	Passenger Property Loss	Checkpoint	147.35	Electronics	Cameras - Digital	Denied	0.0	Deny
112411	2007102433832	2007-10-19 00:00:00	2007-10-17 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checkpoint	59.99	Electronics	Cell Phones	Approved	59.99	Approve in Full
114396	2007120335896	2007-11-28 00:00:00	2007-11-13 00:00:00	JAN	Jackson International	Continental Airlines	Passenger Property Loss	Checkpoint	7600.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
115292	2007122136794	2007-12-17 00:00:00	2007-11-27 00:00:00	JAN	Jackson International	Southwest Airlines	Passenger Property Loss	Checked Baggage	109.36	Scientific Intruments	Professional Equipment	Denied	0.0	Deny
116354	2008011437808	2008-01-08 00:00:00	2008-01-03 00:00:00	JAN	Jackson International	Continental Airlines	Passenger Property Loss	Checked Baggage	85.59	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
116844	2008012338384	2008-01-15 00:00:00	2007-12-29 00:00:00	JAN	Jackson International	American Airlines	Passenger Property Loss	Checked Baggage	202.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
