id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
77	18181	2002-10-08 00:00:00	2002-09-12 00:00:00	MDW	Midway International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Currency	Approved	100.0	Approve in Full
481	0616791L	2002-12-03 00:00:00	2002-11-19 00:00:00	MDW	Midway International Airport	America Trans Air	Passenger Property Loss	Checkpoint	175.0	Other	Other	Settled	157.5	Settle
611	0715533M	2002-12-13 00:00:00	2002-10-03 00:00:00	MDW	Midway International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	2129.87	Electronics	Cameras - Digital	Approved		Approve in Full
1181	24408	2003-01-08 00:00:00	2002-12-18 00:00:00	MDW	Midway International Airport	Southwest Airlines	Passenger Property Loss	Checkpoint	50.0	Other	Other	Approved	50.0	Approve in Full
1723	0617544L	2003-01-22 00:00:00	2003-01-15 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	250.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
1768	0617625L	2003-01-22 00:00:00	2002-12-26 00:00:00	MDW	Midway International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	250.0	Settle
2221	0204033L	2003-02-04 00:00:00	2002-09-15 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	180.0	Other	Other	Closed as a contractor claim		
2338	0206008L	2003-02-06 00:00:00	2003-01-25 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	250.0	Electronics	Cell Phones	Settled	240.0	Settle
2386	0210024L	2003-02-10 00:00:00	2002-09-12 00:00:00	MDW	Midway International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	182.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	172.9	Settle
2613	0214009L	2003-02-14 00:00:00	2002-11-30 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	50.0	Watches & Jewelry	Jewelry - Fine	Approved	50.0	Approve in Full
2668	0221013L	2003-02-21 00:00:00	2003-02-03 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	75.0	Other	Other	Approved	75.0	Approve in Full
3780	0318038L	2003-03-18 00:00:00	2003-02-18 00:00:00	MDW	Midway International Airport	AirTran Airlines	Passenger Property Loss	Checked Baggage	81.49	Electronics	Computer - Laptop	Approved	81.0	Approve in Full
4085	0325098L	2003-03-25 00:00:00	2003-03-11 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checked Baggage	100.0	Containers	Luggage (all types including footlockers)	Approved	100.0	Approve in Full
4576	0402099L	2003-04-02 00:00:00	2003-03-02 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checked Baggage	6705.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
5314	0417067L	2003-04-17 00:00:00	2003-02-21 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checked Baggage	75.0	Other	Other	Settled	37.5	Settle
5784	0428099L	2003-04-28 00:00:00	2003-03-23 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checked Baggage	325.0	Other	Other	Settled	162.5	Settle
7009	0527031L	2003-05-27 00:00:00	2003-03-08 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checked Baggage	74.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	37.0	Settle
7159	0528129L	2003-05-28 00:00:00	2003-04-01 00:00:00	MDW	Midway International Airport	Southwest Airlines	Passenger Property Loss	Checked Baggage	403.06	Containers	Luggage (all types including footlockers)	Settled	202.0	Settle
7919	0609007L	2003-06-09 00:00:00	2003-04-25 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	50.0	Electronics	Computer - Laptop	Approved	50.0	Approve in Full
8077	0609146L	2003-06-09 00:00:00	2003-04-27 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checked Baggage	65.0	Other	Other	Settled	32.5	Settle
8140	0610174L	2003-06-10 00:00:00	2003-05-22 00:00:00	MDW	Midway International Airport	Mexicana	Passenger Property Loss	Checked Baggage	62.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	62.0	Approve in Full
8298	0610181L	2003-06-10 00:00:00	2003-05-26 00:00:00	MDW	Midway International Airport	Frontier Airlines	Passenger Property Loss	Checked Baggage	3035.0	Electronics	Computer - Laptop	Settled	2229.47	Settle
8859	0618005L	2003-06-18 00:00:00	2003-05-01 00:00:00	MDW	Midway International Airport		Passenger Property Loss	Checkpoint	136.0	Other	Other	Denied		Deny
