id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
43833	2004101364884	2004-08-31 00:00:00	2004-08-17 00:00:00	MGM	Montgomery Regional-Dannelly Field	USAir	Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Jewelry - Fine	Settled	50.0	Settle
46417	2004111667162	2004-10-01 00:00:00	2004-09-02 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	2300.0	Other	Other	Denied	0.0	Deny
54237	2005020375568	2005-01-11 00:00:00	2004-12-20 00:00:00	MGM	Montgomery Regional-Dannelly Field		Passenger Property Loss	Checkpoint	150.0	Other	Other	Denied	0.0	Deny
59037	2005032679950	2005-03-09 00:00:00	2005-02-24 00:00:00	MGM	Montgomery Regional-Dannelly Field		Passenger Property Loss	Checkpoint	469.0	Electronics	Cameras - Digital	Denied	0.0	Deny
79007	2006012300110	2006-01-18 00:00:00	2005-12-20 00:00:00	MGM	Montgomery Regional-Dannelly Field	Continental Airlines	Passenger Property Loss	Checkpoint	435.17	Electronics	Cameras - Digital	Denied	0.0	Deny
83157	2006041304496	2006-03-31 00:00:00	2006-03-05 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	58.28	Other	Other	Approved	58.28	Approve in Full
86821	2006061508014	2006-06-14 00:00:00	2006-06-07 00:00:00	MGM	Montgomery Regional-Dannelly Field	Northwest Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Currency	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
92063	2006092713364	2006-09-25 00:00:00	2006-09-07 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checkpoint	150.0	Electronics	Audio - Other (Phonograph, cassettes, etc)	Approved	150.0	Approve in Full
93335	2006102714730	2006-10-19 00:00:00	2006-10-16 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	129.99	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	129.99	Approve in Full
104055	2007051125282	2007-05-09 00:00:00	2007-03-15 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	185.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	92.5	Settle
104659	2007052925950	2007-05-21 00:00:00	2007-04-28 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Electronics	GPS - Global Positioning System	Settled	296.5	Settle
112427	2007102433844	2007-10-19 00:00:00	2007-10-17 00:00:00	MGM	Montgomery Regional-Dannelly Field	Continental Airlines	Passenger Property Loss	Checked Baggage	759.0	Electronics,Containers,Other	Cameras - Digital*Luggage (all types including footlockers)*Other	Denied	0.0	Deny
116502	2008011537918	2008-01-10 00:00:00	2007-12-17 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	830.0	Containers,Clothing & Accessories,Cosmetics,Watches & Jewelry,Watches & Jewelry	Bags - Fabric, plastic, etc. (not purses)*Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Jewelry - Costume*Watches - Inexpensive $100 or less	Denied	0.0	Deny
120484	2008040842125	2008-03-31 00:00:00	2008-03-29 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checkpoint	2101.0	Electronics	Computer - Laptop	Denied	0.0	Deny
131581	2008102251424	2008-12-10 00:00:00	2008-10-04 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	213.0	Electronics	DVD/CD Players	Denied	0.0	Deny
132413	2009010954307	2009-01-05 00:00:00	2008-12-19 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	40.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	40.0	Approve in Full
134319	2009031156127	2009-02-23 00:00:00	2009-02-03 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
138571	2009061860374	2009-06-19 00:00:00	2009-06-09 00:00:00	MGM	Montgomery Regional-Dannelly Field	Delta Air Lines	Passenger Property Loss	Checked Baggage	187.0	Tools & Machines	Barber Supplies - Scissors, shears, elecric razors, etc.	Denied	0.0	Deny
143465	2009111965495	2009-11-10 00:00:00	2009-09-05 07:20:00	MGM	Montgomery Regional-Dannelly Field	USAir	Passenger Property Loss	Checked Baggage	135.0	Electronics	Cameras - Digital	Denied	0.0	Deny
145796	2010022568721	2010-02-16 00:00:00	2010-02-14 09:30:00	MGM	Montgomery Regional-Dannelly Field	Delta (Song)	Passenger Property Loss	Checkpoint		Electronics	Cameras		0.0	Deny
146456	2010031669618	2010-03-08 00:00:00	2010-02-15 11:00:00	MGM	Montgomery Regional-Dannelly Field	USAir	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
147077	2010040270347	2010-03-26 00:00:00	2010-03-13 07:00:00	MGM	Montgomery Regional-Dannelly Field	American Airlines	Passenger Property Loss	Checked Baggage		Electronics	Personal Electronics		0.0	Deny
152109	2010083175502	2010-08-24 00:00:00	2010-07-31 00:00:00	MGM	Montgomery Regional-Dannelly Field	American Eagle	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing		0.0	Deny
153476	2010102077105	2010-10-04 00:00:00	2010-10-02 00:00:00	MGM	Montgomery Regional-Dannelly Field	American Airlines	Passenger Property Loss	Checked Baggage		Other	Other		28.0	Approve in Full
