id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
11	2005071188575	2002-07-06 00:00:00	2005-06-23 00:00:00	ORD	Chicago O'Hare International Airport	American Airlines	Passenger Property Loss	Checked Baggage	79.95	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	79.95	Approve in Full
283	20867	2002-11-18 00:00:00	2002-10-06 00:00:00	ORD	Chicago O'Hare International Airport	UAL	Passenger Property Loss	Checkpoint	110.0	Tools & Machines	Baby - Strollers, car seats, playpen, etc.	Approved	110.0	Approve in Full
298	19888	2002-11-19 00:00:00	2002-08-28 00:00:00	ORD	Chicago O'Hare International Airport	UAL	Passenger Property Loss	Checkpoint	60.0	Other	Currency	Approved	60.0	Approve in Full
795	1218011L	2002-12-18 00:00:00	2002-11-06 00:00:00	ORD	Chicago O'Hare International Airport	American Airlines	Passenger Property Loss	Checkpoint	5000.0	Other	Currency	Denied	0.0	Deny
867	0715530M	2002-12-23 00:00:00	2002-11-10 00:00:00	ORD	Chicago O'Hare International Airport	UAL	Passenger Property Loss	Checkpoint	3000.0	Other	Currency	Denied	0.0	Deny
878	0715529M	2002-12-23 00:00:00	2002-10-18 00:00:00	ORD	Chicago O'Hare International Airport		Passenger Property Loss	Checkpoint	120.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	96.74	Settle
1609	0617660L	2003-01-21 00:00:00	2002-09-22 00:00:00	ORD	Chicago O'Hare International Airport	UAL	Passenger Property Loss	Checkpoint	737.83	Containers	Luggage (all types including footlockers)	Settled	458.29	Settle
1616	0703532M	2003-01-21 00:00:00	2002-12-26 00:00:00	ORD	Chicago O'Hare International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	35.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	17.5	Settle
1958	0128030L	2003-01-28 00:00:00	2002-09-03 00:00:00	ORD	Chicago O'Hare International Airport	Northwest Airlines	Passenger Property Loss	Checkpoint	1200.0	Containers	Luggage (all types including footlockers)	Settled	823.55	Settle
1959	0128033L	2003-01-28 00:00:00	2002-08-24 00:00:00	ORD	Chicago O'Hare International Airport	USAir	Passenger Property Loss	Checkpoint	200.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Settled	145.0	Settle
