id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
72313	2005093093580	2005-09-19 00:00:00	2005-08-01 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	4500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
74707	2005110895812	2005-10-31 00:00:00	2005-09-20 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	341.75	Other	Other	Denied	0.0	Deny
79321	2006012700491	2006-01-23 00:00:00	2006-01-17 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	1499.99	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
80304	2006021301450	2006-02-07 00:00:00	2005-12-25 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	1060.0	Other	Currency	Denied	0.0	Deny
80976	2006022402139	2006-02-21 00:00:00	2006-02-02 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	353.15	Electronics	Cameras - Digital	Denied	0.0	Deny
97918	2007011818990	2007-01-10 00:00:00	2006-12-27 00:00:00	PSE	Mercedita Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	399.72	Electronics	Cameras - Digital	Settled	194.87	Settle
99626	2007021320854	2007-02-08 00:00:00	2006-12-28 00:00:00	PSE	Mercedita Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1408.0	Other	Currency	Denied	0.0	Deny
101253	2007031622432	2007-03-14 00:00:00	2007-01-28 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	600.0	Cosmetics,Other,Watches & Jewelry	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Other*Watches - Inexpensive $100 or less	Denied	0.0	Deny
112634	2007102633999	2007-10-23 00:00:00	2007-10-16 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	260.48	Cosmetics,Scientific Intruments,Supplies,Other	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Medical Equipment & Insturments*Medicines*Other	Settled	140.34	Settle
118269	2008021239492	2008-02-13 00:00:00	2007-10-16 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	1000.0	Other	Other	Denied	0.0	Deny
118408	2008021339552	2008-02-18 00:00:00	2008-01-29 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	630.0	Electronics,Other	MP3 Players-(iPods, etc)*Other	Denied	0.0	Deny
121676	2008042543368	2008-04-21 00:00:00	2008-02-27 00:00:00	PSE	Mercedita Airport		Passenger Property Loss	Checkpoint	300.0	Watches & Jewelry	Watches - Expensive more than $100	Denied	0.0	Deny
124787	2008070746584	2008-06-27 00:00:00	2008-06-02 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	1025.0	Other,Other	Currency*Other	Denied	0.0	Deny
125472	2008072247191	2008-07-14 00:00:00	2008-07-05 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage	240.0	Clothing & Accessories,Games & Toys	Clothing - Shoes, belts, accessories, etc.*Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
146235	2010030969281	2010-03-01 00:00:00	2010-01-11 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		0.0	Deny
148957	2010052872201	2010-05-24 00:00:00	2010-04-30 05:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checkpoint		Clothing & Accessories	Clothing		0.0	Deny
149312	2010061072565	2010-06-03 00:00:00	2010-05-15 05:30:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories		24.0	Approve in Full
149543	2010062172825	2010-06-11 00:00:00	2010-05-25 08:10:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Other	Other		0.0	Deny
175485	2012111398640	2012-10-29 00:00:00	2012-10-22 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Cosmetics,Electronics	Clothing*Cosmetics & Grooming*Personal Electronics		0.0	Deny
202757	2015071723945	2015-07-10 00:00:00	2015-06-27 00:00:00	PSE	Mercedita Airport	Jet Blue	Passenger Property Loss	Checkpoint		Watches & Jewelry	Jewelry & Watches			
211149	2017011736614	2017-01-17 00:00:00	2016-11-22 03:00:00	PSE	Mercedita Airport Mercedita Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Household Items	Household Items			In Review
