id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
2343	0207000L	2003-02-07 00:00:00	2003-01-18 00:00:00	RIC	Richmond International	UAL	Passenger Property Loss	Checked Baggage	48.9	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	48.9	Approve in Full
2531	0212044L	2003-02-12 00:00:00	2003-01-09 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	53.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	53.0	Approve in Full
3699	0314062L	2003-03-14 00:00:00	2003-03-09 00:00:00	RIC	Richmond International	Delta Air Lines	Passenger Property Loss	Checked Baggage	180.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	126.0	Settle
3920	0319008L	2003-03-19 00:00:00	2003-02-25 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	165.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	165.0	Approve in Full
4094	0325115L	2003-03-25 00:00:00	2003-02-07 00:00:00	RIC	Richmond International	UAL	Passenger Property Loss	Checked Baggage	20.0	Containers	Luggage (all types including footlockers)	Approved	20.0	Approve in Full
4709	0408036L	2003-04-08 00:00:00	2003-02-02 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	146.61	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	22.0	Approve in Full
5425	0422020L	2003-04-22 00:00:00	2003-04-06 00:00:00	RIC	Richmond International		Passenger Property Loss	Checked Baggage	59.95	Watches & Jewelry	Jewelry - Fine	Approved	59.95	Approve in Full
6049	0505041L	2003-05-05 00:00:00	2003-04-13 00:00:00	RIC	Richmond International	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Electronics	Cameras - Digital	Settled	150.0	Settle
6101	0506095L	2003-05-06 00:00:00	2003-04-13 00:00:00	RIC	Richmond International		Passenger Property Loss	Checked Baggage	31.34	Other	Other	Approved	31.34	Approve in Full
6107	0506126L	2003-05-06 00:00:00	2003-02-12 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	175.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	175.0	Approve in Full
6195	0506104L	2003-05-06 00:00:00	2003-02-17 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	1074.6	Watches & Jewelry	Jewelry - Fine	Settled	620.0	Settle
6606	0516036L	2003-05-16 00:00:00	2003-05-06 00:00:00	RIC	Richmond International	Delta Air Lines	Passenger Property Loss	Checked Baggage	63.64	Other	Other	Approved	63.64	Approve in Full
7086	0528006L	2003-05-28 00:00:00	2003-05-04 00:00:00	RIC	Richmond International	Continental Airlines	Passenger Property Loss	Checked Baggage	890.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
7944	0609071L	2003-06-09 00:00:00	2003-05-31 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	50.0	Approve in Full
8495	0616018L	2003-06-16 00:00:00	2003-05-27 00:00:00	RIC	Richmond International	Delta Air Lines	Passenger Property Loss	Checked Baggage	235.0	Tools & Machines	Locks	Approved	175.0	Approve in Full
8824	0618029L	2003-06-18 00:00:00	2003-06-08 00:00:00	RIC	Richmond International	USAir	Passenger Property Loss	Checked Baggage	100.0	Other	Other	Approved	100.0	Approve in Full
