id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
17000	1002060M	2003-10-02 00:00:00	2003-09-04 00:00:00	SBN	South Bend Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	250.0	Approve in Full
36208	2004061856278	2004-05-27 00:00:00	2004-03-16 00:00:00	SBN	South Bend Regional		Passenger Property Loss	Checkpoint	80.0	Electronics	Cell Phones	Denied	80.0	Deny
51392	2004122170135	2004-12-07 00:00:00	2004-09-07 00:00:00	SBN	South Bend Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	42.39	Electronics	DVD/CD Players	Denied	0.0	Deny
55216	2005021676241	2005-01-24 00:00:00	2005-01-08 00:00:00	SBN	South Bend Regional	USAir	Passenger Property Loss	Checked Baggage	30.0	Other	Other	Approved	30.0	Approve in Full
62667	2005042783469	2005-04-26 00:00:00	2005-03-26 00:00:00	SBN	South Bend Regional	US Express	Passenger Property Loss	Checked Baggage	480.0	Other	Other	Settled	375.76	Settle
65619	2005062086657	2005-06-07 00:00:00	2005-05-29 00:00:00	SBN	South Bend Regional	UAL	Passenger Property Loss	Checked Baggage	133.3	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	133.3	Approve in Full
67927	2005071488859	2005-07-13 00:00:00	2005-06-24 00:00:00	SBN	South Bend Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	500.0	Other	Currency	Denied	0.0	Deny
69818	2005081890871	2005-08-09 00:00:00	2005-07-31 00:00:00	SBN	South Bend Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	49.17	Other	Other	Denied	0.0	Deny
71550	2005091692648	2005-09-08 00:00:00	2005-08-21 00:00:00	SBN	South Bend Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	1099.99	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
73784	2005101994888	2005-10-17 00:00:00	2005-09-27 00:00:00	SBN	South Bend Regional	UAL	Passenger Property Loss	Checked Baggage	110.0	Other	Other	Approved	110.0	Approve in Full
73839	2005102195016	2005-10-17 00:00:00	2005-08-16 00:00:00	SBN	South Bend Regional	UAL	Passenger Property Loss	Checked Baggage	45.0	Other	Other	Canceled	0.0	
