id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
1854	0127051L	2003-01-27 00:00:00	2003-01-02 00:00:00	SNA	John Wayne	UAL	Passenger Property Loss	Checked Baggage	107.37	Other	Other	Approved	107.37	Approve in Full
2651	0220032L	2003-02-20 00:00:00	2003-01-27 00:00:00	SNA	John Wayne	UAL	Passenger Property Loss	Checkpoint	999.0	Electronics	Stereo Items & Accessories	Denied	0.0	Deny
2834	0225028L	2003-02-25 00:00:00	2003-01-13 00:00:00	SNA	John Wayne	American Airlines	Passenger Property Loss	Checked Baggage	330.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	330.0	Approve in Full
2928	0225002L	2003-02-25 00:00:00	2003-01-07 00:00:00	SNA	John Wayne	Continental Airlines	Passenger Property Loss	Checked Baggage	420.0	Other	Other	Settled	210.0	Settle
3563	0311172L	2003-03-11 00:00:00	2003-01-27 00:00:00	SNA	John Wayne		Passenger Property Loss	Checked Baggage		Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	150.0	Settle
3702	0317001L	2003-03-17 00:00:00	2003-01-17 00:00:00	SNA	John Wayne		Passenger Property Loss	Checkpoint	100.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	80.0	Approve in Full
4358	0328051L	2003-03-28 00:00:00	2003-02-21 00:00:00	SNA	John Wayne	America West	Passenger Property Loss	Checked Baggage	180.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	90.0	Settle
5168	0416084L	2003-04-16 00:00:00	2003-03-14 00:00:00	SNA	John Wayne		Passenger Property Loss	Checked Baggage	2500.0	Watches & Jewelry	Jewelry - Fine	Denied	2500.0	Deny
5351	0421093L	2003-04-21 00:00:00	2003-03-17 00:00:00	SNA	John Wayne	American Airlines	Passenger Property Loss	Checked Baggage	60.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	60.0	Approve in Full
5432	0422045L	2003-04-22 00:00:00	2003-03-19 00:00:00	SNA	John Wayne	America West	Passenger Property Loss	Checked Baggage	125.0	Watches & Jewelry	Jewelry - Fine	Approved	125.0	Approve in Full
5649	0424014L	2003-04-24 00:00:00	2003-02-07 00:00:00	SNA	John Wayne	American Airlines	Passenger Property Loss	Checked Baggage	200.0	Electronics	Cell Phones	Settled	100.0	Settle
5650	0424015L	2003-04-24 00:00:00	2003-03-28 00:00:00	SNA	John Wayne	Continental Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Settled	20.0	Settle
