id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
40703	2004090161832	2004-07-20 00:00:00	2004-06-28 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	864.0	Electronics	Cameras - Digital	Settled	151.51	Settle
55919	2005021676305	2005-01-28 00:00:00	2004-12-02 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	385.0	Watches & Jewelry	Jewelry - Fine	Settled	192.5	Settle
56810	2005031978830	2005-02-08 00:00:00	2004-12-23 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checkpoint	50.0	Other	Currency	Denied	0.0	Deny
62964	2005050484020	2005-05-02 00:00:00	2005-04-17 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	10.0	Tools & Machines	Locks	Approved	10.0	Approve in Full
64049	2005052385279	2005-05-17 00:00:00	2005-05-13 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checkpoint	550.0	Electronics	Computer - Laptop	Approved	550.0	Approve in Full
67733	2005071889125	2005-07-08 00:00:00	2005-06-29 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	186.64	Other	Other	Settled	93.32	Settle
68315	2005072089326	2005-07-18 00:00:00	2005-06-29 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	30.0	Other	Other	Settled	15.0	Settle
68482	2005072289528	2005-07-20 00:00:00	2005-07-05 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	300.0	Other	Other	Denied	0.0	Deny
71811	2005092092870	2005-09-14 00:00:00	2005-09-06 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	30.0	Other	Other	Approved	30.0	Approve in Full
71828	2005092092964	2005-09-14 00:00:00	2005-08-28 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	6.59	Tools & Machines	Locks	Approved	6.59	Approve in Full
73355	2005101294441	2005-10-05 00:00:00	2005-09-29 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	50.0	Other	Other	Denied	0.0	Deny
78013	2006011099289	2006-01-04 00:00:00	2005-10-18 00:00:00	XNA	Northwest Arkansas Regional	UAL	Passenger Property Loss	Checked Baggage	24.99	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	24.99	Approve in Full
80895	2006022302038	2006-02-17 00:00:00	2006-02-09 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	2624.48	Electronics	Computer - Laptop	Canceled	0.0	
81178	2006022802279	2006-02-24 00:00:00	2006-01-03 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	50.0	Electronics	Cameras - Digital	Approved	50.0	Approve in Full
83210	2006041904726	2006-04-01 00:00:00	2006-02-20 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage		Other	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
88285	2006071409503	2006-07-13 00:00:00	2006-06-23 00:00:00	XNA	Northwest Arkansas Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	30.69	Outdoors Supplies	Tools - Manual (not in a vehicle)	Approved	30.69	Approve in Full
90083	2006082511556	2006-08-17 00:00:00	2006-07-19 00:00:00	XNA	Northwest Arkansas Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	450.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
91998	2006092613275	2006-09-21 00:00:00	2006-08-31 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	336.68	Clothing & Accessories,Cosmetics,Supplies	Clothing - Shoes, belts, accessories, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Medicines	Settled	289.1	Settle
93426	2006102714691	2006-10-20 00:00:00	2006-10-11 00:00:00	XNA	Northwest Arkansas Regional	Northwest Airlines	Passenger Property Loss	Checked Baggage	143.02	Electronics,Clothing & Accessories	Cell Phones*Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
96239	2006122017535	2006-12-14 00:00:00	2006-12-07 00:00:00	XNA	Northwest Arkansas Regional	Continental Airlines	Passenger Property Loss	Checked Baggage	21.4	Games & Toys	Toys (game systems, cartridges, radio controlled cars, etc.)	Denied	0.0	Deny
97277	2007010518389	2007-01-03 00:00:00	2006-12-10 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	1500.0	Electronics	Computer - Laptop	Denied	0.0	Deny
98871	2007013119891	2007-01-26 00:00:00	2007-01-22 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	999.0	Electronics	Computer - Laptop	Denied	0.0	Deny
99650	2007021520948	2007-02-09 00:00:00	2007-01-28 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	250.0	Other	Other	Canceled	0.0	
101844	2007032823092	2007-03-26 00:00:00	2007-03-02 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	274.6	Cosmetics,Cosmetics,Other	Brushes - Hair, Clothes, etc.*Cosmetics - Perfume, toilet articles, medicines, soaps, etc.*Other	Denied	0.0	Deny
103663	2007050324941	2007-05-01 00:00:00	2007-03-11 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	198.79	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
104177	2007051725531	2007-05-14 00:00:00	2007-05-06 00:00:00	XNA	Northwest Arkansas Regional	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	75.0	Approve in Full
106854	2007071228182	2007-07-06 00:00:00	2007-06-26 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	37.9	Other	Other	Approved	37.9	Approve in Full
108440	2007080629656	2007-08-03 00:00:00	2007-07-23 00:00:00	XNA	Northwest Arkansas Regional		Passenger Property Loss	Checked Baggage	7.0	Tools & Machines	Locks	Approved	7.0	Approve in Full
108444	2007080829809	2007-08-03 00:00:00	2007-06-06 00:00:00	XNA	Northwest Arkansas Regional	American Airlines	Passenger Property Loss	Checked Baggage	9.95	Tools & Machines	Locks	Approved	9.95	Approve in Full
