id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
4355	0328045L	2003-03-28 00:00:00	2003-02-22 00:00:00	ABE	Lehigh Valley International Airport, Allentown	UAL	Passenger Property Loss	Checked Baggage	400.0	Other	Other	Settled	200.0	Settle
5924	0502007L	2003-05-02 00:00:00	2003-03-22 00:00:00	ABE	Lehigh Valley International Airport, Allentown		Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Locks	Approved	20.0	Approve in Full
11455	0722052M	2003-07-22 00:00:00	2003-07-10 00:00:00	ABE	Lehigh Valley International Airport, Allentown	USAir	Passenger Property Loss	Checked Baggage	67.37	Watches & Jewelry	Jewelry - Fine	Canceled		
15297	0908007M	2003-09-08 00:00:00	2003-06-19 00:00:00	ABE	Lehigh Valley International Airport, Allentown	USAir	Passenger Property Loss	Checkpoint	518.34	Watches & Jewelry	Jewelry - Fine	Approved	518.34	Approve in Full
16514	0925042M	2003-09-25 00:00:00	2003-08-02 00:00:00	ABE	Lehigh Valley International Airport, Allentown	Continental Airlines	Passenger Property Loss	Checked Baggage	2287.89	Other	Other	Denied	2287.89	Deny
29418	0305204M	2004-03-05 00:00:00	2004-02-11 00:00:00	ABE	Lehigh Valley International Airport, Allentown		Passenger Property Loss	Checkpoint	65.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
31283	2004051351795	2004-03-24 00:00:00	2003-12-29 00:00:00	ABE	Lehigh Valley International Airport, Allentown		Passenger Property Loss	Checked Baggage	629.95	Electronics	Cameras - Digital	Denied	0.0	Deny
32744	2004052453292	2004-04-20 00:00:00	2004-04-07 00:00:00	ABE	Lehigh Valley International Airport, Allentown	USAir	Passenger Property Loss	Checked Baggage	180.0	Other	Other	Settled	90.0	Settle
34235	2004051351624	2004-05-04 00:00:00	2004-04-07 00:00:00	ABE	Lehigh Valley International Airport, Allentown	USAir	Passenger Property Loss	Checked Baggage	180.0	Other	Currency	Canceled	0.0	
38441	2004071559509	2004-06-22 00:00:00	2003-08-17 00:00:00	ABE	Lehigh Valley International Airport, Allentown		Passenger Property Loss	Checked Baggage	23.5	Other	Other	Approved	23.5	Approve in Full
41263	2004072960211	2004-07-28 00:00:00	2004-03-17 00:00:00	ABE	Lehigh Valley International Airport, Allentown	Delta Air Lines	Passenger Property Loss	Checked Baggage	212.0	Electronics	Cameras - Digital	Denied	0.0	Deny
61595	2005041482523	2005-04-12 00:00:00	2005-03-16 00:00:00	ABE	Lehigh Valley International Airport, Allentown		Passenger Property Loss	Checked Baggage	495.0	Other	Other	Denied	0.0	Deny
65891	2005062286893	2005-06-09 00:00:00	2005-06-04 00:00:00	ABE	Lehigh Valley International Airport, Allentown	UAL	Passenger Property Loss	Checked Baggage	419.58	Electronics	Cameras - Digital	Settled	189.53	Settle
70218	2005082391264	2005-08-16 00:00:00	2005-07-29 00:00:00	ABE	Lehigh Valley International Airport, Allentown	Frontier Airlines	Passenger Property Loss	Checked Baggage	2800.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
