id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
39471	2004083061628	2004-07-07 00:00:00	2003-07-03 00:00:00	ABI	Abilene Regional		Passenger Property Loss	Checked Baggage	86.56	Other	Settled	43.29	Settle
77756	2006010698928	2005-12-28 00:00:00	2005-12-10 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	704.71	Computer - Laptop	Denied	0.0	Deny
90439	2006082511602	2006-08-24 00:00:00	2006-07-30 00:00:00	ABI	Abilene Regional	American Eagle	Passenger Property Loss	Checkpoint	185.0	Eyeglasses - (including contact lenses)	Approved	185.0	Approve in Full
99787	2007021621081	2007-02-12 00:00:00	2007-02-06 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	353.96	Cameras - Digital	Settled	168.24	Settle
102585	2007051625441	2007-04-09 00:00:00	2007-04-11 00:00:00	ABI	Abilene Regional	UAL	Passenger Property Loss	Checked Baggage	120.0	Other	Denied	0.0	Deny
102922	2007041824207	2007-04-16 00:00:00	2007-03-27 00:00:00	ABI	Abilene Regional	American Eagle	Passenger Property Loss	Checked Baggage	268.98	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)	Denied	0.0	Deny
108962	2007081730431	2007-08-13 00:00:00	2006-01-07 00:00:00	ABI	Abilene Regional	American Eagle	Passenger Property Loss	Checked Baggage	2413.98	Cameras - Digital*Computer - Laptop	Denied	0.0	Deny
111950	2007101133263	2007-10-10 00:00:00	2007-09-25 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	600.0	Bags - Fabric, plastic, etc. (not purses)*Jewelry - Costume	Denied	0.0	Deny
112252	2007101833595	2007-10-16 00:00:00	2007-10-10 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Denied	0.0	Deny
112850	2007110234292	2007-10-29 00:00:00	2007-09-12 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	340.0	Jewelry - Costume	Denied	0.0	Deny
115066	2007121236450	2007-12-12 00:00:00	2007-11-17 00:00:00	ABI	Abilene Regional		Passenger Property Loss	Checked Baggage	20.0	Locks	Approved	20.0	Approve in Full
116115	2008010937613	2008-01-04 00:00:00	2007-12-13 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	250.0	MP3 Players-(iPods, etc)	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
116828	2008012238311	2008-01-15 00:00:00	2007-12-13 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	250.0	MP3 Players-(iPods, etc)	Denied	0.0	Deny
118407	2008012238279	2008-02-18 00:00:00	2008-01-06 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	120.0	Office Furnishings	Denied	0.0	Deny
131586	2008121253355	2008-12-10 00:00:00	2008-10-27 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	55.0	Luggage (all types including footlockers)	Denied	0.0	Deny
143762	2009111865452	2009-11-18 00:00:00	2009-10-31 08:45:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage	227.39	GPS - Global Positioning System	Canceled		
145278	2010012567837	2010-01-19 00:00:00	2010-01-16 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage		Clothing		0.0	Deny
146752	2010032269845	2010-03-16 00:00:00	2010-02-25 17:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage		Audio/Video		0.0	Deny
161260	2011062984740	2011-06-20 00:00:00	2011-06-05 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage		Hunting & Fishing Items		0.0	Deny
168423	2012020190553	2012-02-15 00:00:00	2011-12-17 13:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checkpoint		Jewelry & Watches		0.0	Deny
175802	2012121399282	2012-11-08 00:00:00	2012-08-01 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checkpoint		Other		0.0	Deny
195569	2015081024734	2015-08-05 00:00:00	2015-07-14 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage		Baggage/Cases/Purses		200.0	Approve in Full
195570	2015092825697	2015-09-07 00:00:00	2015-08-06 00:00:00	ABI	Abilene Regional	American Airlines	Passenger Property Loss	Checked Baggage		Personal Electronics		0.0	Deny
