id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
17018	1002110M	2003-10-02 00:00:00	2003-09-20 00:00:00	ACK	Nantucket Memorial Airport	USAir	Passenger Property Loss	Checked Baggage	600.0	Electronics	Cameras - Digital	Approved	600.0	Approve in Full
17123	0925455M	2003-10-02 00:00:00	2003-09-20 00:00:00	ACK	Nantucket Memorial Airport	USAir	Passenger Property Loss	Checked Baggage	600.0	Electronics	Cameras - Digital	Settled	50.0	Settle
18007	1016063M	2003-10-16 00:00:00	2003-10-03 00:00:00	ACK	Nantucket Memorial Airport	Cape Air	Passenger Property Loss	Checked Baggage	2733.33	Electronics	Cameras - Digital	Denied	0.0	Deny
33740	2004050350368	2004-05-01 00:00:00	2003-08-16 00:00:00	ACK	Nantucket Memorial Airport	USAir	Passenger Property Loss	Checkpoint	400.0	Watches & Jewelry	Jewelry - Fine	Approved	400.0	Approve in Full
69573	2005081690621	2005-08-05 00:00:00	2005-07-30 00:00:00	ACK	Nantucket Memorial Airport	USAir	Passenger Property Loss	Checked Baggage	110.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
89919	2006081511049	2006-08-14 00:00:00	2006-08-13 00:00:00	ACK	Nantucket Memorial Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	5950.0	Watches & Jewelry	Watches - Expensive more than $100	Settled	3600.0	Settle
90188	2006082411482	2006-08-21 00:00:00	2006-08-07 00:00:00	ACK	Nantucket Memorial Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	3900.0	Watches & Jewelry	Jewelry - Fine	Approved	3900.0	Approve in Full
91077	2006090712147	2006-09-05 00:00:00	2006-08-23 00:00:00	ACK	Nantucket Memorial Airport	Cape Air	Passenger Property Loss	Checked Baggage	294.0	Electronics	MP3 Players-(iPods, etc)	Settled	279.47	Settle
104117	2007051125312	2007-05-11 00:00:00	2007-04-03 00:00:00	ACK	Nantucket Memorial Airport	Cape Air	Passenger Property Loss	Checked Baggage	500.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
125294	2008071647022	2008-07-10 00:00:00	2008-07-05 00:00:00	ACK	Nantucket Memorial Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	124.2	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
127637	2008090449520	2008-09-02 00:00:00	2008-08-20 00:00:00	ACK	Nantucket Memorial Airport	Continental Airlines	Passenger Property Loss	Checkpoint	75.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	75.0	Approve in Full
128303	2008091850097	2008-09-16 00:00:00	2008-08-09 00:00:00	ACK	Nantucket Memorial Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	53.4	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	53.4	Approve in Full
130142	2008110652033	2008-10-31 00:00:00	2008-10-11 00:00:00	ACK	Nantucket Memorial Airport	Jet Blue	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
167976	2012031491705	2012-01-31 00:00:00	2012-01-17 07:45:00	ACK	Nantucket Memorial Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Cosmetics	Cosmetics & Grooming		6.41	Approve in Full
185246	2013110808975	2013-10-29 00:00:00	2013-10-19 09:30:00	ACK	Nantucket Memorial Airport	American Airlines	Passenger Property Loss	Checked Baggage		Cosmetics	Travel Accessories			
193853	2014101617744	2014-10-01 00:00:00	2014-09-17 00:00:00	ACK	Nantucket Memorial Airport	Jet Blue	Passenger Property Loss	Checked Baggage		Other	Other		50.0	Approve in Full
195594	2015032021422	2015-03-20 00:00:00	2015-03-06 00:00:00	ACK	Nantucket Memorial Airport	Cape Air	Passenger Property Loss	Checked Baggage		Clothing & Accessories,Clothing & Accessories,Clothing & Accessories,Clothing & Accessories	Clothing*Clothing*Clothing*Clothing		0.0	Deny
