id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
10713	0714112M	2003-07-14 00:00:00	2003-07-03 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checkpoint	850.0	Other	Denied	0.0	Deny
21372	1205017M	2003-12-05 00:00:00	2003-08-28 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checkpoint	421.98	Watches & Jewelry	Approved	421.98	Approve in Full
28635	0223154M	2004-02-23 00:00:00	2004-01-09 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checkpoint	3528.0	Watches & Jewelry	Settled	500.0	Settle
29910	2004042950207	2004-03-11 00:00:00	2004-01-30 00:00:00	ACY	Atlantic City International		Passenger Property Loss	Checkpoint	40.0	Other	Approved	40.0	Approve in Full
36504	2004072259889	2004-05-27 00:00:00	2004-03-08 00:00:00	ACY	Atlantic City International		Passenger Property Loss	Checkpoint	299.99	Electronics	Settled	140.0	Settle
40103	2004080460587	2004-07-13 00:00:00	2004-06-02 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checked Baggage	100.0	Other	Denied	0.0	Deny
40616	2004081161079	2004-07-20 00:00:00	2004-06-15 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checkpoint	53.49	Other	Denied	0.0	Deny
40861	2004082661414	2004-07-23 00:00:00	2004-06-11 00:00:00	ACY	Atlantic City International		Passenger Property Loss	Checked Baggage	139.0	Other	Denied	0.0	Deny
41417	2004091562874	2004-08-03 00:00:00	2004-07-11 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checked Baggage	26.0	Other	Approved	26.0	Approve in Full
43711	2004092363788	2004-08-31 00:00:00	2004-07-30 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Denied		Deny
44183	2004102165439	2004-09-09 00:00:00	2004-08-17 00:00:00	ACY	Atlantic City International		Passenger Property Loss	Checked Baggage	99.99	Electronics	Canceled		
44814	2004092363705	2004-09-14 00:00:00	2004-08-25 00:00:00	ACY	Atlantic City International		Passenger Property Loss	Checkpoint	613.99	Other	Settled	501.93	Settle
45032	2004110466310	2004-09-16 00:00:00	2004-05-29 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Property Loss	Checkpoint	1750.0	Watches & Jewelry	Canceled	0.0	
47302	2004113068055	2004-10-14 00:00:00	2003-03-17 00:00:00	ACY	Atlantic City International		Passenger Property Loss	Checkpoint	350.0	Watches & Jewelry	Denied		Deny
51520	2004122370677	2004-12-07 00:00:00	2004-10-04 00:00:00	ACY	Atlantic City International	Spirit Airlines	Passenger Theft	Checked Baggage	405.0	Electronics	Settled	361.79	Settle
