id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
49452	2004122170218	2004-11-08 00:00:00	2004-10-12 00:00:00	AEX	Alexandria International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	2049.56	Jewelry - Fine	Denied	0.0	Deny
50658	2004122871273	2004-11-23 00:00:00	2004-11-13 00:00:00	AEX	Alexandria International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	75.0	Other	Settled	69.99	Settle
53289	2005011473720	2004-12-30 00:00:00	2004-10-16 00:00:00	AEX	Alexandria International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	302.0	Medicines	Settled	202.06	Settle
60771	2005040581638	2005-04-05 00:00:00	2005-03-16 00:00:00	AEX	Alexandria International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	438.84	Medicines	Approved	438.84	Approve in Full
66377	2005062787251	2005-06-17 00:00:00	2005-06-03 00:00:00	AEX	Alexandria International Airport	Northwest Airlines	Passenger Property Loss	Checked Baggage	43.6	Clothing - Shoes, belts, accessories, etc.	Approved	43.6	Approve in Full
75021	2005111696153	2005-11-04 00:00:00	2005-10-20 00:00:00	AEX	Alexandria International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	470.0	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
84200	2006050305666	2006-04-24 00:00:00	2006-03-21 00:00:00	AEX	Alexandria International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	50.0	Jewelry - Fine	Approved	50.0	Approve in Full
89208	2006080210383	2006-07-31 00:00:00	2006-07-23 00:00:00	AEX	Alexandria International Airport	Delta Air Lines	Passenger Property Loss	Checked Baggage	285.0	Clothing - Shoes, belts, accessories, etc.	Settled	142.5	Settle
92280	2006100213542	2006-09-28 00:00:00	2006-08-14 00:00:00	AEX	Alexandria International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	279.99	Cell Phones	Denied	0.0	Deny
95898	2006121417168	2006-12-08 00:00:00	2006-11-16 00:00:00	AEX	Alexandria International Airport	Continental Airlines	Passenger Property Loss	Checked Baggage	1544.0	Jewelry - Fine	Denied	0.0	Deny
96987	2009032456844		2009-11-04 00:00:00	AEX	Alexandria International Airport	American Airlines	Passenger Property Loss	Checked Baggage	200.99	Cameras - Digital*Cameras - Non-electronic (Camera supplies, lenses, projectors, etc.)	Denied	0.0	Deny
